anchor_id,city,state_province,country,lat,lon,region_code
US_WA_SEATTLE,Seattle,WA,US,47.6062,-122.3321,NAM
US_OR_PORTLAND,Portland,OR,US,45.5152,-122.6784,NAM
US_CA_SAN_FRANCISCO,San Francisco,CA,US,37.7749,-122.4194,NAM
US_CA_LOS_ANGELES,Los Angeles,CA,US,34.0522,-118.2437,NAM
US_AZ_PHOENIX,Phoenix,AZ,US,33.4484,-112.074,NAM
US_CO_DENVER,Denver,CO,US,39.7392,-104.9903,NAM
US_TX_DALLAS,Dallas,TX,US,32.7767,-96.797,NAM
US_TX_HOUSTON,Houston,TX,US,29.7604,-95.3698,NAM
US_MN_MINNEAPOLIS,Minneapolis,MN,US,44.9778,-93.265,NAM
US_IL_CHICAGO,Chicago,IL,US,41.8781,-87.6298,NAM
US_MO_ST_LOUIS,St Louis,MO,US,38.627,-90.1994,NAM
US_GA_ATLANTA,Atlanta,GA,US,33.749,-84.388,NAM
US_FL_MIAMI,Miami,FL,US,25.7617,-80.1918,NAM
US_NC_CHARLOTTE,Charlotte,NC,US,35.2271,-80.8431,NAM
US_DC_WASHINGTON_DC,Washington DC,DC,US,38.9072,-77.0369,NAM
US_PA_PHILADELPHIA,Philadelphia,PA,US,39.9526,-75.1652,NAM
US_NY_NEW_YORK,New York,NY,US,40.7128,-74.006,NAM
US_MA_BOSTON,Boston,MA,US,42.3601,-71.0589,NAM
US_MO_KANSAS_CITY,Kansas City,MO,US,39.0997,-94.5786,NAM
US_UT_SALT_LAKE_CITY,Salt Lake City,UT,US,40.7608,-111.891,NAM
CA_ON_TORONTO,Toronto,ON,CA,43.6532,-79.3832,NAM
CA_BC_VANCOUVER,Vancouver,BC,CA,49.2827,-123.1207,NAM
MX_CDMX_MEXICO_CITY,Mexico City,CDMX,MX,19.4326,-99.1332,LATAM
BR_SP_SAO_PAULO,Sao Paulo,SP,BR,-23.5505,-46.6333,LATAM
AR_BA_BUENOS_AIRES,Buenos Aires,BA,AR,-34.6037,-58.3816,LATAM
CO_DC_BOGOTA,Bogota,DC,CO,4.711,-74.0721,LATAM
GB_LONDON,London,,GB,51.5074,-0.1278,EMEA
FR_PARIS,Paris,,FR,48.8566,2.3522,EMEA
DE_FRANKFURT,Frankfurt,,DE,50.1109,8.6821,EMEA
NL_AMSTERDAM,Amsterdam,,NL,52.3676,4.9041,EMEA
ES_MADRID,Madrid,,ES,40.4168,-3.7038,EMEA
IT_ROME,Rome,,IT,41.9028,12.4964,EMEA
AE_DUBAI,Dubai,,AE,25.2048,55.2708,EMEA
IL_TEL_AVIV,Tel Aviv,,IL,32.0853,34.7818,EMEA
ZA_JOHANNESBURG,Johannesburg,,ZA,-26.2041,28.0473,EMEA
ZA_CAPE_TOWN,Cape Town,,ZA,-33.9249,18.4241,EMEA
NG_LAGOS,Lagos,,NG,6.5244,3.3792,EMEA
JP_TOKYO,Tokyo,,JP,35.6762,139.6503,APAC
JP_OSAKA,Osaka,,JP,34.6937,135.5023,APAC
KR_SEOUL,Seoul,,KR,37.5665,126.978,APAC
CN_BEIJING,Beijing,,CN,39.9042,116.4074,APAC
CN_SHANGHAI,Shanghai,,CN,31.2304,121.4737,APAC
HK_HONG_KONG,Hong Kong,,HK,22.3193,114.1694,APAC
TW_TAIPEI,Taipei,,TW,25.0329,121.5654,APAC
SG_SINGAPORE,Singapore,,SG,1.3521,103.8198,APAC
MY_KUALA_LUMPUR,Kuala Lumpur,,MY,3.139,101.6869,APAC
ID_JAKARTA,Jakarta,,ID,-6.2088,106.8456,APAC
TH_BANGKOK,Bangkok,,TH,13.7563,100.5018,APAC
IN_MH_MUMBAI,Mumbai,MH,IN,19.076,72.8777,APAC
IN_DL_NEW_DELHI,New Delhi,DL,IN,28.6139,77.209,APAC
IN_KA_BENGALURU,Bengaluru,KA,IN,12.9716,77.5946,APAC
AU_NSW_SYDNEY,Sydney,NSW,AU,-33.8688,151.2093,APAC
AU_VIC_MELBOURNE,Melbourne,VIC,AU,-37.8136,144.9631,APAC
NZ_AUCKLAND,Auckland,,NZ,-36.8485,174.7633,APAC
EG_CAIRO,Cairo,,EG,30.0444,31.2357,EMEA
KE_NAIROBI,Nairobi,,KE,-1.2921,36.8219,EMEA
MA_CASABLANCA,Casablanca,,MA,33.5731,-7.5898,EMEA
GH_ACCRA,Accra,,GH,5.6037,-0.187,EMEA
SA_RIYADH,Riyadh,,SA,24.7136,46.6753,EMEA
SA_JEDDAH,Jeddah,,SA,21.4858,39.1925,EMEA
QA_DOHA,Doha,,QA,25.2854,51.531,EMEA
KW_KUWAIT_CITY,Kuwait City,,KW,29.3759,47.9774,EMEA
IR_TEHRAN,Tehran,,IR,35.6892,51.389,EMEA
PK_KARACHI,Karachi,,PK,24.8607,67.0011,APAC
PK_LAHORE,Lahore,,PK,31.5204,74.3587,APAC
