hub_id,anchor_id,anchor_city,lat,lon,region_code,T_j,B_j
H001,GR_ATHENS,Athens,37.9838,23.7275,EMEA,1,90
H002,ES_BARCELONA,Barcelona,41.3851,2.1734,EMEA,0,128
H003,DE_BERLIN,Berlin,52.52,13.405,EMEA,1,53
H004,VE_CARACAS,Caracas,10.4806,-66.9036,LATAM,0,53
H005,US_IL_CHICAGO,Chicago,41.8781,-87.6298,NAM,0,128
H006,US_TX_DALLAS,Dallas,32.7767,-96.797,NAM,1,90
H007,IE_DUBLIN,Dublin,53.3498,-6.2603,EMEA,1,90
H008,VN_HO_CHI_MINH_CITY,Ho Chi Minh City,10.8231,106.6297,APAC,0,53
H009,IN_WB_KOLKATA,Kolkata,22.5726,88.3639,APAC,1,53
H010,MY_KUALA_LUMPUR,Kuala Lumpur,3.139,101.6869,APAC,1,128
H011,NG_LAGOS,Lagos,6.5244,3.3792,EMEA,1,53
H012,US_CA_LOS_ANGELES,Los Angeles,34.0522,-118.2437,NAM,0,53
H013,MX_CDMX_MEXICO_CITY,Mexico City,19.4326,-99.1332,LATAM,1,128
H014,IT_MILAN,Milan,45.4642,9.19,EMEA,1,90
H015,JP_OSAKA,Osaka,34.6937,135.5023,APAC,1,90
H016,IT_ROME,Rome,41.9028,12.4964,EMEA,1,90
H017,SG_SINGAPORE,Singapore,1.3521,103.8198,APAC,1,90
H018,US_MO_ST_LOUIS,St Louis,38.627,-90.1994,NAM,1,53
H019,IR_TEHRAN,Tehran,35.6892,51.389,EMEA,0,90
H020,CA_BC_VANCOUVER,Vancouver,49.2827,-123.1207,NAM,1,90
