part_id,P_k
P0001,14.09
P0002,39.46
P0003,72.99
P0004,155.48
P0005,29.91
P0006,113.28
P0007,136.46
P0008,163.22
P0009,16.32
P0010,250.49
P0011,589.23
P0012,207.39
P0013,73.03
P0014,80.6
P0015,12.94
P0016,214.87
P0017,541.53
P0018,251.34
P0019,9.6
P0020,95.42
P0021,127.62
P0022,90.6
P0023,354.8
P0024,29.13
P0025,73.38
P0026,239.29
P0027,341.54
P0028,163.02
P0029,361.91
P0030,223.59
P0031,53.96
P0032,448.46
P0033,88.81
P0034,32.27
P0035,207.65
P0036,716.58
P0037,331.92
P0038,343.52
P0039,166.2
P0040,15.23
P0041,258.18
P0042,161.32
P0043,13.0
P0044,77.86
P0045,63.43
P0046,363.82
P0047,156.44
P0048,183.1
P0049,174.18
P0050,42.37
P0051,23.91
P0052,147.39
P0053,107.51
P0054,138.22
P0055,120.53
P0056,89.33
P0057,230.74
P0058,166.38
P0059,79.92
P0060,25.33
P0061,13.61
P0062,38.28
P0063,121.96
P0064,317.92
P0065,95.94
P0066,257.53
P0067,397.96
P0068,1192.27
P0069,181.27
P0070,537.33
P0071,172.88
P0072,45.92
P0073,18.14
P0074,182.94
P0075,311.46
P0076,1292.39
P0077,76.72
P0078,217.63
P0079,126.14
P0080,16.61
P0081,196.17
P0082,104.8
P0083,44.38
P0084,639.49
P0085,80.34
P0086,213.5
P0087,110.25
P0088,73.46
P0089,120.37
P0090,285.83
P0091,75.24
P0092,31.67
P0093,705.13
P0094,207.9
P0095,59.06
P0096,128.91
P0097,34.24
P0098,132.02
P0099,303.75
P0100,24.61
P0101,305.51
P0102,289.61
P0103,109.61
P0104,153.53
P0105,103.71
P0106,93.72
P0107,26.21
P0108,607.29
P0109,76.5
P0110,158.05
P0111,114.04
P0112,210.93
P0113,233.23
P0114,55.84
P0115,193.97
P0116,109.8
P0117,63.21
P0118,449.87
P0119,404.38
P0120,62.03
P0121,106.66
P0122,56.37
P0123,50.3
P0124,57.83
P0125,230.64
P0126,39.12
P0127,37.53
P0128,181.36
P0129,73.26
P0130,423.25
P0131,58.96
P0132,90.38
P0133,69.66
P0134,17.43
P0135,191.46
P0136,261.74
P0137,330.71
P0138,118.16
P0139,255.36
P0140,121.82
P0141,128.62
P0142,68.04
P0143,121.45
P0144,59.89
P0145,240.17
P0146,76.26
P0147,54.63
P0148,127.06
P0149,132.78
P0150,30.6
