zip_id,part_id,Q_ik,b_ik
Z00001,P0001,1,4
Z00001,P0015,1,2
Z00001,P0018,1,1
Z00001,P0028,1,4
Z00001,P0029,1,1
Z00001,P0033,1,3
Z00001,P0040,1,3
Z00001,P0050,1,1
Z00001,P0079,1,3
Z00001,P0106,1,1
Z00001,P0129,1,2
Z00002,P0017,1,6
Z00002,P0057,1,3
Z00002,P0060,1,1
Z00002,P0068,1,2
Z00002,P0083,1,1
Z00002,P0106,1,1
Z00003,P0004,1,4
Z00003,P0007,1,1
Z00003,P0008,1,2
Z00003,P0028,1,3
Z00003,P0030,1,2
Z00003,P0034,1,2
Z00003,P0044,1,2
Z00003,P0052,1,2
Z00003,P0054,1,3
Z00003,P0063,1,4
Z00003,P0064,1,2
Z00003,P0065,1,3
Z00003,P0072,1,4
Z00003,P0073,1,1
Z00003,P0075,1,2
Z00003,P0083,1,3
Z00003,P0095,1,1
Z00003,P0130,1,3
Z00003,P0150,1,3
Z00004,P0028,1,4
Z00004,P0048,1,2
Z00004,P0062,1,2
Z00004,P0074,1,3
Z00004,P0095,1,2
Z00004,P0126,1,1
Z00004,P0139,1,4
Z00004,P0142,1,3
Z00004,P0149,1,3
Z00005,P0002,1,2
Z00005,P0003,1,3
Z00005,P0005,1,5
Z00005,P0018,1,2
Z00005,P0021,1,1
Z00005,P0022,1,1
Z00005,P0031,1,1
Z00005,P0046,1,2
Z00005,P0047,1,2
Z00005,P0049,1,9
Z00005,P0052,1,4
Z00005,P0063,1,2
Z00005,P0071,1,3
Z00005,P0078,1,1
Z00005,P0081,1,3
Z00005,P0090,1,3
Z00005,P0097,1,2
Z00005,P0105,1,1
Z00005,P0123,1,1
Z00005,P0126,1,1
Z00005,P0137,1,2
Z00005,P0139,1,2
Z00005,P0141,1,2
Z00005,P0145,1,2
Z00005,P0148,1,1
Z00006,P0005,1,5
Z00006,P0024,1,2
Z00006,P0028,1,1
Z00006,P0063,1,3
Z00006,P0071,1,9
Z00006,P0103,1,4
Z00006,P0107,1,3
Z00006,P0109,1,1
Z00006,P0121,1,1
Z00006,P0128,1,4
Z00006,P0140,1,2
Z00006,P0142,1,1
Z00006,P0145,1,5
Z00007,P0006,1,3
Z00007,P0008,1,4
Z00007,P0015,1,1
Z00007,P0049,1,6
Z00007,P0063,1,2
Z00007,P0071,1,2
Z00007,P0074,1,2
Z00007,P0104,1,6
Z00007,P0113,1,4
Z00007,P0126,1,1
Z00008,P0001,1,6
Z00008,P0010,1,1
Z00008,P0012,1,2
Z00008,P0024,1,3
Z00008,P0028,1,4
Z00008,P0052,1,2
Z00008,P0056,1,2
Z00008,P0057,1,1
Z00008,P0071,1,4
Z00008,P0074,1,2
Z00008,P0076,1,2
Z00008,P0078,1,3
Z00008,P0084,1,1
Z00008,P0095,1,1
Z00008,P0106,1,2
Z00008,P0107,1,2
Z00008,P0116,1,3
Z00008,P0118,1,2
Z00008,P0128,1,3
Z00009,P0007,1,1
Z00009,P0015,1,2
Z00009,P0017,1,3
Z00009,P0039,1,1
Z00009,P0072,1,3
Z00009,P0077,1,2
Z00009,P0093,1,3
Z00009,P0101,1,1
Z00009,P0103,1,4
Z00009,P0111,1,2
Z00009,P0125,1,3
Z00009,P0141,1,4
Z00009,P0145,1,5
Z00010,P0004,1,2
Z00010,P0020,1,2
Z00010,P0034,1,4
Z00010,P0046,1,2
Z00010,P0057,1,5
Z00010,P0063,1,2
Z00010,P0066,1,2
Z00010,P0069,1,2
Z00010,P0092,1,2
Z00010,P0098,1,1
Z00010,P0103,1,5
Z00010,P0124,1,3
Z00010,P0127,1,1
