zip_id,hub_id,d_ij
Z00001,H001,6410.12
Z00001,H002,10071.6
Z00001,H003,9452.9
Z00001,H004,1409.4
Z00001,H005,10543.55
Z00001,H006,5225.35
Z00001,H007,5780.2
Z00001,H008,9753.9
Z00001,H009,14.02
Z00001,H010,9626.02
Z00001,H011,7673.35
Z00001,H012,8958.82
Z00001,H013,7263.99
Z00001,H014,11224.35
Z00001,H015,9240.2
Z00001,H016,8914.94
Z00001,H017,8311.89
Z00001,H018,10367.76
Z00001,H019,7656.32
Z00001,H020,4092.26
Z00001,H021,4319.33
Z00001,H022,5883.69
Z00001,H023,3375.52
Z00001,H024,8528.77
Z00001,H025,5540.86
Z00001,H026,4029.13
Z00001,H027,7978.71
Z00001,H028,9987.53
Z00001,H029,10278.43
Z00001,H030,10850.95
Z00001,H031,3624.42
Z00001,H032,10114.88
Z00001,H033,8650.76
Z00001,H034,6260.97
Z00001,H035,9621.24
Z00001,H036,4451.45
Z00001,H037,9589.91
Z00001,H038,10299.04
Z00001,H039,7486.6
Z00001,H040,7281.45
Z00001,H041,9776.47
Z00001,H042,8668.15
Z00001,H043,7353.95
Z00001,H044,4807.8
Z00001,H045,8756.17
Z00001,H046,455.94
Z00001,H047,7923.45
Z00001,H048,4454.66
Z00001,H049,9733.53
Z00001,H050,9464.16
Z00002,H001,19.56
Z00002,H002,4023.77
Z00002,H003,3029.4
Z00002,H004,7822.49
Z00002,H005,4173.03
Z00002,H006,2814.31
Z00002,H007,779.58
Z00002,H008,3669.36
Z00002,H009,6414.69
Z00002,H010,3360.12
Z00002,H011,9376.33
Z00002,H012,2567.68
Z00002,H013,5292.0
Z00002,H014,4796.09
Z00002,H015,8041.58
Z00002,H016,7769.65
Z00002,H017,8512.22
Z00002,H018,4487.35
Z00002,H019,9401.87
Z00002,H020,2415.45
Z00002,H021,2662.4
Z00002,H022,562.18
Z00002,H023,3088.67
Z00002,H024,8058.75
Z00002,H025,1025.27
Z00002,H026,2400.66
Z00002,H027,1564.16
Z00002,H028,4701.84
Z00002,H029,4237.51
Z00002,H030,4486.11
Z00002,H031,3224.71
Z00002,H032,3810.74
Z00002,H033,7648.32
Z00002,H034,277.88
Z00002,H035,7527.07
Z00002,H036,3848.17
Z00002,H037,3870.74
Z00002,H038,4132.58
Z00002,H039,8522.22
Z00002,H040,7606.59
Z00002,H041,3597.32
Z00002,H042,8591.14
Z00002,H043,7470.73
Z00002,H044,3364.31
Z00002,H045,8026.13
Z00002,H046,6502.67
Z00002,H047,1524.83
Z00002,H048,4072.83
Z00002,H049,3490.4
Z00002,H050,7717.51
Z00003,H001,8479.65
Z00003,H002,4867.35
Z00003,H003,6189.86
Z00003,H004,7490.44
Z00003,H005,5137.96
Z00003,H006,6964.53
Z00003,H007,9217.05
Z00003,H008,5163.77
Z00003,H009,8356.35
Z00003,H010,5573.8
Z00003,H011,5296.12
Z00003,H012,6882.36
Z00003,H013,8751.32
Z00003,H014,4936.17
Z00003,H015,895.79
Z00003,H016,762.32
Z00003,H017,42.33
Z00003,H018,4418.22
Z00003,H019,971.01
Z00003,H020,9034.95
Z00003,H021,8101.1
Z00003,H022,8920.38
Z00003,H023,10046.91
Z00003,H024,414.85
Z00003,H025,8565.85
Z00003,H026,9658.66
Z00003,H027,7519.92
Z00003,H028,6528.52
Z00003,H029,4705.88
Z00003,H030,4903.31
Z00003,H031,8313.69
Z00003,H032,5284.21
Z00003,H033,825.59
Z00003,H034,8751.02
Z00003,H035,1331.95
Z00003,H036,6663.62
Z00003,H037,4797.27
Z00003,H038,4888.08
Z00003,H039,905.77
Z00003,H040,1628.79
Z00003,H041,5299.08
Z00003,H042,5110.55
Z00003,H043,1673.66
Z00003,H044,6804.46
Z00003,H045,505.6
Z00003,H046,8622.13
Z00003,H047,7236.24
Z00003,H048,6454.87
Z00003,H049,5446.93
Z00003,H050,1144.55
Z00004,H001,3190.8
Z00004,H002,6455.75
Z00004,H003,5977.8
Z00004,H004,4990.03
Z00004,H005,6943.78
Z00004,H006,1778.86
Z00004,H007,2891.23
Z00004,H008,6128.85
Z00004,H009,3615.68
Z00004,H010,6014.3
Z00004,H011,11042.11
Z00004,H012,5691.82
Z00004,H013,7466.17
Z00004,H014,7685.36
Z00004,H015,8726.56
Z00004,H016,8147.72
Z00004,H017,8341.9
Z00004,H018,6804.84
Z00004,H019,8587.35
Z00004,H020,980.71
Z00004,H021,692.67
Z00004,H022,2807.02
Z00004,H023,1713.52
Z00004,H024,8094.24
Z00004,H025,2186.98
Z00004,H026,1512.81
Z00004,H027,4705.62
Z00004,H028,7905.13
Z00004,H029,6669.87
Z00004,H030,7239.13
Z00004,H031,22.09
Z00004,H032,6501.17
Z00004,H033,7812.84
Z00004,H034,3170.99
Z00004,H035,8511.6
Z00004,H036,1675.95
Z00004,H037,6020.16
Z00004,H038,6674.01
Z00004,H039,7639.95
Z00004,H040,6719.42
Z00004,H041,6150.66
Z00004,H042,11398.01
Z00004,H043,6662.68
Z00004,H044,1644.0
Z00004,H045,8261.86
Z00004,H046,3894.64
Z00004,H047,4488.11
Z00004,H048,1879.22
Z00004,H049,6114.89
Z00004,H050,8577.22
Z00005,H001,3576.5
Z00005,H002,464.06
Z00005,H003,982.85
Z00005,H004,11025.64
Z00005,H005,916.53
Z00005,H006,4559.34
Z00005,H007,4318.85
Z00005,H008,140.01
Z00005,H009,9700.11
Z00005,H010,287.75
Z00005,H011,7413.23
Z00005,H012,1657.18
Z00005,H013,5868.07
Z00005,H014,1671.04
Z00005,H015,4627.37
Z00005,H016,4537.45
Z00005,H017,5342.04
Z00005,H018,933.38
Z00005,H019,6259.29
Z00005,H020,5687.46
Z00005,H021,5392.06
Z00005,H022,4122.16
Z00005,H023,6609.6
Z00005,H024,4920.34
Z00005,H025,4283.39
Z00005,H026,5883.85
Z00005,H027,2240.78
Z00005,H028,3148.75
Z00005,H029,676.02
Z00005,H030,1173.25
Z00005,H031,6087.2
Z00005,H032,478.19
Z00005,H033,4564.67
Z00005,H034,3794.31
Z00005,H035,4096.36
Z00005,H036,5488.87
Z00005,H037,645.31
Z00005,H038,602.2
Z00005,H039,5791.32
Z00005,H040,5318.87
Z00005,H041,77.34
Z00005,H042,6379.0
Z00005,H043,5181.58
Z00005,H044,5050.14
Z00005,H045,4795.59
Z00005,H046,9937.01
Z00005,H047,2060.42
Z00005,H048,5558.75
Z00005,H049,194.45
Z00005,H050,4298.8
Z00006,H001,8577.23
Z00006,H002,6050.39
Z00006,H003,6188.67
Z00006,H004,7511.71
Z00006,H005,5423.63
Z00006,H006,10892.89
Z00006,H007,8702.46
Z00006,H008,6328.21
Z00006,H009,8717.13
Z00006,H010,6331.87
Z00006,H011,1083.37
Z00006,H012,6310.47
Z00006,H013,3935.22
Z00006,H014,4665.67
Z00006,H015,4620.31
Z00006,H016,5207.5
Z00006,H017,5096.98
Z00006,H018,5794.89
Z00006,H019,4889.77
Z00006,H020,10459.6
Z00006,H021,11187.61
Z00006,H022,8851.58
Z00006,H023,9718.1
Z00006,H024,5309.0
Z00006,H025,9557.15
Z00006,H026,9889.05
Z00006,H027,7222.73
Z00006,H028,3923.22
Z00006,H029,5859.22
Z00006,H030,5167.38
Z00006,H031,11418.28
Z00006,H032,5873.07
Z00006,H033,5554.5
Z00006,H034,8528.98
Z00006,H035,4753.1
Z00006,H036,11625.55
Z00006,H037,6565.18
Z00006,H038,5799.57
Z00006,H039,5828.04
Z00006,H040,6727.28
Z00006,H041,6262.11
Z00006,H042,42.76
Z00006,H043,6774.81
Z00006,H044,11356.11
Z00006,H045,5123.77
Z00006,H046,8340.19
Z00006,H047,7539.65
Z00006,H048,11495.74
Z00006,H049,6257.27
Z00006,H050,4721.72
Z00007,H001,9434.88
Z00007,H002,7161.65
Z00007,H003,7314.53
Z00007,H004,6382.93
Z00007,H005,6554.69
Z00007,H006,12022.07
Z00007,H007,9343.39
Z00007,H008,7450.85
Z00007,H009,7633.85
Z00007,H010,7466.67
Z00007,H011,53.08
Z00007,H012,7392.43
Z00007,H013,4296.29
Z00007,H014,5795.8
Z00007,H015,5052.9
Z00007,H016,5612.43
Z00007,H017,5282.79
Z00007,H018,6877.88
Z00007,H019,4817.33
Z00007,H020,10539.35
Z00007,H021,11469.4
Z00007,H022,9568.76
Z00007,H023,9444.04
Z00007,H024,5600.12
Z00007,H025,10302.0
Z00007,H026,9913.24
Z00007,H027,8253.61
Z00007,H028,4970.63
Z00007,H029,6963.64
Z00007,H030,6292.59
Z00007,H031,11024.13
Z00007,H032,7004.84
Z00007,H033,5926.86
Z00007,H034,9319.5
Z00007,H035,5318.9
Z00007,H036,11606.73
Z00007,H037,7658.54
Z00007,H038,6916.37
Z00007,H039,5840.55
Z00007,H040,6830.38
Z00007,H041,7390.99
Z00007,H042,1093.2
Z00007,H043,6915.05
Z00007,H044,12053.94
Z00007,H045,5463.74
Z00007,H046,7286.6
Z00007,H047,8611.04
Z00007,H048,11378.32
Z00007,H049,7390.26
Z00007,H050,5235.94
Z00008,H001,1383.54
Z00008,H002,2675.91
Z00008,H003,1688.06
Z00008,H004,9171.68
Z00008,H005,2811.14
Z00008,H006,3382.75
Z00008,H007,2108.43
Z00008,H008,2327.27
Z00008,H009,7753.17
Z00008,H010,1997.32
Z00008,H011,8668.53
Z00008,H012,1359.23
Z00008,H013,5268.86
Z00008,H014,3460.95
Z00008,H015,6792.27
Z00008,H016,6612.04
Z00008,H017,7402.32
Z00008,H018,3144.22
Z00008,H019,8330.54
Z00008,H020,3690.05
Z00008,H021,3702.38
Z00008,H022,1928.79
Z00008,H023,4453.86
Z00008,H024,6954.45
Z00008,H025,2236.73
Z00008,H026,3754.8
Z00008,H027,506.66
Z00008,H028,3750.8
Z00008,H029,2884.72
Z00008,H030,3124.96
Z00008,H031,4354.8
Z00008,H032,2443.62
Z00008,H033,6560.34
Z00008,H034,1585.34
Z00008,H035,6264.39
Z00008,H036,4489.15
Z00008,H037,2591.76
Z00008,H038,2770.31
Z00008,H039,7641.1
Z00008,H040,6889.87
Z00008,H041,2242.15
Z00008,H042,7699.87
Z00008,H043,6744.74
Z00008,H044,3974.05
Z00008,H045,6874.3
Z00008,H046,7864.37
Z00008,H047,158.26
Z00008,H048,4667.55
Z00008,H049,2128.72
Z00008,H050,6462.91
Z00009,H001,3977.67
Z00009,H002,61.42
Z00009,H003,1302.14
Z00009,H004,11221.1
Z00009,H005,789.12
Z00009,H006,4810.14
Z00009,H007,4722.37
Z00009,H008,296.55
Z00009,H009,10007.31
Z00009,H010,657.98
Z00009,H011,7162.12
Z00009,H012,1996.07
Z00009,H013,6012.15
Z00009,H014,1476.39
Z00009,H015,4229.03
Z00009,H016,4156.12
