part_id,current_home_hub
P0001,H038
P0002,H043
P0003,H007
P0004,H012
P0005,H025
P0006,H014
P0007,H025
P0008,H026
P0009,H014
P0010,H046
P0011,H010
P0012,H014
P0013,H010
P0014,H046
P0015,H027
P0016,H034
P0017,H015
P0018,H031
P0019,H039
P0020,H031
P0021,H034
P0022,H031
P0023,H001
P0024,H010
P0025,H037
P0026,H025
P0027,H022
P0028,H007
P0029,H022
P0030,H001
P0031,H037
P0032,H026
P0033,H006
P0034,H038
P0035,H036
P0036,H049
P0037,H042
P0038,H007
P0039,H004
P0040,H005
P0041,H034
P0042,H010
P0043,H009
P0044,H009
P0045,H049
P0046,H007
P0047,H049
P0048,H010
P0049,H036
P0050,H006
P0051,H032
P0052,H047
P0053,H001
P0054,H011
P0055,H011
P0056,H033
P0057,H026
P0058,H043
P0059,H039
P0060,H004
P0061,H002
P0062,H043
P0063,H022
P0064,H007
P0065,H047
P0066,H032
P0067,H015
P0068,H039
P0069,H010
P0070,H037
P0071,H004
P0072,H040
P0073,H049
P0074,H040
P0075,H002
P0076,H032
P0077,H022
P0078,H040
P0079,H022
P0080,H011
P0081,H040
P0082,H006
P0083,H025
P0084,H034
P0085,H004
P0086,H009
P0087,H048
P0088,H025
P0089,H011
P0090,H017
P0091,H037
P0092,H036
P0093,H010
P0094,H012
P0095,H026
P0096,H015
P0097,H038
P0098,H036
P0099,H044
P0100,H041
P0101,H031
P0102,H049
P0103,H014
P0104,H040
P0105,H004
P0106,H005
P0107,H048
P0108,H041
P0109,H027
P0110,H009
P0111,H048
P0112,H048
P0113,H027
P0114,H040
P0115,H005
P0116,H005
P0117,H009
P0118,H034
P0119,H046
P0120,H022
P0121,H041
P0122,H023
P0123,H049
P0124,H042
P0125,H026
P0126,H038
P0127,H038
P0128,H031
P0129,H042
P0130,H036
P0131,H037
P0132,H017
P0133,H005
P0134,H015
P0135,H011
P0136,H034
P0137,H009
P0138,H036
P0139,H033
P0140,H025
P0141,H006
P0142,H033
P0143,H032
P0144,H017
P0145,H014
P0146,H036
P0147,H041
P0148,H026
P0149,H042
P0150,H009
