zip_id,part_id,Q_ik,b_ik
Z00001,P0049,1,2
Z00001,P0050,1,1
Z00001,P0051,1,3
Z00001,P0067,1,1
Z00001,P0085,1,5
Z00001,P0088,1,4
Z00001,P0092,1,2
Z00001,P0105,1,2
Z00001,P0147,1,2
Z00001,P0178,1,1
Z00001,P0182,1,2
Z00001,P0204,1,2
Z00001,P0216,1,2
Z00001,P0232,1,9
Z00001,P0238,1,2
Z00001,P0244,1,1
Z00001,P0247,1,1
Z00001,P0254,1,2
Z00001,P0261,1,6
Z00001,P0307,1,2
Z00001,P0309,1,2
Z00001,P0318,1,2
Z00001,P0336,1,1
Z00001,P0337,1,3
Z00001,P0345,1,4
Z00001,P0365,1,1
Z00001,P0367,1,2
Z00001,P0382,1,2
Z00001,P0441,1,2
Z00001,P0466,1,3
Z00001,P0473,1,1
Z00001,P0476,1,4
Z00001,P0502,1,2
Z00001,P0513,1,1
Z00001,P0516,1,3
Z00001,P0530,1,2
Z00001,P0535,1,1
Z00001,P0543,1,2
Z00001,P0567,1,1
Z00001,P0576,1,1
Z00001,P0583,1,5
Z00001,P0592,1,2
Z00001,P0609,1,2
Z00001,P0619,1,1
Z00001,P0638,1,4
Z00001,P0644,1,2
Z00001,P0654,1,2
Z00001,P0660,1,1
Z00001,P0665,1,3
Z00001,P0669,1,1
Z00001,P0677,1,2
Z00001,P0680,1,5
Z00001,P0683,1,2
Z00001,P0709,1,5
Z00001,P0739,1,2
Z00001,P0769,1,1
Z00001,P0785,1,3
Z00001,P0797,1,2
Z00001,P0802,1,1
Z00001,P0811,1,2
Z00001,P0825,1,1
Z00001,P0828,1,3
Z00001,P0830,1,1
Z00001,P0831,1,3
Z00001,P0833,1,2
Z00001,P0836,1,4
Z00001,P0846,1,1
Z00001,P0858,1,2
Z00001,P0871,1,3
Z00001,P0897,1,2
Z00001,P0900,1,1
Z00001,P0905,1,2
Z00001,P0919,1,1
Z00001,P0923,1,2
Z00001,P0924,1,4
Z00001,P0945,1,4
Z00001,P0949,1,1
Z00001,P0965,1,2
Z00001,P0975,1,2
Z00001,P0980,1,4
Z00001,P0985,1,5
Z00001,P0994,1,1
Z00001,P0998,1,1
Z00002,P0029,1,1
Z00002,P0032,1,2
Z00002,P0033,1,2
Z00002,P0040,1,1
Z00002,P0067,1,4
Z00002,P0068,1,3
Z00002,P0070,1,2
Z00002,P0075,1,1
Z00002,P0076,1,4
Z00002,P0077,1,4
Z00002,P0083,1,4
Z00002,P0086,1,2
Z00002,P0110,1,4
Z00002,P0114,1,2
Z00002,P0115,1,1
Z00002,P0118,1,2
Z00002,P0119,1,2
Z00002,P0121,1,2
