part_id,current_home_hub
P0001,H409
P0002,H091
P0003,H588
P0004,H396
P0005,H086
P0006,H655
P0007,H013
P0008,H644
P0009,H547
P0010,H213
P0011,H441
P0012,H262
P0013,H314
P0014,H481
P0015,H004
P0016,H535
P0017,H628
P0018,H630
P0019,H589
P0020,H750
P0021,H022
P0022,H356
P0023,H136
P0024,H361
P0025,H033
P0026,H667
P0027,H380
P0028,H114
P0029,H404
P0030,H251
P0031,H579
P0032,H422
P0033,H185
P0034,H218
P0035,H162
P0036,H626
P0037,H795
P0038,H163
P0039,H690
P0040,H734
P0041,H378
P0042,H167
P0043,H672
P0044,H316
P0045,H485
P0046,H784
P0047,H492
P0048,H730
P0049,H194
P0050,H046
P0051,H759
P0052,H188
P0053,H582
P0054,H565
P0055,H724
P0056,H154
P0057,H697
P0058,H471
P0059,H464
P0060,H549
P0061,H765
P0062,H472
P0063,H063
P0064,H729
P0065,H629
P0066,H342
P0067,H020
P0068,H157
P0069,H423
P0070,H387
P0071,H074
P0072,H322
P0073,H451
P0074,H263
P0075,H286
P0076,H101
P0077,H441
P0078,H626
P0079,H520
P0080,H743
P0081,H068
P0082,H408
P0083,H423
P0084,H036
P0085,H695
P0086,H077
P0087,H534
P0088,H792
P0089,H785
P0090,H123
P0091,H390
P0092,H517
P0093,H792
P0094,H089
P0095,H339
P0096,H560
P0097,H702
P0098,H181
P0099,H046
P0100,H403
P0101,H048
P0102,H219
P0103,H102
P0104,H442
P0105,H672
P0106,H421
P0107,H489
P0108,H038
P0109,H612
P0110,H721
P0111,H625
P0112,H692
P0113,H285
P0114,H354
P0115,H715
P0116,H479
P0117,H532
P0118,H219
P0119,H151
P0120,H335
P0121,H420
P0122,H564
P0123,H130
P0124,H086
P0125,H240
P0126,H635
P0127,H382
P0128,H166
P0129,H207
P0130,H047
P0131,H698
P0132,H548
P0133,H372
P0134,H735
P0135,H532
P0136,H500
P0137,H059
P0138,H474
P0139,H530
P0140,H793
P0141,H382
P0142,H366
P0143,H297
P0144,H402
