part_id,P_k
P0001,140.38
P0002,190.15
P0003,255.88
P0004,99.91
P0005,276.52
P0006,196.88
P0007,46.08
P0008,512.71
P0009,89.21
P0010,31.57
P0011,54.66
P0012,55.85
P0013,146.73
P0014,109.42
P0015,103.39
P0016,244.54
P0017,190.1
P0018,186.06
P0019,202.45
P0020,243.76
P0021,21.0
P0022,100.85
P0023,19.68
P0024,144.62
P0025,139.42
P0026,358.75
P0027,407.69
P0028,168.03
P0029,89.24
P0030,216.65
P0031,87.05
P0032,139.82
P0033,340.07
P0034,84.75
P0035,289.09
P0036,257.57
P0037,59.28
P0038,336.35
P0039,262.53
P0040,153.45
P0041,70.5
P0042,64.61
P0043,86.29
P0044,228.14
P0045,59.24
P0046,207.56
P0047,45.79
P0048,116.51
P0049,154.52
P0050,1264.28
P0051,40.53
P0052,526.61
P0053,160.21
P0054,202.69
P0055,155.73
P0056,208.91
P0057,121.92
P0058,518.16
P0059,92.83
P0060,387.86
P0061,78.39
P0062,132.61
P0063,53.35
P0064,210.85
P0065,514.02
P0066,130.58
P0067,117.27
P0068,51.34
P0069,113.9
P0070,33.39
P0071,61.56
P0072,171.7
P0073,458.86
P0074,1754.49
P0075,82.58
P0076,509.49
P0077,174.34
P0078,122.18
P0079,206.64
P0080,148.02
P0081,154.62
P0082,96.94
P0083,39.78
P0084,34.9
P0085,252.03
P0086,109.14
P0087,81.87
P0088,141.08
P0089,286.31
P0090,164.67
P0091,77.57
P0092,422.13
P0093,579.93
P0094,218.49
P0095,336.28
P0096,428.12
P0097,387.12
P0098,243.31
P0099,239.88
P0100,223.48
P0101,52.15
P0102,263.04
P0103,41.32
P0104,68.48
P0105,452.53
P0106,298.22
P0107,533.95
P0108,109.63
P0109,49.63
P0110,112.76
P0111,153.46
P0112,150.31
P0113,388.37
P0114,101.14
P0115,192.19
P0116,57.51
P0117,209.96
P0118,140.39
P0119,71.29
P0120,113.23
P0121,118.62
P0122,109.78
P0123,689.42
P0124,128.13
P0125,112.41
P0126,21.2
P0127,62.61
P0128,110.48
P0129,75.52
P0130,485.5
P0131,120.69
P0132,446.41
P0133,147.99
P0134,144.77
P0135,129.25
P0136,140.48
P0137,657.57
P0138,17.36
P0139,23.11
P0140,85.87
P0141,141.84
P0142,260.53
P0143,214.31
P0144,99.07
P0145,350.3
P0146,353.83
P0147,165.22
P0148,332.96
P0149,178.94
P0150,84.46
P0151,262.35
P0152,154.65
P0153,140.17
P0154,527.05
P0155,15.42
P0156,39.08
P0157,48.1
P0158,100.96
P0159,111.33
P0160,36.06
P0161,57.69
P0162,64.51
P0163,1278.35
P0164,708.54
P0165,96.65
P0166,100.93
P0167,49.77
P0168,25.14
P0169,126.02
P0170,57.03
P0171,129.71
P0172,33.16
P0173,70.52
P0174,160.04
P0175,194.66
P0176,203.85
P0177,42.66
P0178,302.13
P0179,68.13
P0180,247.45
P0181,138.67
P0182,40.56
P0183,105.33
P0184,194.51
P0185,243.06
P0186,123.32
P0187,555.71
P0188,346.68
P0189,111.12
P0190,274.99
P0191,797.96
P0192,817.36
P0193,46.36
P0194,60.81
P0195,532.76
P0196,54.01
P0197,42.58
P0198,90.38
P0199,204.35
P0200,127.67
P0201,77.96
P0202,76.31
P0203,73.74
P0204,63.44
P0205,1091.29
P0206,182.98
P0207,310.98
P0208,90.15
P0209,118.43
P0210,73.66
P0211,12.87
P0212,40.51
P0213,27.44
P0214,18.48
P0215,47.74
P0216,461.32
P0217,134.51
P0218,447.26
P0219,202.66
P0220,283.14
P0221,62.23
P0222,224.35
P0223,269.75
P0224,83.32
P0225,231.65
P0226,233.04
P0227,85.37
P0228,50.97
P0229,48.23
P0230,151.34
P0231,187.91
P0232,68.61
P0233,143.39
P0234,233.95
P0235,244.21
P0236,565.85
P0237,441.83
P0238,56.85
P0239,637.06
P0240,86.81
P0241,358.54
P0242,148.83
P0243,96.61
P0244,27.51
P0245,119.97
P0246,34.4
P0247,334.36
P0248,548.26
P0249,68.34
P0250,183.72
P0251,72.88
P0252,79.52
P0253,281.09
P0254,135.23
P0255,670.03
P0256,90.71
P0257,344.14
P0258,152.83
P0259,286.53
P0260,93.62
P0261,133.89
P0262,126.18
P0263,65.97
P0264,254.05
P0265,251.36
P0266,238.85
P0267,558.31
P0268,515.97
P0269,99.9
P0270,195.86
P0271,79.87
P0272,142.97
P0273,81.6
P0274,601.67
P0275,194.22
P0276,115.06
P0277,409.89
P0278,19.85
P0279,22.85
P0280,286.55
P0281,147.83
P0282,175.4
P0283,42.43
P0284,137.1
P0285,849.63
P0286,293.95
P0287,163.1
P0288,94.3
P0289,98.15
P0290,20.6
P0291,176.53
P0292,299.64
P0293,33.91
P0294,77.2
P0295,49.4
P0296,58.72
P0297,146.9
P0298,21.45
P0299,243.35
P0300,275.92
P0301,111.68
P0302,15.01
P0303,57.1
P0304,424.65
P0305,11.49
P0306,102.4
P0307,48.41
P0308,288.81
P0309,76.25
