zip_id,lat,lon,region_code
Z00001,53.298734,5.989505,EMEA
Z00002,37.415161,-91.094425,NAM
Z00003,43.795784,10.422073,EMEA
Z00004,45.721999,-110.936295,NAM
Z00005,32.576163,76.379453,APAC
Z00006,34.819087,133.274867,APAC
Z00007,41.910581,-85.097573,NAM
Z00008,25.652405,-81.955374,NAM
Z00009,34.7272,-112.018965,NAM
Z00010,42.770394,-75.784547,NAM
Z00011,29.91398,-81.047117,NAM
Z00012,47.663755,13.439781,EMEA
Z00013,50.262099,-102.384198,NAM
Z00014,46.146731,-88.666111,NAM
Z00015,48.437556,0.676745,EMEA
Z00016,44.711824,10.176662,EMEA
Z00017,42.244611,124.596197,APAC
Z00018,48.352008,1.8667,EMEA
Z00019,44.577663,-124.356617,NAM
Z00020,47.660836,-121.982369,NAM
Z00021,40.553329,-86.321665,NAM
Z00022,46.937351,-70.737923,NAM
Z00023,47.764852,-116.408832,NAM
Z00024,30.220369,-87.816489,NAM
Z00025,50.651436,19.821054,EMEA
Z00026,33.125519,-87.228532,NAM
Z00027,43.631916,-81.922189,NAM
Z00028,43.154529,-87.118528,NAM
Z00029,39.024792,-82.588414,NAM
Z00030,42.837161,-76.804459,NAM
Z00031,39.868406,-83.000311,NAM
Z00032,50.590344,19.43588,EMEA
Z00033,53.969846,0.398904,EMEA
Z00034,34.309881,-81.283714,NAM
Z00035,51.897668,4.278944,EMEA
Z00036,57.314914,-2.240332,EMEA
Z00037,-39.086608,143.760359,APAC
Z00038,46.209582,-118.72832,NAM
Z00039,-22.472291,-43.182656,LATAM
Z00040,47.530256,14.341518,EMEA
Z00041,3.201585,-4.431714,EMEA
Z00042,26.304691,-79.595587,NAM
Z00043,28.546745,-96.796784,NAM
Z00044,35.306368,126.716959,APAC
Z00045,36.35439,-84.428285,NAM
Z00046,30.587789,-89.057965,NAM
Z00047,34.690135,-76.279132,NAM
Z00048,43.062405,2.332529,EMEA
Z00049,37.42163,-122.136013,NAM
Z00050,43.204771,-88.88721,NAM
Z00051,40.47088,-109.631628,NAM
Z00052,28.640211,116.404583,APAC
Z00053,39.730086,-119.89276,NAM
Z00054,43.464528,-92.980765,NAM
Z00055,43.30163,116.187008,APAC
Z00056,54.52329,13.715547,EMEA
Z00057,23.671777,72.166223,APAC
Z00058,26.511462,-80.553827,NAM
Z00059,-1.968249,105.260577,APAC
Z00060,30.480779,111.628386,APAC
Z00061,37.025497,-87.207258,NAM
Z00062,42.158322,-87.558731,NAM
Z00063,25.792206,-80.101825,NAM
Z00064,40.538418,-74.367193,NAM
Z00065,23.928212,117.001564,APAC
Z00066,24.358287,66.860819,APAC
Z00067,32.866714,109.734785,APAC
Z00068,40.452378,-93.394455,NAM
Z00069,31.074554,-85.97539,NAM
Z00070,42.469779,-0.027836,EMEA
Z00071,37.409794,-79.77535,NAM
Z00072,42.266485,9.487433,EMEA
Z00073,47.803488,9.309431,EMEA
Z00074,32.244552,117.562669,APAC
Z00075,34.665782,113.146993,APAC
Z00076,35.541051,-92.661386,NAM
Z00077,33.486693,113.916094,APAC
Z00078,48.708173,8.662322,EMEA
Z00079,34.958075,-104.541576,NAM
Z00080,40.487253,123.085118,APAC
Z00081,47.424959,-120.871109,NAM
Z00082,45.793843,4.526628,EMEA
Z00083,41.18883,-90.700898,NAM
Z00084,30.70047,121.534391,APAC
Z00085,40.44597,-72.948982,NAM
Z00086,45.714089,10.209932,EMEA
Z00087,49.094627,8.742584,EMEA
Z00088,48.619113,25.778791,EMEA
Z00089,51.269486,13.381082,EMEA
Z00090,-8.110031,-35.390354,LATAM
Z00091,40.470176,-79.094569,NAM
Z00092,23.592499,117.742991,APAC
Z00093,48.876695,15.164312,EMEA
Z00094,31.966908,-117.4104,NAM
Z00095,34.53606,-112.19523,NAM
Z00096,35.202244,33.641071,EMEA
Z00097,44.547255,14.040543,EMEA
Z00098,41.248085,14.421735,EMEA
Z00099,40.34044,-76.988391,NAM
Z00100,41.435136,-71.785404,NAM
Z00101,51.642094,1.936287,EMEA
Z00102,47.668354,19.051767,EMEA
Z00103,33.645536,-92.609827,NAM
Z00104,44.876045,5.765054,EMEA
Z00105,39.752222,-0.571795,EMEA
Z00106,52.404046,4.135738,EMEA
Z00107,40.137091,-75.933024,NAM
Z00108,49.954471,73.825349,APAC
Z00109,7.04419,-73.647825,LATAM
Z00110,40.496809,-79.241004,NAM
Z00111,31.261428,-105.574719,NAM
Z00112,33.563779,-104.893659,NAM
Z00113,23.724127,105.889302,APAC
Z00114,50.453808,-117.245993,NAM
Z00115,42.051077,44.274026,EMEA
Z00116,36.801128,135.557629,APAC
Z00117,34.539381,108.670792,APAC
Z00118,44.46069,17.119463,EMEA
Z00119,29.781933,-99.034327,NAM
Z00120,24.260714,108.047644,APAC
Z00121,49.852417,7.99875,EMEA
Z00122,-11.033769,-78.689256,LATAM
Z00123,-25.42219,150.35626,APAC
Z00124,38.673056,15.351725,EMEA
Z00125,38.0742,-84.541745,NAM
Z00126,13.048903,81.912493,APAC
Z00127,35.278845,-94.80398,NAM
Z00128,30.280943,32.351128,EMEA
Z00129,44.218476,-77.457414,NAM
Z00130,42.781324,-1.411316,EMEA
Z00131,41.724003,-92.1447,NAM
Z00132,37.036757,-88.902519,NAM
Z00133,42.064117,-76.786664,NAM
Z00134,41.903824,-85.765376,NAM
Z00135,37.271467,-74.129031,NAM
Z00136,39.121954,32.871969,EMEA
Z00137,-16.538433,145.847252,APAC
Z00138,38.631776,-89.855824,NAM
Z00139,34.185543,-101.242521,NAM
Z00140,39.416788,32.630033,EMEA
Z00141,46.633237,-116.340897,NAM
Z00142,41.294112,12.859056,EMEA
Z00143,53.509582,10.453762,EMEA
Z00144,47.373284,25.087652,EMEA
Z00145,42.295736,-71.692799,NAM
Z00146,22.726071,80.629636,APAC
Z00147,31.740894,-96.360634,NAM
Z00148,39.283536,-75.849275,NAM
Z00149,22.906474,109.151917,APAC
Z00150,27.118082,-83.350358,NAM
Z00151,26.593715,-81.022562,NAM
Z00152,37.445548,-120.821598,NAM
Z00153,40.665611,95.020841,APAC
Z00154,42.815457,-112.337912,NAM
Z00155,33.562225,120.086413,APAC
Z00156,41.36659,-82.942409,NAM
Z00157,57.816314,14.329348,EMEA
Z00158,50.507646,19.324123,EMEA
Z00159,32.018439,36.147811,EMEA
Z00160,34.741618,-83.967146,NAM
Z00161,37.785245,-123.339402,NAM
Z00162,52.13679,-3.369028,EMEA
Z00163,21.484035,108.009579,APAC
Z00164,44.857777,10.004132,EMEA
Z00165,33.491151,-82.641582,NAM
Z00166,-16.794025,145.081738,APAC
Z00167,44.316405,-85.979608,NAM
Z00168,40.624653,-112.359219,NAM
Z00169,61.453106,10.217271,EMEA
Z00170,39.402782,-103.506198,NAM
Z00171,-6.743693,110.785319,APAC
Z00172,53.251621,4.120919,EMEA
Z00173,26.02575,-82.405897,NAM
Z00174,57.669321,10.666428,EMEA
Z00175,-4.959361,40.148816,EMEA
Z00176,49.748708,19.914624,EMEA
Z00177,39.383556,-76.564843,NAM
Z00178,54.802807,26.327406,EMEA
Z00179,43.955429,-91.567827,NAM
Z00180,43.783055,-74.273897,NAM
Z00181,42.065156,-71.968293,NAM
Z00182,46.408729,-116.858695,NAM
Z00183,29.951582,113.282496,APAC
Z00184,22.17946,116.742158,APAC
Z00185,46.040578,-71.540129,NAM
Z00186,30.531897,-88.197118,NAM
Z00187,32.552207,-96.461814,NAM
Z00188,51.815355,9.203867,EMEA
Z00189,40.781316,-73.748787,NAM
Z00190,42.130854,115.552776,APAC
Z00191,41.983042,7.131357,EMEA
Z00192,32.853577,70.442499,APAC
Z00193,34.41641,-95.726609,NAM
Z00194,28.905777,-87.69377,NAM
Z00195,13.810584,76.339746,APAC
Z00196,40.256917,-89.62606,NAM
Z00197,51.137778,5.940532,EMEA
Z00198,45.734677,10.896061,EMEA
Z00199,24.783397,118.666901,APAC
Z00200,35.724643,133.347081,APAC
Z00201,40.037237,-79.327967,NAM
Z00202,51.417574,1.880784,EMEA
Z00203,22.849875,120.508655,APAC
Z00204,41.015816,122.622019,APAC
Z00205,36.713456,15.007037,EMEA
Z00206,43.394374,-3.919271,EMEA
Z00207,53.302092,16.447619,EMEA
Z00208,39.005533,13.743897,EMEA
Z00209,35.510052,-92.747768,NAM
Z00210,24.319947,76.986123,APAC
Z00211,-31.479843,30.274584,EMEA
Z00212,44.748931,-75.520593,NAM
Z00213,41.578707,-71.428293,NAM
Z00214,30.269792,116.305991,APAC
Z00215,44.211377,126.003609,APAC
Z00216,42.769853,-73.350174,NAM
Z00217,42.88291,-93.584833,NAM
Z00218,37.634217,-80.654433,NAM
Z00219,44.293202,87.168844,APAC
Z00220,42.321303,23.762948,EMEA
Z00221,28.758885,102.64013,APAC
Z00222,40.076697,-104.810439,NAM
Z00223,31.991067,74.644118,APAC
Z00224,45.815486,84.370882,APAC
Z00225,-28.438178,151.20238,APAC
Z00226,40.515099,-71.359793,NAM
Z00227,28.216689,118.286985,APAC
Z00228,41.346986,-6.311832,EMEA
Z00229,42.493696,3.438494,EMEA
Z00230,49.818138,-121.207087,NAM
Z00231,37.469463,110.275828,APAC
Z00232,44.360989,-78.911118,NAM
Z00233,32.805915,-93.795423,NAM
Z00234,45.379159,-0.183378,EMEA
Z00235,38.42073,-97.703972,NAM
Z00236,39.789402,-75.260283,NAM
Z00237,39.151557,-104.28114,NAM
Z00238,36.954163,118.689934,APAC
Z00239,45.781442,-108.827821,NAM
Z00240,39.081768,118.417482,APAC
Z00241,47.230905,11.318783,EMEA
Z00242,37.743859,-77.354863,NAM
Z00243,-1.951986,101.108934,APAC
Z00244,-37.707645,143.147252,APAC
Z00245,46.863863,22.810402,EMEA
Z00246,51.607732,15.137418,EMEA
Z00247,46.721531,-68.713279,NAM
Z00248,3.263211,100.71143,APAC
Z00249,21.244912,-157.546321,NAM
Z00250,39.748195,-87.708052,NAM
Z00251,29.640632,103.970594,APAC
Z00252,36.513568,-82.762522,NAM
Z00253,37.417952,-86.983643,NAM
Z00254,52.193056,-105.77516,NAM
Z00255,39.788909,-77.097425,NAM
Z00256,41.527534,122.869302,APAC
Z00257,41.40661,-87.379086,NAM
Z00258,-17.761861,-49.330816,LATAM
Z00259,43.022882,-87.775032,NAM
Z00260,39.798821,-86.054426,NAM
Z00261,29.611331,-92.89909,NAM
Z00262,33.504607,-97.396997,NAM
Z00263,40.226207,-72.440755,NAM
Z00264,37.933886,0.039278,EMEA
Z00265,45.084021,-71.563106,NAM
Z00266,48.235359,3.540201,EMEA
Z00267,42.439841,-83.142465,NAM
Z00268,31.720183,-84.445314,NAM
Z00269,31.944062,-89.399787,NAM
Z00270,40.274115,-76.164976,NAM
Z00271,38.393914,16.27326,EMEA
Z00272,45.971511,26.670307,EMEA
Z00273,33.107191,-121.513742,NAM
Z00274,35.102462,-119.214106,NAM
Z00275,40.250859,-82.397181,NAM
Z00276,41.798892,12.608467,EMEA
Z00277,48.785238,5.321687,EMEA
Z00278,44.868973,-70.424394,NAM
Z00279,41.081728,28.78018,EMEA
Z00280,40.054987,-76.546424,NAM
Z00281,41.604123,-112.30998,NAM
Z00282,51.968331,10.712835,EMEA
Z00283,39.226747,-121.909347,NAM
Z00284,50.199203,9.192446,EMEA
Z00285,43.623894,-91.063959,NAM
Z00286,45.683023,9.253927,EMEA
Z00287,36.430543,116.968091,APAC
Z00288,41.005228,-89.620064,NAM
Z00289,46.032286,4.928771,EMEA
Z00290,19.051085,-100.169219,LATAM
Z00291,36.005676,-121.347478,NAM
Z00292,34.842063,-91.892778,NAM
Z00293,43.33825,31.836804,EMEA
Z00294,32.545168,112.393748,APAC
Z00295,50.344338,7.990035,EMEA
Z00296,21.174691,-101.963457,LATAM
Z00297,34.638558,-92.371367,NAM
Z00298,38.201706,-94.890772,NAM
Z00299,40.533504,-97.323593,NAM
Z00300,23.920309,117.465282,APAC
Z00301,33.305825,-87.648082,NAM
Z00302,35.214588,-119.514933,NAM
Z00303,32.136602,119.846741,APAC
Z00304,42.248946,-75.11981,NAM
Z00305,41.427568,-79.05966,NAM
Z00306,41.502359,-0.767752,EMEA
Z00307,40.976643,-96.364891,NAM
Z00308,29.694516,-80.401861,NAM
Z00309,41.16177,-104.061205,NAM
Z00310,-22.777157,-45.960713,LATAM
Z00311,35.110024,-78.596163,NAM
Z00312,48.239298,-121.955337,NAM
Z00313,53.874852,20.718461,EMEA
Z00314,49.734634,17.013,EMEA
Z00315,60.844916,34.787413,EMEA
Z00316,34.138127,-81.487294,NAM
Z00317,50.917452,-118.486166,NAM
Z00318,23.250658,120.395727,APAC
Z00319,41.342953,122.538498,APAC
Z00320,38.971286,-105.505985,NAM
