zip_id,part_id,Q_ik,b_ik
Z00001,P0011,1,3
Z00001,P0020,1,4
Z00001,P0022,1,1
Z00001,P0035,1,1
Z00001,P0040,1,1
Z00001,P0085,1,2
Z00001,P0129,1,2
Z00001,P0142,1,3
Z00001,P0175,1,2
Z00001,P0178,1,3
Z00001,P0184,1,1
Z00001,P0203,1,4
Z00001,P0214,1,1
Z00001,P0226,1,3
Z00001,P0229,1,4
Z00001,P0231,1,3
Z00001,P0239,1,2
Z00001,P0265,1,2
Z00001,P0278,1,2
Z00001,P0287,1,3
Z00001,P0299,1,2
Z00001,P0330,1,5
Z00001,P0337,1,2
Z00001,P0342,1,2
Z00001,P0344,1,3
Z00001,P0361,1,5
Z00001,P0407,1,5
Z00001,P0413,1,2
Z00001,P0414,1,1
Z00001,P0446,1,2
Z00001,P0458,1,2
Z00001,P0461,1,3
Z00001,P0492,1,2
Z00001,P0495,1,2
Z00001,P0520,1,2
Z00001,P0522,1,1
Z00001,P0541,1,3
Z00001,P0565,1,2
Z00001,P0570,1,6
Z00001,P0593,1,3
Z00002,P0019,1,1
Z00002,P0043,1,1
Z00002,P0046,1,1
Z00002,P0047,1,3
Z00002,P0055,1,2
Z00002,P0068,1,2
Z00002,P0070,1,1
Z00002,P0086,1,3
Z00002,P0113,1,4
Z00002,P0124,1,1
Z00002,P0130,1,2
Z00002,P0131,1,5
Z00002,P0142,1,2
Z00002,P0153,1,2
Z00002,P0165,1,3
Z00002,P0177,1,1
Z00002,P0188,1,1
Z00002,P0198,1,2
Z00002,P0214,1,2
Z00002,P0249,1,3
Z00002,P0253,1,2
Z00002,P0266,1,2
Z00002,P0279,1,2
Z00002,P0282,1,2
Z00002,P0284,1,3
Z00002,P0289,1,1
Z00002,P0291,1,4
Z00002,P0294,1,1
Z00002,P0296,1,1
Z00002,P0309,1,4
Z00002,P0310,1,3
Z00002,P0313,1,1
Z00002,P0330,1,4
Z00002,P0370,1,3
Z00002,P0381,1,3
Z00002,P0396,1,1
Z00002,P0398,1,3
Z00002,P0402,1,4
Z00002,P0429,1,1
Z00002,P0433,1,2
Z00002,P0436,1,1
Z00002,P0447,1,3
Z00002,P0453,1,3
Z00002,P0486,1,2
Z00002,P0492,1,3
Z00002,P0496,1,3
Z00002,P0540,1,4
Z00002,P0548,1,1
Z00002,P0553,1,1
Z00002,P0560,1,1
Z00002,P0561,1,2
Z00002,P0564,1,1
Z00002,P0579,1,1
Z00002,P0584,1,1
Z00002,P0592,1,1
Z00003,P0014,1,1
Z00003,P0017,1,1
Z00003,P0021,1,2
Z00003,P0024,1,1
Z00003,P0030,1,2
Z00003,P0035,1,1
Z00003,P0039,1,3
Z00003,P0045,1,4
Z00003,P0063,1,2
Z00003,P0069,1,2
Z00003,P0071,1,4
Z00003,P0082,1,2
Z00003,P0107,1,1
Z00003,P0115,1,1
Z00003,P0119,1,1
Z00003,P0132,1,4
Z00003,P0136,1,4
Z00003,P0140,1,3
Z00003,P0145,1,1
Z00003,P0152,1,3
Z00003,P0153,1,1
Z00003,P0163,1,2
Z00003,P0177,1,1
Z00003,P0181,1,3
Z00003,P0188,1,1
Z00003,P0216,1,1
Z00003,P0222,1,4
Z00003,P0224,1,2
Z00003,P0226,1,4
Z00003,P0227,1,3
Z00003,P0251,1,3
Z00003,P0266,1,2
Z00003,P0268,1,1
Z00003,P0279,1,3
Z00003,P0280,1,3
Z00003,P0293,1,3
Z00003,P0299,1,2
Z00003,P0312,1,2
Z00003,P0321,1,4
Z00003,P0326,1,2
Z00003,P0330,1,4
Z00003,P0346,1,2
Z00003,P0355,1,2
Z00003,P0357,1,1
Z00003,P0361,1,2
Z00003,P0367,1,6
Z00003,P0369,1,8
Z00003,P0371,1,2
Z00003,P0372,1,4
Z00003,P0384,1,2
Z00003,P0385,1,1
Z00003,P0391,1,2
Z00003,P0394,1,1
Z00003,P0395,1,2
Z00003,P0414,1,2
Z00003,P0415,1,1
Z00003,P0417,1,2
Z00003,P0420,1,2
Z00003,P0443,1,3
Z00003,P0453,1,2
Z00003,P0454,1,1
Z00003,P0459,1,2
Z00003,P0473,1,1
Z00003,P0499,1,4
Z00003,P0505,1,5
Z00003,P0509,1,3
Z00003,P0510,1,1
Z00003,P0517,1,2
Z00003,P0523,1,2
Z00003,P0532,1,2
Z00003,P0537,1,1
Z00003,P0538,1,1
Z00003,P0544,1,1
Z00003,P0556,1,4
Z00003,P0566,1,1
Z00003,P0570,1,3
Z00003,P0600,1,3
Z00004,P0014,1,3
Z00004,P0043,1,4
