zip_id,hub_id,d_ij
Z00001,H001,3656.6
Z00001,H002,4261.01
Z00001,H003,570.34
Z00001,H004,4457.42
Z00001,H005,3111.46
Z00001,H006,174.65
Z00001,H007,513.99
Z00001,H008,441.47
Z00001,H009,1055.93
Z00001,H010,9684.13
Z00001,H011,4277.55
Z00001,H012,363.36
Z00001,H013,205.12
Z00001,H014,265.55
Z00001,H015,914.32
Z00001,H016,9888.52
Z00001,H017,8585.39
Z00001,H018,4348.46
Z00001,H019,4119.72
Z00001,H020,4562.53
Z00001,H021,4457.23
Z00001,H022,4477.53
Z00001,H023,529.01
Z00001,H024,4589.94
Z00001,H025,4062.86
Z00001,H026,4748.83
Z00001,H027,6871.69
Z00001,H028,9124.32
Z00001,H029,113.99
Z00001,H030,8220.97
Z00001,H031,471.52
Z00001,H032,273.42
Z00001,H033,7395.52
Z00001,H034,6390.25
Z00001,H035,277.06
Z00001,H036,88.64
Z00001,H037,496.57
Z00001,H038,12.49
Z00001,H039,230.53
Z00001,H040,241.1
Z00001,H041,8220.45
Z00001,H042,417.48
Z00001,H043,7541.3
Z00001,H044,4201.75
Z00001,H045,3582.07
Z00001,H046,1704.94
Z00001,H047,199.2
Z00001,H048,4118.41
Z00001,H049,3040.03
Z00001,H050,401.17
Z00001,H051,224.28
Z00001,H052,428.45
Z00001,H053,689.01
Z00001,H054,4123.41
Z00001,H055,382.05
Z00001,H056,4011.71
Z00001,H057,4466.14
Z00001,H058,4032.09
Z00001,H059,9305.59
Z00001,H060,9149.81
Z00001,H061,890.62
Z00001,H062,805.36
Z00001,H063,314.03
Z00001,H064,343.79
Z00001,H065,4302.76
Z00001,H066,4075.07
Z00001,H067,6916.41
Z00001,H068,285.92
Z00001,H069,4190.01
Z00001,H070,7369.22
Z00001,H071,561.04
Z00001,H072,4279.43
Z00001,H073,4428.23
Z00001,H074,541.56
Z00001,H075,555.67
Z00001,H076,658.52
Z00001,H077,826.43
Z00001,H078,980.57
Z00001,H079,399.1
Z00001,H080,1507.89
Z00001,H081,162.53
Z00001,H082,7908.78
Z00001,H083,388.94
Z00001,H084,182.35
Z00001,H085,425.46
Z00001,H086,467.19
Z00001,H087,10035.65
