hub_id,anchor_id,anchor_city,lat,lon,region_code,T_j,B_j
H001,GB_SCT_ABERDEEN,Aberdeen,57.14369,-2.09814,EMEA,1,210
H002,ES_60_ALICANTE,Alicante,38.34517,-0.48149,EMEA,1,360
H003,US_IA_AMES,Ames,42.03471,-93.61994,NAM,0,360
H004,BR_29_ANAPOLIS,Anapolis,-16.32667,-48.95278,LATAM,1,360
H005,US_AK_ANCHORAGE,Anchorage,61.21806,-149.90028,NAM,0,360
H006,US_MI_ANN_ARBOR,Ann Arbor,42.27756,-83.74088,NAM,1,360
H007,US_AL_AUBURN,Auburn,32.60986,-85.48078,NAM,1,360
H008,US_GA_AUGUSTA,Augusta,33.47097,-81.97484,NAM,1,360
H009,US_TX_AUSTIN,Austin,30.26715,-97.74306,NAM,1,210
H010,ID_12_BANJARMASIN,Banjarmasin,-3.31987,114.59075,APAC,1,210
H011,ES_56_BARCELONA,Barcelona,41.38879,2.15899,EMEA,1,360
H012,CA_08_BARRIE,Barrie,44.40011,-79.66634,NAM,1,210
H013,US_MI_BATTLE_CREEK,Battle Creek,42.3173,-85.17816,NAM,1,360
H014,US_MI_BAY_CITY,Bay City,43.59447,-83.88886,NAM,1,360
H015,US_TX_BEAUMONT,Beaumont,30.08605,-94.10185,NAM,0,510
H016,AU_07_BENDIGO,Bendigo,-36.75818,144.28024,APAC,1,510
H017,IN_19_BENGALURU,Bengaluru,12.97194,77.59369,APAC,1,210
H018,DE_16_BERLIN,Berlin,52.52437,13.41053,EMEA,1,210
H019,DE_07_BOCHOLT,Bocholt,51.83879,6.61531,EMEA,1,210
H020,IT_05_BOLOGNA,Bologna,44.49381,11.33875,EMEA,0,360
H021,BR_07_BRASILIA,Brasilia,-15.77972,-47.92972,LATAM,0,360
H022,IT_09_BRESCIA,Brescia,45.53558,10.21472,EMEA,0,510
H023,US_CT_BRIDGEPORT,Bridgeport,41.17923,-73.18945,NAM,0,210
H024,CZ_78_BRNO,Brno,49.19522,16.60796,EMEA,1,360
H025,BE_BRU_BRUSSELS,Brussels,50.85045,4.34878,EMEA,0,210
H026,HU_05_BUDAPEST,Budapest,47.49835,19.04045,EMEA,1,210
H027,KR_10_BUSAN,Busan,35.10168,129.03004,APAC,0,210
