part_id,current_home_hub
P0001,H129
P0002,H075
P0003,H045
P0004,H159
P0005,H068
P0006,H018
P0007,H199
P0008,H199
P0009,H081
P0010,H014
P0011,H100
P0012,H041
P0013,H054
P0014,H147
P0015,H046
P0016,H086
P0017,H109
P0018,H116
P0019,H032
P0020,H108
P0021,H121
P0022,H090
P0023,H159
P0024,H001
P0025,H139
P0026,H143
P0027,H053
P0028,H045
P0029,H147
P0030,H148
P0031,H161
P0032,H013
P0033,H106
P0034,H033
P0035,H037
P0036,H001
P0037,H008
P0038,H031
P0039,H100
P0040,H052
P0041,H045
P0042,H076
P0043,H084
P0044,H168
P0045,H157
P0046,H120
P0047,H013
P0048,H149
P0049,H157
P0050,H008
P0051,H051
P0052,H052
P0053,H134
P0054,H018
P0055,H011
P0056,H174
P0057,H192
P0058,H026
P0059,H054
P0060,H182
P0061,H032
P0062,H086
P0063,H026
P0064,H067
P0065,H041
P0066,H161
P0067,H084
P0068,H113
P0069,H090
P0070,H038
P0071,H184
P0072,H120
P0073,H004
P0074,H067
P0075,H052
P0076,H037
P0077,H109
P0078,H088
P0079,H035
P0080,H108
P0081,H062
P0082,H064
P0083,H193
P0084,H189
P0085,H184
P0086,H033
P0087,H165
P0088,H140
P0089,H062
P0090,H098
P0091,H013
P0092,H106
P0093,H118
P0094,H010
P0095,H187
P0096,H145
P0097,H061
P0098,H198
P0099,H076
P0100,H098
P0101,H010
P0102,H031
P0103,H100
P0104,H155
P0105,H137
P0106,H026
P0107,H002
P0108,H007
P0109,H186
P0110,H033
P0111,H035
P0112,H094
P0113,H092
P0114,H046
P0115,H131
P0116,H118
P0117,H092
P0118,H085
P0119,H066
P0120,H111
P0121,H199
P0122,H168
P0123,H199
P0124,H004
P0125,H103
P0126,H138
P0127,H076
P0128,H051
P0129,H172
P0130,H161
P0131,H186
P0132,H186
P0133,H182
P0134,H116
P0135,H187
P0136,H011
P0137,H118
P0138,H004
P0139,H137
P0140,H081
P0141,H199
P0142,H067
P0143,H012
P0144,H084
P0145,H033
P0146,H094
P0147,H149
P0148,H014
P0149,H140
P0150,H050
P0151,H046
P0152,H105
P0153,H197
P0154,H042
P0155,H075
P0156,H068
P0157,H039
P0158,H116
P0159,H061
P0160,H147
P0161,H084
P0162,H106
P0163,H171
P0164,H116
P0165,H162
P0166,H004
P0167,H190
P0168,H076
P0169,H161
P0170,H079
P0171,H090
P0172,H040
P0173,H067
P0174,H106
P0175,H033
P0176,H012
P0177,H063
P0178,H008
P0179,H133
P0180,H162
P0181,H125
P0182,H052
P0183,H016
P0184,H045
P0185,H191
P0186,H033
P0187,H161
P0188,H129
P0189,H176
P0190,H098
P0191,H024
P0192,H081
P0193,H187
P0194,H017
P0195,H196
P0196,H019
P0197,H175
P0198,H042
P0199,H105
P0200,H133
P0201,H187
P0202,H033
P0203,H088
P0204,H174
P0205,H166
P0206,H186
P0207,H011
P0208,H066
P0209,H163
P0210,H038
P0211,H031
P0212,H198
P0213,H041
P0214,H014
P0215,H147
P0216,H190
P0217,H057
P0218,H043
P0219,H029
P0220,H094
P0221,H012
P0222,H010
P0223,H113
P0224,H165
P0225,H190
P0226,H175
P0227,H014
P0228,H186
P0229,H080
