part_id,P_k
P0001,100.51
P0002,190.38
P0003,663.46
P0004,57.6
P0005,112.27
P0006,281.81
P0007,207.04
P0008,99.79
P0009,124.11
P0010,40.62
P0011,112.99
P0012,110.16
P0013,172.53
P0014,84.93
P0015,214.01
P0016,348.31
P0017,161.02
P0018,192.14
P0019,146.86
P0020,140.01
P0021,73.13
P0022,186.14
P0023,128.26
P0024,921.03
P0025,576.9
P0026,198.13
P0027,70.45
P0028,51.44
P0029,408.98
P0030,177.35
P0031,215.67
P0032,29.12
P0033,322.58
P0034,210.74
P0035,51.53
P0036,91.59
P0037,177.5
P0038,146.77
P0039,107.63
P0040,127.55
P0041,111.59
P0042,160.61
P0043,526.36
P0044,13.9
P0045,113.12
P0046,164.1
P0047,182.73
P0048,100.18
P0049,28.81
P0050,188.07
P0051,662.66
P0052,35.2
P0053,304.63
P0054,104.16
P0055,132.48
P0056,54.27
P0057,103.61
P0058,451.1
P0059,236.52
P0060,665.62
P0061,403.96
P0062,207.85
P0063,672.62
P0064,207.83
P0065,294.96
P0066,107.2
P0067,148.64
P0068,74.74
P0069,341.13
P0070,48.48
P0071,283.09
P0072,117.93
P0073,401.72
P0074,275.18
P0075,720.7
P0076,270.25
P0077,34.02
P0078,131.81
P0079,48.76
P0080,87.81
P0081,545.52
P0082,248.5
P0083,74.63
P0084,56.22
P0085,144.19
P0086,46.84
P0087,76.52
P0088,185.39
P0089,396.0
P0090,242.14
P0091,17.81
P0092,184.12
P0093,149.38
P0094,203.19
P0095,599.58
P0096,21.86
P0097,82.24
P0098,238.28
P0099,33.72
P0100,528.48
P0101,195.03
P0102,299.94
P0103,83.75
P0104,291.21
P0105,366.23
P0106,172.64
P0107,172.88
P0108,178.56
P0109,64.37
P0110,122.59
P0111,122.04
P0112,197.69
P0113,344.29
P0114,54.0
P0115,125.1
P0116,531.1
P0117,71.69
P0118,66.79
P0119,167.96
P0120,299.34
P0121,141.45
P0122,462.99
P0123,302.7
P0124,298.65
P0125,230.52
P0126,1137.43
P0127,116.4
P0128,23.07
P0129,593.16
P0130,92.73
P0131,154.27
P0132,454.97
P0133,33.1
P0134,45.38
P0135,33.13
P0136,68.51
P0137,207.95
P0138,224.4
P0139,179.52
P0140,39.26
P0141,17.51
P0142,147.02
P0143,91.56
P0144,211.68
P0145,263.33
P0146,158.55
P0147,277.48
P0148,172.08
P0149,225.59
P0150,74.25
P0151,119.1
P0152,167.12
P0153,292.98
P0154,98.23
P0155,223.79
P0156,110.21
P0157,125.95
P0158,295.36
P0159,23.29
P0160,43.59
P0161,36.88
P0162,17.14
P0163,76.04
P0164,274.82
P0165,108.34
P0166,167.28
P0167,373.13
P0168,462.46
P0169,131.55
P0170,473.37
P0171,152.1
P0172,65.89
P0173,82.0
P0174,36.93
P0175,62.95
P0176,101.44
P0177,288.55
P0178,658.74
P0179,40.35
P0180,199.37
P0181,54.88
P0182,214.62
P0183,124.42
P0184,26.95
P0185,322.82
P0186,81.22
P0187,86.59
P0188,53.46
P0189,77.69
P0190,205.77
P0191,118.08
P0192,188.19
P0193,193.91
P0194,459.55
P0195,102.84
P0196,37.06
P0197,365.82
P0198,103.89
P0199,381.75
P0200,197.69
P0201,124.41
P0202,191.63
P0203,810.42
P0204,907.71
P0205,149.02
P0206,161.71
P0207,368.8
P0208,65.4
P0209,188.94
P0210,136.78
P0211,185.71
P0212,66.13
P0213,33.48
P0214,21.67
P0215,51.21
P0216,92.65
P0217,107.53
P0218,800.43
P0219,378.81
P0220,58.9
P0221,191.44
P0222,97.05
P0223,108.39
P0224,165.41
P0225,244.42
P0226,103.16
P0227,364.71
P0228,50.09
P0229,140.8
P0230,1450.33
P0231,171.13
P0232,508.54
P0233,152.02
P0234,236.12
P0235,133.03
P0236,120.09
P0237,69.42
P0238,206.21
P0239,65.06
P0240,254.85
P0241,371.82
P0242,194.71
P0243,108.2
P0244,210.65
P0245,106.04
P0246,324.94
P0247,26.93
P0248,103.5
P0249,23.33
P0250,36.46
P0251,477.76
P0252,313.35
P0253,73.27
P0254,36.21
P0255,9.71
P0256,85.84
P0257,1236.47
