zip_id,lat,lon,region_code
Z00001,39.796873,-83.097038,NAM
Z00002,53.735439,6.924977,EMEA
Z00003,50.794367,16.869366,EMEA
Z00004,39.213781,-123.503632,NAM
Z00005,29.766008,-81.382898,NAM
Z00006,39.82359,-88.840829,NAM
Z00007,38.612183,-78.551863,NAM
Z00008,-15.874734,-47.475806,LATAM
Z00009,41.891739,-2.447596,EMEA
Z00010,46.72884,0.2699,EMEA
Z00011,42.485658,-83.930804,NAM
Z00012,43.43226,-86.178394,NAM
Z00013,32.535006,-79.427729,NAM
Z00014,38.780785,-93.283821,NAM
Z00015,-16.520834,146.401281,APAC
Z00016,27.317462,-100.095507,LATAM
Z00017,42.977517,-84.530654,NAM
Z00018,47.890941,6.229905,EMEA
Z00019,53.171375,8.370747,EMEA
Z00020,34.656159,-86.591985,NAM
Z00021,42.644828,-113.647633,NAM
Z00022,32.761704,-85.268619,NAM
Z00023,34.330056,-118.480481,NAM
Z00024,48.672608,16.248606,EMEA
Z00025,42.457419,-114.037144,NAM
Z00026,34.182254,-82.499843,NAM
Z00027,59.919697,-149.720169,NAM
Z00028,54.013024,6.345804,EMEA
Z00029,-7.550541,40.517546,EMEA
Z00030,-11.599031,-77.924244,LATAM
Z00031,-27.649927,153.353706,APAC
Z00032,49.290039,8.412334,EMEA
Z00033,38.040149,16.626445,EMEA
Z00034,37.909825,15.025016,EMEA
Z00035,44.753759,-76.115775,NAM
Z00036,27.59656,-97.613403,NAM
Z00037,38.763259,16.166574,EMEA
Z00038,38.621731,-88.577081,NAM
Z00039,41.657023,-87.327844,NAM
Z00040,55.621191,7.342523,EMEA
Z00041,32.443118,-79.890204,NAM
Z00042,35.016797,-81.91036,NAM
Z00043,38.545337,-84.588569,NAM
Z00044,30.240226,120.350082,APAC
Z00045,42.871873,-1.671572,EMEA
Z00046,26.124356,-100.9826,LATAM
Z00047,33.24173,-82.115324,NAM
Z00048,38.946764,-77.984896,NAM
Z00049,48.693672,20.161311,EMEA
Z00050,34.755425,-77.973701,NAM
Z00051,50.786798,8.815998,EMEA
Z00052,35.141644,128.043565,APAC
Z00053,25.629902,-100.452443,LATAM
Z00054,39.540561,1.126462,EMEA
Z00055,52.942569,5.026297,EMEA
Z00056,41.428989,-73.308604,NAM
Z00057,45.075005,-111.508396,NAM
Z00058,-16.048112,144.868522,APAC
Z00059,32.142176,-80.709686,NAM
Z00060,40.769884,-78.625013,NAM
Z00061,58.874247,-2.474487,EMEA
Z00062,43.773515,-115.462192,NAM
Z00063,32.015044,-118.1934,NAM
Z00064,33.724773,-82.016979,NAM
Z00065,30.149988,-84.029908,NAM
Z00066,36.6862,-81.686887,NAM
Z00067,42.199052,-92.543998,NAM
Z00068,29.92682,79.46912,APAC
Z00069,59.884078,27.368496,EMEA
Z00070,37.366347,-9.283085,EMEA
Z00071,46.807769,24.104187,EMEA
Z00072,34.766368,-86.946589,NAM
Z00073,48.128316,-122.182385,NAM
Z00074,42.636094,-93.340391,NAM
Z00075,-32.728317,153.074626,APAC
Z00076,39.956224,-74.873989,NAM
Z00077,34.592728,-115.32592,NAM
Z00078,42.856021,-87.803194,NAM
Z00079,-27.702432,153.072966,APAC
Z00080,40.00384,107.430649,APAC
Z00081,34.50007,-84.193153,NAM
Z00082,50.631925,4.757024,EMEA
Z00083,-16.943718,145.871283,APAC
Z00084,30.552293,-84.135947,NAM
Z00085,29.899982,-98.696749,NAM
Z00086,30.464079,-95.348109,NAM
Z00087,55.161415,7.344049,EMEA
Z00088,35.579759,-90.729804,NAM
Z00089,52.103564,-2.680566,EMEA
Z00090,-8.5737,39.910463,EMEA
Z00091,38.139036,15.781952,EMEA
Z00092,51.594932,9.042939,EMEA
Z00093,47.093782,-121.016522,NAM
Z00094,55.292024,12.647209,EMEA
Z00095,37.248032,-97.492874,NAM
Z00096,33.713649,-76.905361,NAM
Z00097,41.229927,-111.405686,NAM
Z00098,36.844595,119.609492,APAC
Z00099,42.307137,-80.739136,NAM
Z00100,-3.543503,-37.417493,LATAM
Z00101,33.55633,-94.011155,NAM
Z00102,-15.572827,146.943359,APAC
Z00103,42.189278,-111.840745,NAM
Z00104,44.147021,-1.763425,EMEA
Z00105,62.627167,-147.838818,NAM
Z00106,36.408062,111.158502,APAC
Z00107,41.019576,-74.398133,NAM
Z00108,42.205526,-83.707003,NAM
Z00109,35.441662,-78.610276,NAM
Z00110,51.320659,14.392445,EMEA
Z00111,35.171927,-81.984032,NAM
Z00112,42.064675,-93.670944,NAM
Z00113,38.340176,114.369649,APAC
Z00114,29.852521,-94.066487,NAM
Z00115,45.297092,27.860672,EMEA
Z00116,40.961575,-75.436755,NAM
Z00117,-37.947817,143.477835,APAC
Z00118,40.891954,1.980219,EMEA
