zip_id,part_id,Q_ik,b_ik
Z00001,P0020,1,1
Z00001,P0026,1,3
Z00001,P0028,1,1
Z00001,P0031,1,3
Z00001,P0044,1,5
Z00001,P0080,1,3
Z00001,P0084,1,1
Z00001,P0097,1,2
Z00001,P0101,1,2
Z00001,P0116,1,2
Z00001,P0123,1,6
Z00001,P0125,1,2
Z00001,P0134,1,2
Z00001,P0157,1,3
Z00001,P0161,1,4
Z00001,P0163,1,3
Z00001,P0165,1,1
Z00001,P0171,1,1
Z00001,P0175,1,3
Z00001,P0176,1,3
Z00001,P0188,1,6
Z00001,P0190,1,6
Z00001,P0195,1,1
Z00001,P0198,1,2
Z00001,P0218,1,4
Z00001,P0219,1,1
Z00001,P0224,1,1
Z00001,P0257,1,1
Z00001,P0262,1,2
Z00001,P0263,1,2
Z00001,P0303,1,1
Z00001,P0309,1,2
Z00001,P0314,1,2
Z00001,P0321,1,1
Z00001,P0342,1,2
Z00001,P0343,1,4
Z00001,P0348,1,6
Z00001,P0350,1,4
Z00001,P0363,1,2
Z00001,P0370,1,1
Z00001,P0395,1,5
Z00001,P0405,1,4
Z00001,P0409,1,1
Z00001,P0415,1,3
Z00001,P0418,1,1
Z00001,P0434,1,1
Z00001,P0436,1,2
Z00001,P0447,1,2
Z00001,P0465,1,2
Z00001,P0466,1,1
Z00001,P0481,1,3
Z00001,P0484,1,3
Z00001,P0504,1,2
Z00001,P0506,1,6
Z00001,P0511,1,3
Z00001,P0515,1,1
Z00001,P0518,1,2
Z00001,P0533,1,2
Z00001,P0539,1,5
Z00001,P0559,1,1
Z00001,P0565,1,3
Z00001,P0568,1,2
Z00001,P0573,1,5
Z00001,P0577,1,3
Z00001,P0580,1,3
Z00001,P0613,1,3
Z00001,P0627,1,4
Z00001,P0631,1,3
Z00001,P0665,1,3
Z00001,P0707,1,2
Z00001,P0712,1,1
Z00001,P0714,1,2
Z00001,P0720,1,2
Z00001,P0721,1,2
Z00001,P0722,1,3
Z00001,P0735,1,2
Z00001,P0737,1,2
Z00001,P0748,1,1
Z00001,P0752,1,5
Z00001,P0773,1,1
Z00001,P0780,1,1
Z00001,P0781,1,1
Z00002,P0001,1,2
Z00002,P0002,1,3
Z00002,P0004,1,4
Z00002,P0016,1,4
Z00002,P0020,1,4
Z00002,P0033,1,1
Z00002,P0035,1,4
Z00002,P0044,1,1
Z00002,P0050,1,4
Z00002,P0056,1,3
Z00002,P0067,1,2
Z00002,P0085,1,2
Z00002,P0093,1,2
Z00002,P0096,1,1
Z00002,P0101,1,5
Z00002,P0108,1,5
Z00002,P0111,1,1
Z00002,P0123,1,2
Z00002,P0131,1,2
Z00002,P0139,1,2
Z00002,P0164,1,2
Z00002,P0165,1,2
Z00002,P0168,1,3
Z00002,P0194,1,4
Z00002,P0203,1,4
Z00002,P0204,1,2
Z00002,P0227,1,3
