zip_id,hub_id,d_ij
Z00001,H001,2191.98
Z00001,H002,5532.45
Z00001,H003,6834.96
Z00001,H004,2014.19
Z00001,H005,1539.06
Z00001,H006,2405.72
Z00001,H007,1025.51
Z00001,H008,1115.94
Z00001,H009,6126.06
Z00001,H010,2257.95
Z00001,H011,1057.79
Z00001,H012,5903.26
Z00001,H013,3536.55
Z00001,H014,7490.91
Z00001,H015,6188.86
Z00001,H016,1522.98
Z00001,H017,7176.69
Z00001,H018,1928.27
Z00001,H019,5978.84
Z00001,H020,5975.64
Z00001,H021,7496.62
Z00001,H022,1654.68
Z00001,H023,2267.6
Z00001,H024,1503.05
Z00001,H025,6507.7
Z00001,H026,1324.83
Z00001,H027,9288.66
Z00001,H028,8166.61
Z00001,H029,2161.63
Z00001,H030,9492.88
Z00001,H031,9490.88
Z00001,H032,7651.84
Z00001,H033,6160.37
Z00001,H034,986.12
Z00001,H035,1895.79
Z00001,H036,7477.23
Z00001,H037,5456.48
Z00001,H038,2310.64
Z00001,H039,2179.85
Z00001,H040,8138.0
Z00001,H041,10129.76
Z00001,H042,6343.12
Z00001,H043,6224.9
Z00001,H044,6070.35
Z00001,H045,1770.44
Z00001,H046,1470.9
Z00001,H047,1853.29
Z00001,H048,1911.89
Z00001,H049,1727.6
Z00001,H050,6006.59
Z00001,H051,6456.51
Z00001,H052,2517.14
Z00001,H053,1364.22
Z00001,H054,1630.93
Z00001,H055,2152.99
Z00001,H056,6951.23
Z00001,H057,6535.11
Z00001,H058,5946.05
Z00001,H059,6371.43
Z00001,H060,5665.54
Z00001,H061,7525.53
Z00001,H062,5663.68
Z00001,H063,6473.04
Z00001,H064,644.04
Z00001,H065,5953.63
Z00001,H066,7027.34
Z00001,H067,6633.31
Z00001,H068,4896.66
Z00001,H069,2197.71
Z00001,H070,1920.89
Z00001,H071,7341.26
Z00001,H072,6354.02
Z00001,H073,7795.43
Z00001,H074,7927.96
Z00001,H075,2176.21
Z00001,H076,8909.71
Z00001,H077,5888.04
Z00001,H078,1561.71
Z00001,H079,6888.84
Z00001,H080,1707.78
Z00001,H081,2135.77
Z00001,H082,7921.18
Z00001,H083,8213.13
Z00001,H084,1897.48
Z00001,H085,1823.12
Z00001,H086,2031.31
Z00001,H087,1600.49
Z00001,H088,9267.1
Z00001,H089,8404.27
Z00001,H090,10097.73
Z00001,H091,1442.51
Z00001,H092,1821.64
Z00001,H093,1653.36
Z00001,H094,1806.2
Z00001,H095,1571.68
Z00001,H096,6064.28
Z00001,H097,2025.1
Z00001,H098,6828.46
Z00001,H099,1994.53
Z00001,H100,5684.81
Z00001,H101,1512.28
Z00001,H102,1905.16
Z00001,H103,7127.57
Z00001,H104,5925.21
Z00001,H105,5417.18
Z00001,H106,732.48
Z00001,H107,1960.3
Z00001,H108,5680.58
