hub_id,anchor_id,anchor_city,lat,lon,region_code,T_j,B_j
H001,CA_02_ABBOTSFORD,Abbotsford,49.05798,-122.25257,NAM,1,280
H002,GB_SCT_ABERDEEN,Aberdeen,57.14369,-2.09814,EMEA,1,280
H003,CI_93_ABIDJAN,Abidjan,5.35444,-4.00167,EMEA,1,480
H004,US_OH_AKRON,Akron,41.08144,-81.51901,NAM,1,480
H005,US_GA_ALBANY,Albany,31.57851,-84.15574,NAM,0,280
H006,US_NY_ALBANY,Albany,42.65258,-73.75623,NAM,0,480
H007,US_NM_ALBUQUERQUE,Albuquerque,35.08449,-106.65114,NAM,0,280
H008,US_LA_ALEXANDRIA,Alexandria,31.31129,-92.44514,NAM,1,680
H009,ES_60_ALICANTE,Alicante,38.34517,-0.48149,EMEA,1,680
H010,US_PA_ALLENTOWN,Allentown,40.60843,-75.49018,NAM,1,480
H011,US_TX_AMARILLO,Amarillo,35.222,-101.8313,NAM,1,280
H012,FR_32_AMIENS,Amiens,49.9,2.3,EMEA,1,480
H013,US_AK_ANCHORAGE,Anchorage,61.21806,-149.90028,NAM,1,680
H014,TR_68_ANKARA,Ankara,39.91987,32.85427,EMEA,1,280
H015,FR_84_ANNECY,Annecy,45.90878,6.12565,EMEA,1,480
H016,US_AL_ANNISTON,Anniston,33.65983,-85.83163,NAM,0,680
H017,CN_19_ANSHAN,Anshan,41.12361,122.99,APAC,1,280
H018,US_WI_APPLETON,Appleton,44.26193,-88.41538,NAM,1,280
H019,DK_18_ARHUS,Arhus,56.15674,10.21076,EMEA,0,480
H020,NL_03_ARNHEM,Arnhem,51.98,5.91111,EMEA,1,480
H021,KZ_05_ASTANA,Astana,51.1801,71.44598,APAC,0,680
H022,US_GA_ATHENS,Athens,33.96095,-83.37794,NAM,1,480
H023,US_NJ_ATLANTIC_CITY,Atlantic City,39.36415,-74.42306,NAM,1,680
H024,US_AL_AUBURN,Auburn,32.60986,-85.48078,NAM,1,680
H025,NZ_E7_AUCKLAND,Auckland,-36.84853,174.76349,APAC,1,480
H026,US_CA_BAKERSFIELD,Bakersfield,35.37329,-119.01871,NAM,0,280
H027,ID_14_BALIKPAPAN,Balikpapan,-1.26753,116.82887,APAC,0,680
H028,AU_07_BALLARAT,Ballarat,-37.56622,143.84957,APAC,1,680
H029,US_MD_BALTIMORE,Baltimore,39.29038,-76.61219,NAM,0,480
H030,TH_40_BANGKOK,Bangkok,13.75398,100.50144,APAC,0,280
H031,ID_12_BANJARMASIN,Banjarmasin,-3.31987,114.59075,APAC,1,280
H032,CN_20_BAOTOU,Baotou,40.6516,109.84389,APAC,0,480
H033,ES_56_BARCELONA,Barcelona,41.38879,2.15899,EMEA,1,480
H034,US_TX_BEAUMONT,Beaumont,30.08605,-94.10185,NAM,1,680
H035,US_WV_BECKLEY,Beckley,37.77817,-81.18816,NAM,1,680
H036,CN_22_BEIJING,Beijing,39.9075,116.39723,APAC,0,480
H037,GB_NIR_BELFAST,Belfast,54.59682,-5.92541,EMEA,1,680
H038,CA_08_BELLEVILLE,Belleville,44.16682,-77.38277,NAM,1,280
H039,US_WA_BELLINGHAM,Bellingham,48.75955,-122.48822,NAM,1,280
H040,AU_07_BENDIGO,Bendigo,-36.75818,144.28024,APAC,0,280
H041,IN_19_BENGALURU,Bengaluru,12.97194,77.59369,APAC,1,680
H042,IT_09_BERGAMO,Bergamo,45.69601,9.66721,EMEA,1,280
H043,DE_16_BERLIN,Berlin,52.52437,13.41053,EMEA,0,480
H044,DE_07_BIELEFELD,Bielefeld,52.03333,8.53333,EMEA,1,480
H045,US_MT_BILLINGS,Billings,45.78329,-108.50069,NAM,1,480
H046,US_AL_BIRMINGHAM,Birmingham,33.52066,-86.80249,NAM,0,480
H047,US_ND_BISMARCK,Bismarck,46.80833,-100.78374,NAM,1,480
H048,US_VA_BLACKSBURG,Blacksburg,37.22957,-80.41394,NAM,0,280
H049,US_IN_BLOOMINGTON,Bloomington,39.16533,-86.52639,NAM,1,480
H050,DE_07_BOCHOLT,Bocholt,51.83879,6.61531,EMEA,1,280
H051,IT_05_BOLOGNA,Bologna,44.49381,11.33875,EMEA,1,480
H052,US_MA_BOSTON,Boston,42.35843,-71.05977,NAM,1,280
H053,US_CO_BOULDER,Boulder,40.01499,-105.27055,NAM,1,280
H054,US_KY_BOWLING_GREEN,Bowling Green,36.99032,-86.4436,NAM,1,480
H055,CA_08_BRANTFORD,Brantford,43.1334,-80.26636,NAM,1,680
H056,RO_09_BRASOV,Brasov,45.64861,25.60613,EMEA,1,480
H057,SK_02_BRATISLAVA,Bratislava,48.14816,17.10674,EMEA,1,280
H058,NL_06_BREDA,Breda,51.58656,4.77596,EMEA,1,280
H059,IT_09_BRESCIA,Brescia,45.53558,10.21472,EMEA,1,280
H060,FR_53_BREST,Brest,48.39029,-4.48628,EMEA,0,480
H061,AU_04_BRISBANE,Brisbane,-27.46794,153.02809,APAC,0,280
H062,GB_ENG_BRISTOL,Bristol,51.45523,-2.59665,EMEA,1,680
H063,CZ_78_BRNO,Brno,49.19522,16.60796,EMEA,0,680
H064,US_TX_BROWNSVILLE,Brownsville,25.90175,-97.49748,NAM,1,280
H065,BE_BRU_BRUSSELS,Brussels,50.85045,4.34878,EMEA,1,480
H066,RO_10_BUCHAREST,Bucharest,44.43225,26.10626,EMEA,1,680
H067,HU_05_BUDAPEST,Budapest,47.49835,19.04045,EMEA,0,480
H068,AR_07_BUENOS_AIRES,Buenos Aires,-34.61315,-58.37723,LATAM,1,280
H069,US_NY_BUFFALO,Buffalo,42.88645,-78.87837,NAM,0,680
H070,US_NC_BURLINGTON,Burlington,36.09569,-79.4378,NAM,0,280
H071,TR_16_BURSA,Bursa,40.19559,29.06013,EMEA,1,280
H072,PL_73_BYDGOSZCZ,Bydgoszcz,53.1235,18.00762,EMEA,0,480
H073,AU_04_CAIRNS,Cairns,-16.92366,145.76613,APAC,1,480
H074,EG_11_CAIRO,Cairo,30.06263,31.24967,EMEA,1,680
H075,CA_01_CALGARY,Calgary,51.05011,-114.08529,NAM,1,680
H076,ZA_11_CAPE_TOWN,Cape Town,-33.92584,18.42322,EMEA,1,480
H077,MA_06_CASABLANCA,Casablanca,33.58831,-7.61138,EMEA,1,280
H078,US_WY_CASPER,Casper,42.86663,-106.31308,NAM,1,480
H079,IT_15_CATANIA,Catania,37.49223,15.07041,EMEA,1,480
H080,US_IA_CEDAR_RAPIDS,Cedar Rapids,42.00833,-91.64407,NAM,1,480
H081,US_PA_CHAMBERSBURG,Chambersburg,39.93759,-77.6611,NAM,1,480
H082,CN_13_CHANGJI,Changji,44.00782,87.30461,APAC,1,280
H083,CN_11_CHANGSHA,Changsha,28.19874,112.97087,APAC,0,280
H084,US_WV_CHARLESTON,Charleston,38.34982,-81.63262,NAM,1,280
H085,US_NC_CHARLOTTE,Charlotte,35.22709,-80.84313,NAM,1,480
