part_id,current_home_hub
P0001,H080
P0002,H201
P0003,H113
P0004,H168
P0005,H297
P0006,H496
P0007,H496
P0008,H441
P0009,H158
P0010,H035
P0011,H479
P0012,H368
P0013,H241
P0014,H211
P0015,H395
P0016,H174
P0017,H339
P0018,H207
P0019,H369
P0020,H054
P0021,H297
P0022,H338
P0023,H210
P0024,H064
P0025,H493
P0026,H125
P0027,H303
P0028,H236
P0029,H186
P0030,H471
P0031,H279
P0032,H216
P0033,H071
P0034,H101
P0035,H186
P0036,H125
P0037,H271
P0038,H176
P0039,H062
P0040,H106
P0041,H059
P0042,H173
P0043,H118
P0044,H458
P0045,H004
P0046,H149
P0047,H025
P0048,H270
P0049,H017
P0050,H383
P0051,H220
P0052,H304
P0053,H189
P0054,H492
P0055,H438
P0056,H481
P0057,H322
P0058,H186
P0059,H335
P0060,H380
P0061,H045
P0062,H472
P0063,H173
P0064,H143
P0065,H359
P0066,H437
P0067,H360
P0068,H122
P0069,H412
P0070,H085
P0071,H239
P0072,H312
P0073,H490
P0074,H153
P0075,H042
P0076,H117
P0077,H295
P0078,H302
P0079,H086
P0080,H368
P0081,H237
P0082,H309
P0083,H123
P0084,H451
P0085,H146
P0086,H346
P0087,H041
P0088,H348
P0089,H426
P0090,H039
P0091,H035
P0092,H207
P0093,H250
P0094,H378
P0095,H397
P0096,H330
P0097,H496
P0098,H421
P0099,H143
P0100,H149
P0101,H209
P0102,H322
P0103,H347
P0104,H237
P0105,H208
P0106,H159
P0107,H360
P0108,H447
P0109,H258
P0110,H084
P0111,H113
P0112,H432
P0113,H129
P0114,H045
P0115,H432
P0116,H441
P0117,H050
P0118,H322
P0119,H015
P0120,H476
P0121,H338
P0122,H117
P0123,H500
P0124,H192
P0125,H132
P0126,H129
P0127,H143
P0128,H447
P0129,H432
P0130,H317
P0131,H446
P0132,H137
P0133,H249
P0134,H053
P0135,H044
P0136,H176
P0137,H412
P0138,H336
P0139,H146
P0140,H185
P0141,H009
P0142,H347
P0143,H214
P0144,H317
P0145,H402
P0146,H459
P0147,H137
P0148,H118
P0149,H347
P0150,H328
P0151,H119
P0152,H484
P0153,H399
P0154,H054
P0155,H144
P0156,H279
P0157,H236
P0158,H034
P0159,H050
P0160,H368
P0161,H178
P0162,H041
P0163,H065
P0164,H408
P0165,H212
P0166,H244
P0167,H234
P0168,H001
P0169,H023
P0170,H420
P0171,H450
P0172,H123
P0173,H014
P0174,H280
P0175,H084
P0176,H368
P0177,H355
P0178,H472
P0179,H280
P0180,H479
P0181,H388
P0182,H099
P0183,H206
P0184,H157
P0185,H328
P0186,H410
P0187,H219
P0188,H219
P0189,H004
P0190,H362
P0191,H358
P0192,H092
P0193,H262
P0194,H113
P0195,H104
P0196,H289
P0197,H495
P0198,H025
P0199,H159
P0200,H161
P0201,H332
P0202,H454
P0203,H114
P0204,H146
P0205,H368
P0206,H135
P0207,H437
P0208,H093
P0209,H094
P0210,H020
P0211,H400
P0212,H071
P0213,H042
P0214,H436
P0215,H034
P0216,H160
P0217,H457
P0218,H106
P0219,H010
P0220,H380
P0221,H463
P0222,H307
P0223,H312
P0224,H412
P0225,H335
P0226,H051
P0227,H151
P0228,H392
P0229,H174
P0230,H110
P0231,H153
P0232,H465
P0233,H132
P0234,H095
P0235,H009
P0236,H208
P0237,H201
P0238,H391
P0239,H227
P0240,H437
P0241,H499
