part_id,P_k
P0001,213.93
P0002,86.62
P0003,96.66
P0004,477.24
P0005,54.88
P0006,15.96
P0007,596.74
P0008,1388.58
P0009,97.21
P0010,24.5
P0011,105.87
P0012,108.21
P0013,118.0
P0014,51.4
P0015,235.86
P0016,224.46
P0017,36.48
P0018,262.68
P0019,888.08
P0020,163.43
P0021,103.34
P0022,123.2
P0023,243.56
P0024,29.49
P0025,162.32
P0026,98.52
P0027,738.55
P0028,119.69
P0029,628.13
P0030,51.85
P0031,237.5
P0032,186.63
P0033,64.04
P0034,164.24
P0035,416.93
P0036,104.61
P0037,30.54
P0038,137.8
P0039,62.14
P0040,102.88
P0041,130.09
P0042,30.16
P0043,32.71
P0044,216.05
P0045,87.46
P0046,13.92
P0047,283.72
P0048,178.89
P0049,73.64
P0050,42.8
P0051,297.04
P0052,191.72
P0053,1195.1
P0054,204.35
P0055,198.46
P0056,120.47
P0057,292.0
P0058,245.73
P0059,431.9
P0060,87.57
P0061,94.61
P0062,90.96
P0063,285.25
P0064,539.25
P0065,92.64
P0066,95.52
P0067,185.73
P0068,112.22
P0069,329.8
P0070,18.45
P0071,66.53
P0072,69.23
P0073,17.35
P0074,58.81
P0075,61.44
P0076,116.82
P0077,381.2
P0078,112.29
P0079,55.36
P0080,133.0
P0081,359.93
P0082,58.16
P0083,61.69
P0084,231.44
P0085,114.69
P0086,250.73
P0087,138.29
P0088,263.26
P0089,55.15
P0090,138.49
P0091,115.82
P0092,46.87
P0093,34.28
P0094,259.52
P0095,102.08
P0096,55.79
P0097,128.39
P0098,386.39
P0099,17.97
P0100,36.4
P0101,61.01
P0102,521.5
P0103,180.54
P0104,279.28
P0105,50.17
P0106,51.11
P0107,209.49
P0108,147.54
P0109,229.41
P0110,118.24
P0111,179.82
P0112,161.41
P0113,281.92
P0114,289.44
P0115,32.58
P0116,18.52
P0117,344.89
P0118,407.73
P0119,55.87
P0120,26.25
P0121,153.05
P0122,323.56
P0123,705.9
P0124,222.81
P0125,100.19
P0126,62.67
P0127,141.45
P0128,106.94
P0129,56.15
P0130,884.94
P0131,698.05
P0132,389.2
P0133,61.12
P0134,302.22
P0135,248.96
P0136,208.5
P0137,431.1
P0138,248.01
P0139,272.5
P0140,248.35
P0141,190.25
P0142,28.12
P0143,150.94
P0144,84.87
P0145,44.25
P0146,636.05
P0147,663.64
P0148,475.77
P0149,176.15
P0150,472.11
P0151,141.53
P0152,168.03
P0153,52.33
P0154,200.12
P0155,147.82
P0156,43.35
P0157,133.7
P0158,130.31
P0159,705.88
P0160,313.07
P0161,141.45
P0162,175.13
P0163,145.68
P0164,116.63
P0165,52.85
P0166,122.2
P0167,71.53
P0168,45.44
P0169,221.79
P0170,199.09
P0171,28.04
P0172,125.36
P0173,343.01
P0174,363.2
P0175,352.45
P0176,144.99
P0177,65.44
P0178,52.79
P0179,190.91
P0180,196.96
P0181,445.96
P0182,376.77
P0183,124.29
P0184,45.69
P0185,105.05
P0186,170.23
P0187,116.72
P0188,83.22
P0189,175.78
P0190,88.95
P0191,79.55
P0192,185.3
P0193,97.5
P0194,174.4
P0195,179.03
P0196,50.21
P0197,90.79
P0198,510.63
P0199,49.19
P0200,20.84
P0201,26.21
P0202,143.72
P0203,143.95
P0204,125.94
P0205,417.55
P0206,12.63
P0207,199.93
P0208,570.74
P0209,50.74
P0210,99.47
P0211,71.1
P0212,62.6
P0213,104.38
P0214,505.92
P0215,731.64
P0216,103.47
P0217,777.59
P0218,144.56
P0219,678.55
P0220,128.72
P0221,157.53
P0222,194.53
P0223,2446.98
P0224,301.21
P0225,74.08
P0226,334.87
P0227,101.09
P0228,90.1
P0229,317.15
P0230,143.97
P0231,179.89
P0232,141.77
P0233,189.53
P0234,205.23
P0235,24.49
P0236,255.08
P0237,57.85
P0238,38.23
P0239,132.83
P0240,150.99
P0241,75.0
P0242,295.77
P0243,41.83
P0244,97.07
P0245,82.7
P0246,134.25
P0247,179.94
P0248,56.52
P0249,268.67
P0250,148.17
P0251,25.51
P0252,24.02
P0253,138.46
P0254,114.75
P0255,127.56
P0256,136.52
P0257,171.51
P0258,328.5
P0259,51.5
P0260,48.76
P0261,52.33
P0262,181.57
P0263,429.27
P0264,94.96
P0265,14.73
P0266,30.21
P0267,66.15
P0268,84.75
P0269,96.94
P0270,144.95
P0271,105.75
P0272,359.98
P0273,76.19
P0274,64.43
P0275,215.43
P0276,35.15
P0277,198.81
P0278,153.54
P0279,122.6
P0280,584.7
P0281,79.97
P0282,894.18
P0283,114.29
P0284,44.36
P0285,149.09
P0286,53.14
P0287,71.17
P0288,200.13
P0289,230.83
P0290,79.97
P0291,340.46
P0292,396.79
P0293,509.95
P0294,225.45
P0295,477.58
P0296,25.76
P0297,105.16
P0298,64.16
P0299,155.86
P0300,83.71
P0301,120.55
P0302,761.74
P0303,120.17
P0304,203.17
P0305,113.59
P0306,149.87
P0307,140.76
P0308,209.59
P0309,399.58
P0310,616.65
P0311,184.99
P0312,237.99
P0313,49.69
P0314,129.35
P0315,326.33
P0316,305.21
P0317,169.37
P0318,310.88
P0319,217.75
P0320,412.37
P0321,181.65
P0322,101.65
P0323,189.41
P0324,10.02
P0325,197.6
P0326,8.0
P0327,29.68
P0328,210.24
P0329,215.17
P0330,49.18
P0331,73.76
P0332,480.65
P0333,90.56
P0334,1053.92
P0335,139.76
P0336,202.12
P0337,599.94
P0338,157.52
P0339,56.8
P0340,126.84
P0341,135.58
P0342,40.99
P0343,111.21
P0344,71.78
P0345,321.68
P0346,144.43
P0347,108.54
P0348,127.24
P0349,171.13
P0350,243.9
P0351,56.93
P0352,54.83
P0353,378.36
P0354,96.6
P0355,39.11
P0356,208.74
P0357,212.44
P0358,35.3
P0359,172.12
P0360,271.42
P0361,196.09
P0362,247.26
P0363,39.56
P0364,188.59
P0365,106.62
P0366,90.66
P0367,306.48
P0368,530.06
P0369,703.86
P0370,457.13
P0371,126.83
P0372,192.31
P0373,279.16
P0374,156.13
P0375,157.48
P0376,293.84
P0377,132.73
P0378,72.62
P0379,96.41
P0380,247.69
P0381,140.38
P0382,190.15
P0383,255.88
P0384,99.91
P0385,276.52
P0386,196.88
P0387,46.08
P0388,512.71
P0389,89.21
P0390,31.57
P0391,54.66
P0392,55.85
P0393,146.73
P0394,109.42
P0395,103.39
P0396,244.54
P0397,190.1
P0398,186.06
P0399,202.45
P0400,243.76
P0401,21.0
P0402,100.85
P0403,19.68
P0404,144.62
P0405,139.42
P0406,358.75
P0407,407.69
P0408,168.03
P0409,89.24
P0410,216.65
P0411,87.05
P0412,139.82
P0413,340.07
P0414,84.75
P0415,289.09
P0416,257.57
P0417,59.28
P0418,336.35
P0419,262.53
P0420,153.45
P0421,70.5
P0422,64.61
P0423,86.29
P0424,228.14
P0425,59.24
P0426,207.56
P0427,45.79
P0428,116.51
P0429,154.52
P0430,1264.28
P0431,40.53
P0432,526.61
P0433,160.21
P0434,202.69
P0435,155.73
P0436,208.91
P0437,121.92
P0438,518.16
P0439,92.83
P0440,387.86
P0441,78.39
P0442,132.61
P0443,53.35
P0444,210.85
P0445,514.02
P0446,130.58
P0447,117.27
P0448,51.34
P0449,113.9
P0450,33.39
P0451,61.56
P0452,171.7
P0453,458.86
P0454,1754.49
P0455,82.58
P0456,509.49
P0457,174.34
P0458,122.18
P0459,206.64
P0460,148.02
P0461,154.62
P0462,96.94
P0463,39.78
P0464,34.9
P0465,252.03
P0466,109.14
P0467,81.87
P0468,141.08
P0469,286.31
P0470,164.67
P0471,77.57
P0472,422.13
P0473,579.93
P0474,218.49
P0475,336.28
P0476,428.12
P0477,387.12
P0478,243.31
P0479,239.88
P0480,223.48
P0481,52.15
P0482,263.04
P0483,41.32
P0484,68.48
P0485,452.53
P0486,298.22
P0487,533.95
P0488,109.63
P0489,49.63
P0490,112.76
P0491,153.46
P0492,150.31
P0493,388.37
P0494,101.14
P0495,192.19
P0496,57.51
P0497,209.96
P0498,140.39
P0499,71.29
P0500,113.23
P0501,118.62
P0502,109.78
P0503,689.42
P0504,128.13
P0505,112.41
P0506,21.2
P0507,62.61
P0508,110.48
P0509,75.52
P0510,485.5
P0511,120.69
P0512,446.41
P0513,147.99
P0514,144.77
P0515,129.25
P0516,140.48
P0517,657.57
P0518,17.36
P0519,23.11
P0520,85.87
P0521,141.84
P0522,260.53
P0523,214.31
P0524,99.07
P0525,350.3
