zip_id,lat,lon,region_code
Z00001,20.272221,-105.579599,LATAM
Z00002,43.672011,23.847163,EMEA
Z00003,47.761758,-97.047402,NAM
Z00004,27.068821,-82.688714,NAM
Z00005,56.127627,38.452736,EMEA
Z00006,52.001973,-8.378156,EMEA
Z00007,36.557592,-0.047634,EMEA
Z00008,39.762076,-86.992536,NAM
Z00009,54.401234,13.15407,EMEA
Z00010,43.909139,12.305856,EMEA
Z00011,31.528798,-90.49627,NAM
Z00012,42.160817,-74.446741,NAM
Z00013,45.073191,-97.117751,NAM
Z00014,40.979762,117.928684,APAC
Z00015,38.604579,-87.87261,NAM
Z00016,55.029202,11.423488,EMEA
Z00017,40.264056,-111.942772,NAM
Z00018,24.209035,121.026918,APAC
Z00019,43.174185,2.618036,EMEA
Z00020,35.641205,-84.799711,NAM
Z00021,38.276292,-82.960164,NAM
Z00022,24.251913,122.225495,APAC
Z00023,47.047603,16.092533,EMEA
Z00024,45.040165,27.120157,EMEA
Z00025,55.414842,24.011471,EMEA
Z00026,46.869444,-115.612677,NAM
Z00027,46.763401,5.209406,EMEA
Z00028,53.147774,1.785697,EMEA
Z00029,48.328978,6.646113,EMEA
Z00030,29.819066,-90.908463,NAM
Z00031,45.819344,22.575817,EMEA
Z00032,33.724134,-116.072932,NAM
Z00033,31.121201,121.92191,APAC
Z00034,18.568501,84.06885,APAC
Z00035,44.183552,-123.688794,NAM
Z00036,36.506142,-118.665515,NAM
Z00037,46.870258,21.389502,EMEA
Z00038,21.605648,38.99837,EMEA
Z00039,39.765122,-88.141545,NAM
Z00040,46.370694,16.694227,EMEA
Z00041,51.874797,6.318965,EMEA
Z00042,40.641155,2.382032,EMEA
Z00043,35.498565,16.332236,EMEA
Z00044,35.589081,121.668515,APAC
Z00045,44.579652,8.158346,EMEA
Z00046,50.131109,5.213534,EMEA
Z00047,27.526257,120.907549,APAC
Z00048,45.329374,-71.870139,NAM
Z00049,39.670417,-84.379811,NAM
Z00050,53.771862,26.527426,EMEA
Z00051,49.552136,6.616312,EMEA
Z00052,34.511435,120.394979,APAC
Z00053,39.193393,-79.030407,NAM
Z00054,42.43753,-87.347403,NAM
Z00055,31.717814,-86.449373,NAM
Z00056,44.858872,-91.399371,NAM
Z00057,33.617552,-101.046861,NAM
Z00058,44.211065,-89.351813,NAM
Z00059,53.062215,13.385087,EMEA
Z00060,45.054362,10.047927,EMEA
Z00061,35.899843,-80.373874,NAM
Z00062,51.971371,-0.717112,EMEA
Z00063,13.710584,121.079432,APAC
Z00064,20.596491,-99.274261,LATAM
Z00065,39.59656,-75.105024,NAM
Z00066,49.479969,9.346343,EMEA
Z00067,50.925423,13.739986,EMEA
Z00068,36.224559,-88.857188,NAM
Z00069,34.799369,-98.346232,NAM
Z00070,5.447087,-4.188779,EMEA
Z00071,40.321567,-2.475113,EMEA
Z00072,47.260912,82.37765,APAC
Z00073,39.588996,-77.162899,NAM
Z00074,42.131807,-81.33778,NAM
Z00075,42.931744,-0.477751,EMEA
Z00076,44.633186,-77.359943,NAM
Z00077,25.804693,-97.888693,NAM
Z00078,31.262788,130.545232,APAC
Z00079,50.623439,10.269163,EMEA
Z00080,12.801053,77.510727,APAC
Z00081,47.346972,9.016951,EMEA
Z00082,56.199581,-3.665935,EMEA
Z00083,32.927456,-116.874607,NAM
Z00084,39.642782,109.8804,APAC
Z00085,43.199705,-92.349096,NAM
Z00086,49.961917,8.46987,EMEA
Z00087,50.719665,17.6931,EMEA
Z00088,36.741706,117.599436,APAC
Z00089,36.3769,-76.450188,NAM
Z00090,49.12418,-123.165423,NAM
Z00091,39.831187,-78.084032,NAM
Z00092,46.826297,-73.985467,NAM
Z00093,34.413558,-86.866534,NAM
Z00094,46.888147,-120.634962,NAM
Z00095,50.767735,-95.65714,NAM
Z00096,24.909862,121.419018,APAC
Z00097,43.954018,87.468934,APAC
Z00098,54.10673,20.399824,EMEA
Z00099,37.686353,-103.280574,NAM
Z00100,52.741113,7.445374,EMEA
Z00101,26.755317,106.8486,APAC
Z00102,43.113214,-80.972052,NAM
Z00103,43.682558,-81.906213,NAM
Z00104,33.946865,-91.823384,NAM
Z00105,55.303697,10.176555,EMEA
