anchor_id,city,state_province,country,lat,lon,region_code
MX_CDMX_MEXICO_CITY,Mexico City,CDMX,MX,19.4326,-99.1332,LATAM
MX_JAL_GUADALAJARA,Guadalajara,JAL,MX,20.6597,-103.3496,LATAM
MX_NL_MONTERREY,Monterrey,NL,MX,25.6866,-100.3161,LATAM
BR_SP_SAO_PAULO,Sao Paulo,SP,BR,-23.5505,-46.6333,LATAM
BR_RJ_RIO_DE_JANEIRO,Rio de Janeiro,RJ,BR,-22.9068,-43.1729,LATAM
AR_BA_BUENOS_AIRES,Buenos Aires,BA,AR,-34.6037,-58.3816,LATAM
CO_DC_BOGOTA,Bogota,DC,CO,4.711,-74.0721,LATAM
PE_LIMA,Lima,,PE,-12.0464,-77.0428,LATAM
CL_SANTIAGO,Santiago,,CL,-33.4489,-70.6693,LATAM
VE_CARACAS,Caracas,,VE,10.4806,-66.9036,LATAM
