hub_id,part_id,part_cost_P_k,hub_existing_T_j,new_hub_transfer_cost
H001,P0001,102.74,1,0.0
H001,P0002,133.67,1,0.0
H001,P0003,58.36,1,0.0
H001,P0004,50.43,1,0.0
H001,P0005,184.34,1,0.0
H001,P0008,205.38,1,0.0
H001,P0009,57.67,1,0.0
H001,P0010,51.42,1,0.0
H001,P0011,70.6,1,0.0
H001,P0012,250.85,1,0.0
H001,P0013,124.56,1,0.0
H001,P0014,26.02,1,0.0
H001,P0015,95.64,1,0.0
H001,P0016,348.68,1,0.0
H001,P0017,339.33,1,0.0
H001,P0019,113.0,1,0.0
H001,P0022,119.49,1,0.0
H001,P0023,150.02,1,0.0
H001,P0024,561.0,1,0.0
H001,P0025,165.17,1,0.0
H001,P0026,179.53,1,0.0
H001,P0028,111.13,1,0.0
H001,P0030,72.1,1,0.0
H001,P0031,279.2,1,0.0
H001,P0032,220.47,1,0.0
H001,P0033,90.11,1,0.0
H001,P0034,395.07,1,0.0
H001,P0035,165.26,1,0.0
H001,P0037,241.52,1,0.0
H001,P0039,42.34,1,0.0
H001,P0040,222.65,1,0.0
H001,P0041,102.65,1,0.0
H001,P0042,98.35,1,0.0
H001,P0043,238.07,1,0.0
H001,P0044,19.46,1,0.0
H001,P0045,44.35,1,0.0
H001,P0046,95.54,1,0.0
H001,P0047,175.19,1,0.0
H001,P0048,76.94,1,0.0
H001,P0049,57.09,1,0.0
H001,P0050,54.3,1,0.0
H001,P0051,125.97,1,0.0
H001,P0052,257.02,1,0.0
H001,P0053,37.96,1,0.0
H001,P0054,21.53,1,0.0
H001,P0055,107.13,1,0.0
H001,P0056,99.27,1,0.0
H001,P0058,242.79,1,0.0
H001,P0059,288.82,1,0.0
H001,P0060,84.26,1,0.0
H001,P0061,102.68,1,0.0
H001,P0062,233.85,1,0.0
H001,P0063,95.14,1,0.0
H001,P0064,39.6,1,0.0
H001,P0065,131.74,1,0.0
H001,P0066,62.04,1,0.0
H001,P0067,187.62,1,0.0
H001,P0068,88.85,1,0.0
H001,P0071,125.12,1,0.0
H001,P0073,56.59,1,0.0
H001,P0074,658.92,1,0.0
H001,P0075,379.02,1,0.0
H001,P0076,36.17,1,0.0
H001,P0077,54.3,1,0.0
H001,P0078,236.81,1,0.0
H001,P0079,82.44,1,0.0
H001,P0080,141.92,1,0.0
H001,P0083,124.63,1,0.0
H001,P0084,91.41,1,0.0
H001,P0085,129.52,1,0.0
H001,P0086,198.28,1,0.0
H001,P0087,667.09,1,0.0
H001,P0088,365.09,1,0.0
H001,P0089,117.0,1,0.0
H001,P0090,319.43,1,0.0
H001,P0091,155.57,1,0.0
H001,P0092,36.91,1,0.0
H001,P0093,127.19,1,0.0
H001,P0094,342.7,1,0.0
H001,P0095,81.85,1,0.0
H001,P0096,325.07,1,0.0
H001,P0097,106.23,1,0.0
H001,P0098,143.38,1,0.0
H001,P0099,47.92,1,0.0
H001,P0100,902.17,1,0.0
H001,P0101,210.55,1,0.0
H001,P0102,346.97,1,0.0
H001,P0103,93.15,1,0.0
H001,P0106,73.77,1,0.0
H001,P0107,619.24,1,0.0
H001,P0108,120.02,1,0.0
H001,P0109,604.09,1,0.0
H001,P0111,28.62,1,0.0
H001,P0114,139.66,1,0.0
H001,P0116,63.29,1,0.0
H001,P0117,43.66,1,0.0
H001,P0118,48.91,1,0.0
H001,P0119,30.81,1,0.0
H001,P0120,27.49,1,0.0
H001,P0121,44.03,1,0.0
H001,P0122,58.27,1,0.0
H001,P0123,92.63,1,0.0
H001,P0124,46.93,1,0.0
H001,P0125,122.36,1,0.0
H001,P0127,111.62,1,0.0
H001,P0128,197.02,1,0.0
H001,P0129,59.15,1,0.0
H001,P0130,173.31,1,0.0
H001,P0131,201.41,1,0.0
H001,P0132,73.35,1,0.0
H001,P0133,32.72,1,0.0
H001,P0135,125.93,1,0.0
H001,P0136,451.88,1,0.0
H001,P0137,85.91,1,0.0
H001,P0138,533.32,1,0.0
H001,P0139,14.22,1,0.0
H001,P0141,77.52,1,0.0
H001,P0142,84.98,1,0.0
H001,P0145,511.35,1,0.0
H001,P0146,103.1,1,0.0
H001,P0147,340.65,1,0.0
