arm,run_index,seed,rc,wall_seconds,n_open_hubs,open_hubs,total_cost,gap_pct,peak_host_rss_mb,stocked_pairs,assignments,structural_violations,c1,c2,c3,c4_hubs_over_L,sla_violations,max_service_violations,python_hash_seed,hash_order_deterministic,memory_accounting_version,run_dir
B,900,42,0,,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10984330.0725,0.085838,114.49,2341,5996,0,0,0,0,0,943,0,<unrecorded>,False,0,/home/user/model-v1/results/va_parallel/va_20hubs
B,901,1000,0,,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983883.5735,0.08177,480.285,2342,5996,0,0,0,0,0,941,0,0,True,2,/home/user/model-v1/results/va_parallel/va_20hubs_seed1000
B,902,2026,0,,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983341.6895,0.076832,480.641,2340,5996,0,0,0,0,0,939,0,0,True,2,/home/user/model-v1/results/va_parallel/va_20hubs_seed2026
A,1,42,0,1612.14,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983907.9155,0.081991,543.387,2345,5996,0,0,0,0,0,941,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/A_01_seed42
A,2,42,0,1615.2,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983907.9155,0.081991,542.406,2345,5996,0,0,0,0,0,941,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/A_02_seed42
A,3,42,0,1622.38,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983907.9155,0.081991,543.273,2345,5996,0,0,0,0,0,941,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/A_03_seed42
B,1,42,0,1619.22,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983907.9155,0.081991,544.578,2345,5996,0,0,0,0,0,941,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_01_seed42
B,2,7,0,1618.71,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10982966.433,0.073413,542.48,2333,5996,0,0,0,0,0,946,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_02_seed7
B,3,1000,0,1609.21,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983974.0545,0.082594,543.379,2341,5996,0,0,0,0,0,946,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_03_seed1000
B,4,123456,0,1611.67,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10982793.5145,0.071837,543.332,2333,5996,0,0,0,0,0,945,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_04_seed123456
B,5,3,0,1612.68,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983934.63,0.082235,544.379,2336,5996,0,0,0,0,0,946,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_05_seed3
B,6,2026,0,1609.77,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983697.9525,0.080078,543.809,2339,5996,0,0,0,0,0,939,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_06_seed2026
B,7,99991,0,1612.73,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10984069.7965,0.083466,544.516,2345,5996,0,0,0,0,0,940,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_07_seed99991
B,8,500,0,1607.27,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983736.31,0.080428,544.348,2336,5996,0,0,0,0,0,958,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_08_seed500
B,9,8675309,0,1606.97,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983812.601,0.081123,545.438,2342,5996,0,0,0,0,0,944,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_09_seed8675309
B,10,17,0,1613.48,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983854.042,0.081501,542.301,2342,5996,0,0,0,0,0,950,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_10_seed17
B,11,31337,0,1611.2,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983433.2285,0.077666,544.773,2338,5996,0,0,0,0,0,945,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_11_seed31337
B,12,2,0,1606.68,20,H001;H002;H003;H004;H005;H006;H007;H008;H009;H010;H011;H012;H013;H014;H015;H016;H017;H018;H019;H020,10983941.4535,0.082297,541.293,2345,5996,0,0,0,0,0,927,0,0,True,2,/home/cpulimi/ModelV1/model-v1/results/determinism_20hubs/runs/B_12_seed2
