t_seconds,phase,depth,rss_mb,batch_id
0.0004,data_load,1,103.281,
0.0560,data_load,1,109.625,
0.0563,batch_build,1,109.625,
0.0868,batch_build,1,110.371,
0.0918,preflight,1,110.371,
0.5146,preflight.pyqubo_express,2,129.891,
0.5148,preflight.pyqubo_express,2,129.891,
0.5946,preflight.pyqubo_express,2,130.406,
0.5949,preflight.pyqubo_compile,2,130.406,
0.6407,preflight.pyqubo_compile,2,187.785,
0.6479,preflight.to_qubo,2,187.785,
0.6951,preflight.to_qubo,2,198.016,
0.7313,preflight,1,194.688,
0.7922,solve,1,195.406,
1.0555,solve,1,195.406,
1.2080,solve.pyqubo_express,2,196.438,
1.2881,solve.pyqubo_express,2,196.695,
1.2883,solve.pyqubo_compile,2,196.695,
1.3372,solve.pyqubo_compile,2,254.340,
1.3457,solve.to_qubo,2,254.340,
1.3936,solve.to_qubo,2,261.816,
1.3955,solve,1,261.816,
1.3967,solve,1,261.816,
1.3973,solve.va_model_build,2,261.816,
2.0957,solve.va_model_build,2,262.848,
2.1069,solve.va_model_build,2,325.754,
2.1071,solve.va_sample,2,325.754,
2.5960,solve.va_sample,2,326.270,
3.0963,solve.va_sample,2,326.270,
3.5965,solve.va_sample,2,326.270,
4.0968,solve.va_sample,2,326.270,
4.5970,solve.va_sample,2,326.270,
5.0973,solve.va_sample,2,326.270,
5.5975,solve.va_sample,2,326.270,
6.0978,solve.va_sample,2,326.270,
6.5980,solve.va_sample,2,326.270,
7.0983,solve.va_sample,2,326.270,
7.5986,solve.va_sample,2,326.270,
8.0988,solve.va_sample,2,326.270,
8.5991,solve.va_sample,2,326.270,
9.0994,solve.va_sample,2,326.270,
9.5996,solve.va_sample,2,326.270,
10.0999,solve.va_sample,2,326.270,
10.6001,solve.va_sample,2,326.270,
11.1004,solve.va_sample,2,326.270,
11.6007,solve.va_sample,2,326.270,
12.1010,solve.va_sample,2,326.270,
12.6012,solve.va_sample,2,326.270,
13.1015,solve.va_sample,2,326.270,
13.6017,solve.va_sample,2,326.270,
14.1020,solve.va_sample,2,326.270,
14.6022,solve.va_sample,2,326.270,
15.1025,solve.va_sample,2,326.270,
15.6028,solve.va_sample,2,326.270,
16.1030,solve.va_sample,2,326.270,
16.6033,solve.va_sample,2,326.270,
17.1036,solve.va_sample,2,326.270,
17.6039,solve.va_sample,2,326.270,
18.1041,solve.va_sample,2,326.270,
18.6044,solve.va_sample,2,326.270,
19.1046,solve.va_sample,2,326.270,
19.6049,solve.va_sample,2,326.270,
20.1051,solve.va_sample,2,326.270,
20.6054,solve.va_sample,2,326.270,
21.1056,solve.va_sample,2,326.270,
21.6059,solve.va_sample,2,326.270,
22.1061,solve.va_sample,2,326.270,
22.6064,solve.va_sample,2,326.270,
23.1066,solve.va_sample,2,326.270,
23.6069,solve.va_sample,2,326.270,
24.1071,solve.va_sample,2,326.270,
24.6074,solve.va_sample,2,326.270,
25.1076,solve.va_sample,2,326.270,
25.6079,solve.va_sample,2,326.270,
26.1081,solve.va_sample,2,326.270,
26.6084,solve.va_sample,2,326.270,
27.1087,solve.va_sample,2,326.270,
27.6090,solve.va_sample,2,326.270,
28.1092,solve.va_sample,2,326.270,
28.6095,solve.va_sample,2,326.270,
29.1098,solve.va_sample,2,326.270,
29.6100,solve.va_sample,2,326.270,
30.1103,solve.va_sample,2,326.270,
30.6105,solve.va_sample,2,326.270,
31.1108,solve.va_sample,2,326.270,
31.6111,solve.va_sample,2,326.270,
32.1113,solve.va_sample,2,326.270,
