zip_id,hub_id,part_id
Z00001,H009,P0001
Z00001,H009,P0015
Z00001,H009,P0018
Z00001,H009,P0028
Z00001,H009,P0029
Z00001,H009,P0033
Z00001,H009,P0040
Z00001,H009,P0050
Z00001,H009,P0079
Z00001,H009,P0106
Z00001,H009,P0129
Z00002,H001,P0017
Z00002,H001,P0057
Z00002,H001,P0060
Z00002,H001,P0068
Z00002,H001,P0083
Z00002,H001,P0106
Z00003,H017,P0004
Z00003,H017,P0007
Z00003,H017,P0008
Z00003,H017,P0028
Z00003,H017,P0030
Z00003,H017,P0034
Z00003,H017,P0044
Z00003,H017,P0052
Z00003,H017,P0054
Z00003,H017,P0063
Z00003,H017,P0064
Z00003,H017,P0065
Z00003,H017,P0072
Z00003,H017,P0073
Z00003,H017,P0075
Z00003,H017,P0083
Z00003,H017,P0095
Z00003,H017,P0130
Z00003,H017,P0150
Z00004,H031,P0028
Z00004,H031,P0048
Z00004,H031,P0062
Z00004,H031,P0074
Z00004,H031,P0095
Z00004,H031,P0126
Z00004,H031,P0139
Z00004,H031,P0142
Z00004,H031,P0149
Z00005,H008,P0002
Z00005,H008,P0003
Z00005,H008,P0005
Z00005,H008,P0018
Z00005,H008,P0046
Z00005,H008,P0047
Z00005,H008,P0052
Z00005,H008,P0063
Z00005,H008,P0081
Z00005,H008,P0097
Z00005,H008,P0105
Z00005,H008,P0137
Z00005,H008,P0141
Z00005,H008,P0145
Z00005,H008,P0148
Z00005,H041,P0021
Z00005,H041,P0022
Z00005,H041,P0031
Z00005,H041,P0049
Z00005,H041,P0071
Z00005,H041,P0078
Z00005,H041,P0090
Z00005,H041,P0123
Z00005,H041,P0126
Z00005,H041,P0139
Z00006,H042,P0005
Z00006,H042,P0024
Z00006,H042,P0028
Z00006,H042,P0063
Z00006,H042,P0071
Z00006,H042,P0103
Z00006,H042,P0107
Z00006,H042,P0109
Z00006,H042,P0121
Z00006,H042,P0128
Z00006,H042,P0140
Z00006,H042,P0142
Z00006,H042,P0145
Z00007,H011,P0006
Z00007,H011,P0008
Z00007,H011,P0015
Z00007,H011,P0049
Z00007,H011,P0063
Z00007,H011,P0071
Z00007,H011,P0074
Z00007,H011,P0104
Z00007,H011,P0113
Z00007,H011,P0126
Z00008,H047,P0001
Z00008,H047,P0010
Z00008,H047,P0012
Z00008,H047,P0024
Z00008,H047,P0028
Z00008,H047,P0052
Z00008,H047,P0056
Z00008,H047,P0057
Z00008,H047,P0071
Z00008,H047,P0074
Z00008,H047,P0076
Z00008,H047,P0078
Z00008,H047,P0084
Z00008,H047,P0095
Z00008,H047,P0106
Z00008,H047,P0107
Z00008,H047,P0116
Z00008,H047,P0118
Z00008,H047,P0128
Z00009,H002,P0007
Z00009,H002,P0015
Z00009,H002,P0017
Z00009,H002,P0039
Z00009,H002,P0072
Z00009,H002,P0077
Z00009,H002,P0093
Z00009,H002,P0101
Z00009,H002,P0103
Z00009,H002,P0111
Z00009,H002,P0125
Z00009,H002,P0141
Z00009,H002,P0145
Z00010,H038,P0004
Z00010,H038,P0020
Z00010,H038,P0034
Z00010,H038,P0046
Z00010,H038,P0057
Z00010,H038,P0063
Z00010,H038,P0066
Z00010,H038,P0069
Z00010,H038,P0092
Z00010,H038,P0098
Z00010,H038,P0103
Z00010,H038,P0124
Z00010,H038,P0127
Z00010,H038,P0131
Z00010,H038,P0140
Z00011,H007,P0005
Z00011,H007,P0007
Z00011,H007,P0027
Z00011,H007,P0041
Z00011,H007,P0058
Z00011,H007,P0064
Z00011,H007,P0066
Z00011,H007,P0090
Z00011,H007,P0108
Z00011,H007,P0113
Z00011,H007,P0123
Z00011,H007,P0135
Z00011,H007,P0147
Z00011,H007,P0149
Z00012,H026,P0006
Z00012,H026,P0007
Z00012,H026,P0023
Z00012,H026,P0034
Z00012,H026,P0040
Z00012,H026,P0041
Z00012,H026,P0042
Z00012,H026,P0071
Z00012,H026,P0083
Z00012,H026,P0106
Z00012,H026,P0108
Z00012,H026,P0131
Z00012,H026,P0133
Z00012,H026,P0139
Z00012,H026,P0144
Z00012,H026,P0150
Z00013,H040,P0011
Z00013,H040,P0021
Z00013,H040,P0040
Z00013,H040,P0049
Z00013,H040,P0059
Z00013,H040,P0079
Z00013,H040,P0096
Z00013,H040,P0105
Z00013,H040,P0111
Z00013,H040,P0139
Z00013,H043,P0002
Z00013,H043,P0008
Z00013,H043,P0016
Z00013,H043,P0018
Z00013,H043,P0029
Z00013,H043,P0034
Z00013,H043,P0047
Z00013,H043,P0048
Z00013,H043,P0100
Z00014,H030,P0003
Z00014,H030,P0004
Z00014,H030,P0034
Z00014,H030,P0061
Z00014,H030,P0064
Z00014,H030,P0121
Z00014,H030,P0139
