t_seconds,phase,depth,rss_mb,batch_id
0.0004,data_load,1,103.277,
0.1071,data_load,1,114.773,
0.1075,batch_build,1,114.773,
0.1610,batch_build,1,116.027,
0.1666,preflight,1,116.027,
0.5259,preflight,1,132.695,
1.0516,preflight,1,158.410,
1.2664,preflight.pyqubo_express,2,166.660,
1.4754,preflight.pyqubo_express,2,167.949,
1.4757,preflight.pyqubo_compile,2,167.949,
1.6058,preflight.pyqubo_compile,2,318.293,
1.6059,preflight.pyqubo_compile,2,318.293,
1.6332,preflight.to_qubo,2,318.293,
1.7933,preflight.to_qubo,2,351.016,
1.8936,preflight,1,330.758,
1.9798,solve,1,330.480,
2.1416,solve,1,330.480,
2.6622,solve,1,330.480,
3.0936,solve.pyqubo_express,2,336.148,
3.3051,solve.pyqubo_express,2,337.438,
3.3052,solve.pyqubo_express,2,337.438,
3.3054,solve.pyqubo_compile,2,337.438,
3.4434,solve.pyqubo_compile,2,487.785,
3.4716,solve.to_qubo,2,487.785,
3.6359,solve.to_qubo,2,516.918,
3.6468,solve,1,516.918,
3.6479,solve,1,516.918,
3.6486,solve.va_model_build,2,516.918,
5.6430,solve.va_model_build,2,518.465,
5.6773,solve.va_model_build,2,699.191,
5.6775,solve.va_sample,2,699.191,
6.1433,solve.va_sample,2,699.965,
6.6435,solve.va_sample,2,699.965,
7.1438,solve.va_sample,2,699.965,
7.6441,solve.va_sample,2,699.965,
8.1443,solve.va_sample,2,699.965,
8.6446,solve.va_sample,2,699.965,
9.1448,solve.va_sample,2,699.965,
9.6451,solve.va_sample,2,699.965,
10.1453,solve.va_sample,2,699.965,
10.6456,solve.va_sample,2,699.965,
11.1458,solve.va_sample,2,699.965,
11.6460,solve.va_sample,2,699.965,
12.1463,solve.va_sample,2,699.965,
12.6465,solve.va_sample,2,699.965,
13.1468,solve.va_sample,2,699.965,
13.6470,solve.va_sample,2,699.965,
14.1473,solve.va_sample,2,699.965,
14.6475,solve.va_sample,2,699.965,
15.1478,solve.va_sample,2,699.965,
15.6480,solve.va_sample,2,699.965,
16.1483,solve.va_sample,2,699.965,
16.6485,solve.va_sample,2,699.965,
17.1487,solve.va_sample,2,699.965,
17.6490,solve.va_sample,2,699.965,
18.1492,solve.va_sample,2,699.965,
18.6495,solve.va_sample,2,699.965,
19.1497,solve.va_sample,2,699.965,
19.6500,solve.va_sample,2,699.965,
20.1502,solve.va_sample,2,699.965,
20.6505,solve.va_sample,2,699.965,
21.1507,solve.va_sample,2,699.965,
21.6510,solve.va_sample,2,699.965,
22.1512,solve.va_sample,2,699.965,
22.6515,solve.va_sample,2,699.965,
23.1517,solve.va_sample,2,699.965,
23.6519,solve.va_sample,2,699.965,
24.1522,solve.va_sample,2,699.965,
24.6524,solve.va_sample,2,699.965,
25.1527,solve.va_sample,2,699.965,
25.6529,solve.va_sample,2,699.965,
26.1531,solve.va_sample,2,699.965,
26.6534,solve.va_sample,2,699.965,
27.1536,solve.va_sample,2,699.965,
27.6539,solve.va_sample,2,699.965,
28.1541,solve.va_sample,2,699.965,
28.6543,solve.va_sample,2,699.965,
29.1546,solve.va_sample,2,699.965,
29.6548,solve.va_sample,2,699.965,
30.1550,solve.va_sample,2,699.965,
30.6553,solve.va_sample,2,699.965,
31.1555,solve.va_sample,2,699.965,
31.6558,solve.va_sample,2,699.965,
32.1560,solve.va_sample,2,699.965,
32.6563,solve.va_sample,2,699.965,
33.1565,solve.va_sample,2,699.965,
33.6568,solve.va_sample,2,699.965,
34.1570,solve.va_sample,2,699.965,
34.6572,solve.va_sample,2,699.965,
35.1575,solve.va_sample,2,699.965,
35.6577,solve.va_sample,2,699.965,
36.1580,solve.va_sample,2,699.965,
36.6582,solve.va_sample,2,699.965,
37.1584,solve.va_sample,2,699.965,
37.6587,solve.va_sample,2,699.965,
38.1589,solve.va_sample,2,699.965,
38.6592,solve.va_sample,2,699.965,
39.1594,solve.va_sample,2,699.965,
39.6597,solve.va_sample,2,699.965,
40.1599,solve.va_sample,2,699.965,
40.6601,solve.va_sample,2,699.965,
41.1604,solve.va_sample,2,699.965,
41.6606,solve.va_sample,2,699.965,
42.1608,solve.va_sample,2,699.965,
42.6611,solve.va_sample,2,699.965,
43.1613,solve.va_sample,2,699.965,
