dataset_name,hubs,active_rows,variant,total_cost,gurobi_optimum,gap_pct,open_hubs,stocked_pairs,assignments,structural_violations,sla_violations,seconds
instances_10hubs,10,3207,nearest,5498943.1785,5498943.178499999,1.693639203723368e-14,10,1180,3207,0,638,0.003
instances_10hubs,10,3207,marginal,5498943.1785,5498943.178499999,1.693639203723368e-14,10,1180,3207,0,638,0.01
instances_10hubs,10,3207,1opt,5498943.1785,5498943.178499999,1.693639203723368e-14,10,1180,3207,0,638,0.016
instances_10hubs,10,3207,close,5498943.1785,5498943.178499999,1.693639203723368e-14,10,1180,3207,0,638,0.031
instances_20hubs,20,5996,nearest,10979301.7085,10974909.435,0.04002104551306664,20,2352,5996,0,874,0.005
instances_20hubs,20,5996,marginal,10977277.056,10974909.435,0.02157303451132619,20,2337,5996,0,898,0.018
instances_20hubs,20,5996,1opt,10974971.869,10974909.435,0.0005688794096218218,20,2330,5996,0,894,0.05
instances_20hubs,20,5996,close,10974971.869,10974909.435,0.0005688794096218218,20,2330,5996,0,894,0.108
instances_50hubs,50,15126,nearest,27685389.704,27651284.444499996,0.12334059767985964,50,5960,15126,0,1994,0.013
instances_50hubs,50,15126,marginal,27676299.972,27651284.444499996,0.0904678679582254,50,5827,15126,0,2167,0.052
instances_50hubs,50,15126,1opt,27655570.0335,27651284.444499996,0.015498697749853367,50,5790,15126,0,2120,0.154
instances_50hubs,50,15126,close,27655570.0335,27651284.444499996,0.015498697749853367,50,5790,15126,0,2120,0.334
instances_100hubs,100,28192,nearest,55056225.7825,53482363.04699998,2.9427696269084334,100,11565,28192,0,3387,0.023
instances_100hubs,100,28192,marginal,54021891.1765,53482363.04699998,1.0087963559610902,98,11033,28192,0,3871,0.103
instances_100hubs,100,28192,1opt,53977165.1025,53482363.04699998,0.9251686487098307,98,10961,28192,0,3760,0.303
instances_100hubs,100,28192,close,53490079.483,53482363.04699998,0.01442800123330032,97,10943,28192,0,3808,1.482
