hub_id,part_id,part_cost_P_k,hub_existing_T_j,new_hub_transfer_cost
H001,P0002,39.46,1,0.0
H001,P0003,72.99,1,0.0
H001,P0004,155.48,1,0.0
H001,P0005,29.91,1,0.0
H001,P0006,113.28,1,0.0
H001,P0007,136.46,1,0.0
H001,P0008,163.22,1,0.0
H001,P0009,16.32,1,0.0
H001,P0010,250.49,1,0.0
H001,P0011,589.23,1,0.0
H001,P0012,207.39,1,0.0
H001,P0013,73.03,1,0.0
H001,P0014,80.6,1,0.0
H001,P0015,12.94,1,0.0
H001,P0016,214.87,1,0.0
H001,P0018,251.34,1,0.0
H001,P0019,9.6,1,0.0
H001,P0020,95.42,1,0.0
H001,P0021,127.62,1,0.0
H001,P0022,90.6,1,0.0
H001,P0023,354.8,1,0.0
H001,P0024,29.13,1,0.0
H001,P0025,73.38,1,0.0
H001,P0026,239.29,1,0.0
H001,P0027,341.54,1,0.0
H001,P0028,163.02,1,0.0
H001,P0029,361.91,1,0.0
H001,P0030,223.59,1,0.0
H001,P0033,88.81,1,0.0
H001,P0037,331.92,1,0.0
H001,P0038,343.52,1,0.0
H001,P0039,166.2,1,0.0
H001,P0040,15.23,1,0.0
H001,P0041,258.18,1,0.0
H001,P0042,161.32,1,0.0
H001,P0045,63.43,1,0.0
H001,P0047,156.44,1,0.0
H001,P0049,174.18,1,0.0
H001,P0050,42.37,1,0.0
H001,P0051,23.91,1,0.0
H001,P0052,147.39,1,0.0
H001,P0054,138.22,1,0.0
H001,P0055,120.53,1,0.0
H001,P0056,89.33,1,0.0
H001,P0058,166.38,1,0.0
H001,P0059,79.92,1,0.0
H001,P0060,25.33,1,0.0
H001,P0061,13.61,1,0.0
H001,P0062,38.28,1,0.0
H001,P0063,121.96,1,0.0
H001,P0064,317.92,1,0.0
H001,P0065,95.94,1,0.0
H001,P0066,257.53,1,0.0
H001,P0067,397.96,1,0.0
H001,P0068,1192.27,1,0.0
H001,P0069,181.27,1,0.0
H001,P0070,537.33,1,0.0
H001,P0071,172.88,1,0.0
H001,P0073,18.14,1,0.0
H001,P0075,311.46,1,0.0
H001,P0076,1292.39,1,0.0
H001,P0077,76.72,1,0.0
H001,P0078,217.63,1,0.0
H001,P0079,126.14,1,0.0
H001,P0080,16.61,1,0.0
H001,P0082,104.8,1,0.0
H001,P0083,44.38,1,0.0
H001,P0085,80.34,1,0.0
H001,P0086,213.5,1,0.0
H001,P0087,110.25,1,0.0
H001,P0088,73.46,1,0.0
H001,P0090,285.83,1,0.0
H001,P0091,75.24,1,0.0
H001,P0092,31.67,1,0.0
H001,P0093,705.13,1,0.0
H001,P0094,207.9,1,0.0
H001,P0095,59.06,1,0.0
H001,P0098,132.02,1,0.0
H001,P0099,303.75,1,0.0
H001,P0100,24.61,1,0.0
H001,P0101,305.51,1,0.0
H001,P0103,109.61,1,0.0
H001,P0104,153.53,1,0.0
H001,P0105,103.71,1,0.0
H001,P0106,93.72,1,0.0
H001,P0107,26.21,1,0.0
H001,P0109,76.5,1,0.0
H001,P0110,158.05,1,0.0
H001,P0111,114.04,1,0.0
H001,P0112,210.93,1,0.0
H001,P0113,233.23,1,0.0
H001,P0114,55.84,1,0.0
H001,P0115,193.97,1,0.0
H001,P0117,63.21,1,0.0
H001,P0118,449.87,1,0.0
H001,P0120,62.03,1,0.0
H001,P0122,56.37,1,0.0
H001,P0123,50.3,1,0.0
H001,P0125,230.64,1,0.0
H001,P0127,37.53,1,0.0
H001,P0129,73.26,1,0.0
H001,P0130,423.25,1,0.0
H001,P0131,58.96,1,0.0
H001,P0132,90.38,1,0.0
H001,P0133,69.66,1,0.0
H001,P0134,17.43,1,0.0
H001,P0135,191.46,1,0.0
H001,P0137,330.71,1,0.0
H001,P0138,118.16,1,0.0
H001,P0141,128.62,1,0.0
H001,P0142,68.04,1,0.0
H001,P0143,121.45,1,0.0
H001,P0144,59.89,1,0.0
H001,P0145,240.17,1,0.0
H001,P0146,76.26,1,0.0
H001,P0147,54.63,1,0.0
H001,P0148,127.06,1,0.0
H001,P0149,132.78,1,0.0
H001,P0150,30.6,1,0.0
H002,P0001,14.09,0,50.0
H002,P0002,39.46,0,50.0
H002,P0003,72.99,0,50.0
H002,P0004,155.48,0,50.0
H002,P0005,29.91,0,50.0
H002,P0006,113.28,0,50.0
H002,P0007,136.46,0,50.0
H002,P0008,163.22,0,50.0
H002,P0009,16.32,0,50.0
H002,P0010,250.49,0,50.0
H002,P0011,589.23,0,50.0
H002,P0012,207.39,0,50.0
H002,P0013,73.03,0,50.0
H002,P0014,80.6,0,50.0
H002,P0015,12.94,0,50.0
H002,P0016,214.87,0,50.0
H002,P0017,541.53,0,50.0
H002,P0018,251.34,0,50.0
H002,P0020,95.42,0,50.0
H002,P0021,127.62,0,50.0
H002,P0022,90.6,0,50.0
H002,P0023,354.8,0,50.0
H002,P0025,73.38,0,50.0
H002,P0026,239.29,0,50.0
H002,P0027,341.54,0,50.0
H002,P0028,163.02,0,50.0
H002,P0029,361.91,0,50.0
H002,P0030,223.59,0,50.0
H002,P0032,448.46,0,50.0
H002,P0033,88.81,0,50.0
H002,P0034,32.27,0,50.0
H002,P0035,207.65,0,50.0
H002,P0037,331.92,0,50.0
H002,P0038,343.52,0,50.0
H002,P0039,166.2,0,50.0
H002,P0040,15.23,0,50.0
H002,P0043,13.0,0,50.0
H002,P0044,77.86,0,50.0
H002,P0045,63.43,0,50.0
H002,P0046,363.82,0,50.0
H002,P0047,156.44,0,50.0
H002,P0050,42.37,0,50.0
H002,P0051,23.91,0,50.0
H002,P0052,147.39,0,50.0
H002,P0053,107.51,0,50.0
H002,P0054,138.22,0,50.0
H002,P0055,120.53,0,50.0
H002,P0056,89.33,0,50.0
H002,P0058,166.38,0,50.0
H002,P0059,79.92,0,50.0
H002,P0060,25.33,0,50.0
H002,P0061,13.61,0,50.0
H002,P0062,38.28,0,50.0
H002,P0063,121.96,0,50.0
H002,P0064,317.92,0,50.0
H002,P0065,95.94,0,50.0
H002,P0067,397.96,0,50.0
H002,P0068,1192.27,0,50.0
H002,P0070,537.33,0,50.0
H002,P0071,172.88,0,50.0
H002,P0073,18.14,0,50.0
H002,P0074,182.94,0,50.0
H002,P0075,311.46,0,50.0
H002,P0076,1292.39,0,50.0
H002,P0077,76.72,0,50.0
H002,P0078,217.63,0,50.0
