hub_id,part_id
H001,P0001
H001,P0003
H001,P0004
H001,P0006
H001,P0009
H001,P0010
H001,P0013
H001,P0014
H001,P0015
H001,P0019
H001,P0022
H001,P0023
H001,P0027
H001,P0029
H001,P0031
H001,P0033
H001,P0039
H001,P0042
H001,P0044
H001,P0045
H001,P0048
H001,P0049
H001,P0050
H001,P0052
H001,P0054
H001,P0056
H001,P0057
H001,P0059
H001,P0066
H001,P0067
H001,P0068
H001,P0070
H001,P0071
H001,P0072
H001,P0074
H001,P0075
H001,P0077
H001,P0078
H001,P0080
H001,P0082
H001,P0086
H001,P0087
H001,P0088
H001,P0090
H001,P0091
H001,P0092
H001,P0094
H001,P0095
H001,P0096
H001,P0097
H001,P0098
H001,P0101
H001,P0102
H001,P0103
H001,P0105
H001,P0108
H001,P0109
H001,P0110
H001,P0111
H001,P0113
H001,P0114
H001,P0120
H001,P0121
H001,P0122
H001,P0124
H001,P0125
H001,P0128
H001,P0129
H001,P0130
H001,P0131
H001,P0133
H001,P0135
H001,P0137
H001,P0141
H001,P0146
H001,P0148
H001,P0152
H001,P0154
H001,P0156
H001,P0159
H001,P0163
H001,P0164
H001,P0166
H001,P0167
H001,P0171
H001,P0173
H001,P0175
H001,P0178
H001,P0180
H001,P0181
H001,P0183
H001,P0185
H001,P0186
H001,P0187
H001,P0190
H001,P0192
H001,P0195
H001,P0196
H001,P0199
H001,P0201
H001,P0203
H001,P0205
H001,P0209
H001,P0217
H001,P0218
H001,P0221
H001,P0223
H001,P0226
H001,P0229
H001,P0230
H001,P0231
H001,P0233
H001,P0234
H001,P0235
H001,P0237
H001,P0243
H001,P0244
H001,P0247
H001,P0248
H001,P0252
H001,P0255
H001,P0257
H001,P0258
H001,P0262
H001,P0264
H001,P0266
H001,P0269
H001,P0271
H001,P0274
H001,P0276
H001,P0277
H001,P0280
H001,P0281
H001,P0282
H001,P0284
H001,P0289
H001,P0291
H001,P0292
H001,P0296
H001,P0297
H001,P0298
H001,P0302
H001,P0305
H001,P0306
H001,P0308
H001,P0310
H001,P0313
H001,P0319
H001,P0321
H001,P0326
H001,P0331
H001,P0332
H001,P0333
H001,P0334
H001,P0335
H001,P0336
H001,P0337
H001,P0342
H001,P0348
H001,P0351
H001,P0352
H001,P0356
H001,P0365
H001,P0368
H001,P0369
H001,P0371
H001,P0375
H001,P0380
H001,P0382
H001,P0385
H001,P0388
H001,P0393
H001,P0396
H001,P0397
H001,P0399
H001,P0400
H001,P0403
H001,P0404
H001,P0406
H001,P0407
H001,P0410
H001,P0413
H001,P0414
H001,P0418
H001,P0424
H001,P0425
H001,P0426
H001,P0427
H001,P0431
H001,P0432
H001,P0436
H001,P0437
H001,P0438
H001,P0439
H001,P0440
H001,P0442
H001,P0447
H001,P0450
H001,P0451
H001,P0453
H001,P0455
H001,P0458
H001,P0461
H001,P0471
H001,P0475
H001,P0476
H001,P0481
H001,P0482
H001,P0486
H001,P0488
H001,P0490
H001,P0495
H001,P0496
H001,P0497
H001,P0500
H001,P0504
H001,P0507
H001,P0519
H001,P0520
H001,P0522
H001,P0523
H001,P0525
H001,P0526
H001,P0532
H001,P0533
H001,P0538
H001,P0540
H001,P0541
H001,P0542
H001,P0544
H001,P0545
H001,P0546
H001,P0547
H001,P0551
H001,P0552
H001,P0553
H001,P0556
H001,P0557
H001,P0561
H001,P0564
H001,P0565
H001,P0570
H001,P0574
H001,P0576
H001,P0577
H001,P0578
H001,P0580
H001,P0585
H001,P0587
H001,P0588
H001,P0589
H001,P0595
H001,P0597
H001,P0598
H001,P0599
H001,P0603
H001,P0605
H001,P0607
H001,P0609
H001,P0615
H001,P0617
H001,P0620
H001,P0622
H001,P0626
H001,P0627
H001,P0631
H001,P0632
H001,P0635
H001,P0636
H001,P0640
H001,P0642
H001,P0659
H001,P0663
H001,P0664
H001,P0665
H001,P0666
H001,P0669
H001,P0670
H001,P0674
H001,P0675
H001,P0680
H001,P0681
H001,P0684
H001,P0686
H001,P0687
H001,P0690
H001,P0692
H001,P0694
H001,P0696
H001,P0697
H001,P0699
H001,P0701
H001,P0702
H001,P0703
H001,P0704
H001,P0706
H001,P0709
H001,P0710
H001,P0712
H001,P0717
H001,P0718
H001,P0720
H001,P0721
H001,P0726
H001,P0730
H001,P0732
H001,P0734
H001,P0739
H001,P0743
H001,P0744
H001,P0745
H001,P0746
