hub_id,part_id,part_cost_P_k,hub_existing_T_j,new_hub_transfer_cost
H005,P0005,276.52,1,0.0
H005,P0011,54.66,1,0.0
H005,P0013,146.73,1,0.0
H005,P0014,109.42,1,0.0
H005,P0015,103.39,1,0.0
H005,P0020,243.76,1,0.0
H005,P0027,407.69,1,0.0
H005,P0029,89.24,1,0.0
H005,P0031,87.05,1,0.0
H005,P0034,84.75,1,0.0
H005,P0036,257.57,1,0.0
H005,P0041,70.5,1,0.0
H005,P0042,64.61,1,0.0
H005,P0043,86.29,1,0.0
H005,P0053,160.21,1,0.0
H005,P0054,202.69,1,0.0
H005,P0058,518.16,1,0.0
H005,P0060,387.86,1,0.0
H005,P0062,132.61,1,0.0
H005,P0067,117.27,1,0.0
H005,P0073,458.86,1,0.0
H005,P0075,82.58,1,0.0
H005,P0077,174.34,1,0.0
H005,P0080,148.02,1,0.0
H005,P0081,154.62,1,0.0
H005,P0082,96.94,1,0.0
H005,P0083,39.78,1,0.0
H005,P0084,34.9,1,0.0
H005,P0085,252.03,1,0.0
H005,P0090,164.67,1,0.0
H005,P0095,336.28,1,0.0
H005,P0097,387.12,1,0.0
H005,P0103,41.32,1,0.0
H005,P0107,533.95,1,0.0
H005,P0111,153.46,1,0.0
H005,P0115,192.19,1,0.0
H005,P0116,57.51,1,0.0
H005,P0118,140.39,1,0.0
H005,P0119,71.29,1,0.0
H005,P0120,113.23,1,0.0
H005,P0128,110.48,1,0.0
H005,P0130,485.5,1,0.0
H005,P0132,446.41,1,0.0
H005,P0139,23.11,1,0.0
H005,P0147,165.22,1,0.0
H005,P0153,140.17,1,0.0
H005,P0155,15.42,1,0.0
H005,P0156,39.08,1,0.0
H005,P0157,48.1,1,0.0
H005,P0161,57.69,1,0.0
H005,P0165,96.65,1,0.0
H005,P0168,25.14,1,0.0
H005,P0174,160.04,1,0.0
H005,P0179,68.13,1,0.0
H005,P0187,555.71,1,0.0
H005,P0191,797.96,1,0.0
H005,P0195,532.76,1,0.0
H005,P0200,127.67,1,0.0
H005,P0209,118.43,1,0.0
H005,P0220,283.14,1,0.0
H005,P0229,48.23,1,0.0
H005,P0232,68.61,1,0.0
H005,P0233,143.39,1,0.0
H005,P0234,233.95,1,0.0
H005,P0238,56.85,1,0.0
H005,P0243,96.61,1,0.0
H005,P0246,34.4,1,0.0
H005,P0249,68.34,1,0.0
H005,P0250,183.72,1,0.0
H005,P0263,65.97,1,0.0
H005,P0270,195.86,1,0.0
H005,P0271,79.87,1,0.0
H005,P0272,142.97,1,0.0
H005,P0278,19.85,1,0.0
H005,P0284,137.1,1,0.0
H005,P0287,163.1,1,0.0
H005,P0290,20.6,1,0.0
H005,P0292,299.64,1,0.0
H005,P0300,275.92,1,0.0
H005,P0301,111.68,1,0.0
H005,P0303,57.1,1,0.0
H005,P0305,11.49,1,0.0
H005,P0313,116.63,1,0.0
H005,P0315,36.79,1,0.0
H005,P0325,125.24,1,0.0
H005,P0330,178.52,1,0.0
H005,P0342,1119.35,1,0.0
H005,P0355,96.77,1,0.0
H005,P0359,29.42,1,0.0
H005,P0360,304.13,1,0.0
H005,P0362,196.55,1,0.0
H005,P0364,462.85,1,0.0
H005,P0371,136.97,1,0.0
H005,P0383,430.75,1,0.0
H005,P0388,529.16,1,0.0
H005,P0389,85.91,1,0.0
H005,P0394,118.79,1,0.0
H005,P0399,116.51,1,0.0
H005,P0402,261.61,1,0.0
H005,P0403,176.26,1,0.0
H005,P0404,251.69,1,0.0
H005,P0408,1041.48,1,0.0
H005,P0419,198.96,1,0.0
H005,P0423,294.01,1,0.0
H005,P0424,320.76,1,0.0
H005,P0430,32.13,1,0.0
H005,P0436,383.91,1,0.0
H005,P0437,76.97,1,0.0
H005,P0440,511.06,1,0.0
H005,P0441,122.98,1,0.0
H005,P0452,126.32,1,0.0
H005,P0454,151.91,1,0.0
H005,P0455,698.15,1,0.0
H005,P0457,333.05,1,0.0
H005,P0459,64.93,1,0.0
H005,P0462,145.17,1,0.0
H005,P0469,138.32,1,0.0
H005,P0471,117.91,1,0.0
H005,P0478,232.44,1,0.0
H005,P0483,308.55,1,0.0
H005,P0489,79.95,1,0.0
H005,P0494,49.73,1,0.0
H005,P0497,84.1,1,0.0
H005,P0498,79.8,1,0.0
H005,P0512,169.17,1,0.0
H005,P0514,455.99,1,0.0
H005,P0519,113.4,1,0.0
H005,P0521,95.55,1,0.0
H005,P0522,369.68,1,0.0
