zip_id,hub_id,part_id,b_ik,d_ij,miles_after_base,miles_after_penalty_start,sla_violation,linehaul_cost,distance_cost,distance_penalty_cost,assignment_cost,source
Z00001,H709,P0067,1.0,126.25,106.25,0.0,0,0.6,63.75,0.0,64.35,raw_unique
Z00001,H709,P0088,4.0,126.25,106.25,0.0,0,2.4,255.0,0.0,257.4,raw_unique
Z00001,H709,P0238,2.0,126.25,106.25,0.0,0,1.2,127.5,0.0,128.7,raw_unique
Z00001,H709,P0254,2.0,126.25,106.25,0.0,0,1.2,127.5,0.0,128.7,raw_unique
Z00001,H709,P0365,1.0,126.25,106.25,0.0,0,0.6,63.75,0.0,64.35,raw_unique
Z00001,H709,P0530,2.0,126.25,106.25,0.0,0,1.2,127.5,0.0,128.7,raw_unique
Z00001,H709,P0535,1.0,126.25,106.25,0.0,0,0.6,63.75,0.0,64.35,raw_unique
Z00001,H709,P0709,5.0,126.25,106.25,0.0,0,3.0,318.75,0.0,321.75,raw_unique
Z00001,H709,P0802,1.0,126.25,106.25,0.0,0,0.6,63.75,0.0,64.35,raw_unique
Z00001,H709,P0833,2.0,126.25,106.25,0.0,0,1.2,127.5,0.0,128.7,raw_unique
Z00001,H709,P0965,2.0,126.25,106.25,0.0,0,1.2,127.5,0.0,128.7,raw_unique
Z00001,H709,P0985,5.0,126.25,106.25,0.0,0,3.0,318.75,0.0,321.75,raw_unique
Z00001,H728,P0092,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0147,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0178,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0247,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0309,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0318,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0336,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0345,4.0,91.02,71.02,0.0,0,2.4,170.44799999999998,0.0,172.84799999999998,raw_unique
Z00001,H728,P0367,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0473,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0502,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0516,3.0,91.02,71.02,0.0,0,1.7999999999999998,127.83599999999998,0.0,129.636,raw_unique
Z00001,H728,P0644,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0665,3.0,91.02,71.02,0.0,0,1.7999999999999998,127.83599999999998,0.0,129.636,hub_prune_relocated
Z00001,H728,P0669,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0680,5.0,91.02,71.02,0.0,0,3.0,213.06,0.0,216.06,raw_unique
Z00001,H728,P0683,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0739,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0769,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0846,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0871,3.0,91.02,71.02,0.0,0,1.7999999999999998,127.83599999999998,0.0,129.636,raw_unique
Z00001,H728,P0897,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0900,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0923,2.0,91.02,71.02,0.0,0,1.2,85.22399999999999,0.0,86.42399999999999,raw_unique
Z00001,H728,P0949,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H728,P0980,4.0,91.02,71.02,0.0,0,2.4,170.44799999999998,0.0,172.84799999999998,raw_unique
Z00001,H728,P0994,1.0,91.02,71.02,0.0,0,0.6,42.611999999999995,0.0,43.211999999999996,raw_unique
Z00001,H800,P0049,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0050,1.0,54.5,34.5,0.0,0,0.6,20.7,0.0,21.3,raw_unique
Z00001,H800,P0051,3.0,54.5,34.5,0.0,0,1.7999999999999998,62.099999999999994,0.0,63.89999999999999,hub_prune_relocated
Z00001,H800,P0085,5.0,54.5,34.5,0.0,0,3.0,103.5,0.0,106.5,raw_unique
Z00001,H800,P0105,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0182,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0204,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0216,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0232,9.0,54.5,34.5,0.0,0,5.3999999999999995,186.29999999999998,0.0,191.7,raw_unique
Z00001,H800,P0244,1.0,54.5,34.5,0.0,0,0.6,20.7,0.0,21.3,raw_unique
Z00001,H800,P0261,6.0,54.5,34.5,0.0,0,3.5999999999999996,124.19999999999999,0.0,127.79999999999998,raw_unique
Z00001,H800,P0307,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0337,3.0,54.5,34.5,0.0,0,1.7999999999999998,62.099999999999994,0.0,63.89999999999999,raw_unique
Z00001,H800,P0382,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0441,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0466,3.0,54.5,34.5,0.0,0,1.7999999999999998,62.099999999999994,0.0,63.89999999999999,hub_prune_relocated
Z00001,H800,P0476,4.0,54.5,34.5,0.0,0,2.4,82.8,0.0,85.2,raw_unique
Z00001,H800,P0513,1.0,54.5,34.5,0.0,0,0.6,20.7,0.0,21.3,raw_unique
Z00001,H800,P0543,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0567,1.0,54.5,34.5,0.0,0,0.6,20.7,0.0,21.3,raw_unique
Z00001,H800,P0576,1.0,54.5,34.5,0.0,0,0.6,20.7,0.0,21.3,raw_unique
Z00001,H800,P0583,5.0,54.5,34.5,0.0,0,3.0,103.5,0.0,106.5,hub_prune_relocated
Z00001,H800,P0592,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0609,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
Z00001,H800,P0619,1.0,54.5,34.5,0.0,0,0.6,20.7,0.0,21.3,raw_unique
Z00001,H800,P0638,4.0,54.5,34.5,0.0,0,2.4,82.8,0.0,85.2,hub_prune_relocated
Z00001,H800,P0654,2.0,54.5,34.5,0.0,0,1.2,41.4,0.0,42.6,raw_unique
