hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,CLOSED,0,1,1,0,0,0,0.0
H002,CLOSED,0,1,1,0,0,0,0.0
H003,CLOSED,0,1,0,0,0,0,0.0
H004,CLOSED,0,1,1,0,0,0,0.0
H005,OPEN,1,0,1,0,230,264,500000.0
H006,CLOSED,0,1,1,0,0,0,0.0
H007,OPEN,1,0,0,1,432,589,500000.0
H008,CLOSED,0,1,0,0,0,0,0.0
H009,CLOSED,0,1,0,0,0,0,0.0
H010,CLOSED,0,1,0,0,0,0,0.0
H011,CLOSED,0,1,1,0,0,0,0.0
H012,CLOSED,0,1,0,0,0,0,0.0
H013,CLOSED,0,1,1,0,0,0,0.0
H014,CLOSED,0,1,1,0,0,0,0.0
H015,CLOSED,0,1,1,0,0,0,0.0
H016,CLOSED,0,1,1,0,0,0,0.0
H017,OPEN,1,0,0,1,191,202,500000.0
H018,CLOSED,0,1,0,0,0,0,0.0
H019,OPEN,1,0,1,0,365,508,500000.0
H020,CLOSED,0,1,1,0,0,0,0.0
H021,CLOSED,0,1,1,0,0,0,0.0
H022,CLOSED,0,1,1,0,0,0,0.0
H023,CLOSED,0,1,0,0,0,0,0.0
H024,OPEN,1,0,1,0,112,112,500000.0
H025,CLOSED,0,1,1,0,0,0,0.0
H026,OPEN,1,0,1,0,283,331,500000.0
H027,CLOSED,0,1,1,0,0,0,0.0
H028,CLOSED,0,1,1,0,0,0,0.0
H029,CLOSED,0,1,1,0,0,0,0.0
H030,CLOSED,0,1,1,0,0,0,0.0
H031,CLOSED,0,1,0,0,0,0,0.0
H032,CLOSED,0,1,0,0,0,0,0.0
H033,CLOSED,0,1,1,0,0,0,0.0
H034,CLOSED,0,1,1,0,0,0,0.0
H035,CLOSED,0,1,0,0,0,0,0.0
H036,OPEN,1,0,1,0,325,399,500000.0
H037,CLOSED,0,1,1,0,0,0,0.0
H038,CLOSED,0,1,1,0,0,0,0.0
H039,CLOSED,0,1,1,0,0,0,0.0
H040,OPEN,1,0,1,0,109,113,500000.0
H041,CLOSED,0,1,1,0,0,0,0.0
H042,CLOSED,0,1,1,0,0,0,0.0
H043,CLOSED,0,1,1,0,0,0,0.0
H044,OPEN,1,0,0,1,667,1299,500000.0
H045,CLOSED,0,1,1,0,0,0,0.0
H046,OPEN,1,0,1,0,269,299,500000.0
H047,OPEN,1,0,1,0,92,92,500000.0
H048,CLOSED,0,1,1,0,0,0,0.0
H049,OPEN,1,0,1,0,224,252,500000.0
H050,CLOSED,0,1,0,0,0,0,0.0
H051,CLOSED,0,1,1,0,0,0,0.0
H052,CLOSED,0,1,1,0,0,0,0.0
H053,CLOSED,0,1,1,0,0,0,0.0
H054,CLOSED,0,1,1,0,0,0,0.0
H055,CLOSED,0,1,0,0,0,0,0.0
H056,CLOSED,0,1,1,0,0,0,0.0
H057,CLOSED,0,1,1,0,0,0,0.0
H058,CLOSED,0,1,0,0,0,0,0.0
H059,CLOSED,0,1,1,0,0,0,0.0
H060,CLOSED,0,1,1,0,0,0,0.0
H061,CLOSED,0,1,0,0,0,0,0.0
H062,CLOSED,0,1,0,0,0,0,0.0
H063,OPEN,1,0,1,0,324,412,500000.0
H064,CLOSED,0,1,1,0,0,0,0.0
H065,CLOSED,0,1,1,0,0,0,0.0
H066,OPEN,1,0,1,0,197,226,500000.0
H067,CLOSED,0,1,1,0,0,0,0.0
H068,CLOSED,0,1,1,0,0,0,0.0
H069,OPEN,1,0,1,0,335,407,500000.0
H070,CLOSED,0,1,0,0,0,0,0.0
H071,CLOSED,0,1,0,0,0,0,0.0
H072,CLOSED,0,1,0,0,0,0,0.0
H073,OPEN,1,0,0,1,377,480,500000.0
H074,CLOSED,0,1,1,0,0,0,0.0
H075,CLOSED,0,1,0,0,0,0,0.0
H076,CLOSED,0,1,0,0,0,0,0.0
H077,OPEN,1,0,1,0,331,410,500000.0
H078,CLOSED,0,1,1,0,0,0,0.0
H079,CLOSED,0,1,1,0,0,0,0.0
H080,CLOSED,0,1,1,0,0,0,0.0
H081,OPEN,1,0,0,1,383,488,500000.0
H082,CLOSED,0,1,1,0,0,0,0.0
H083,CLOSED,0,1,0,0,0,0,0.0
H084,CLOSED,0,1,1,0,0,0,0.0
H085,CLOSED,0,1,0,0,0,0,0.0
H086,OPEN,1,0,1,0,191,204,500000.0
H087,CLOSED,0,1,0,0,0,0,0.0
H088,CLOSED,0,1,1,0,0,0,0.0
H089,CLOSED,0,1,1,0,0,0,0.0
H090,CLOSED,0,1,1,0,0,0,0.0
H091,CLOSED,0,1,1,0,0,0,0.0
H092,CLOSED,0,1,1,0,0,0,0.0
