hub_id,part_id
H001,P0002
H001,P0003
H001,P0008
H001,P0009
H001,P0011
H001,P0013
H001,P0015
H001,P0019
H001,P0021
H001,P0023
H001,P0025
H001,P0026
H001,P0028
H001,P0031
H001,P0032
H001,P0035
H001,P0036
H001,P0037
H001,P0040
H001,P0041
H001,P0043
H001,P0044
H001,P0045
H001,P0046
H001,P0052
H001,P0054
H001,P0055
H001,P0056
H001,P0057
H001,P0060
H001,P0062
H001,P0063
H001,P0066
H001,P0070
H001,P0071
H001,P0074
H001,P0078
H001,P0079
H001,P0080
H001,P0081
H001,P0082
H001,P0083
H001,P0084
H001,P0085
H001,P0086
H001,P0087
H001,P0091
H001,P0092
H001,P0093
H001,P0096
H001,P0097
H001,P0098
H001,P0101
H001,P0106
H001,P0107
H001,P0110
H001,P0111
H001,P0117
H001,P0118
H001,P0122
H001,P0123
H001,P0124
H001,P0127
H001,P0129
H001,P0133
H001,P0136
H001,P0138
H001,P0140
H001,P0142
H001,P0144
H001,P0146
H001,P0147
H001,P0148
H001,P0149
H001,P0150
H001,P0151
H001,P0157
H001,P0158
H001,P0159
H001,P0160
H001,P0161
H001,P0165
H001,P0166
H001,P0167
H001,P0168
H001,P0172
H001,P0173
H001,P0181
H001,P0183
H001,P0184
H001,P0186
H001,P0187
H001,P0188
H001,P0189
H001,P0191
H001,P0192
H001,P0195
H001,P0196
H001,P0197
H001,P0198
H001,P0199
H001,P0202
H001,P0205
H001,P0208
H001,P0209
H001,P0210
H001,P0211
H001,P0212
H001,P0213
H001,P0220
H001,P0221
H001,P0222
H001,P0223
H001,P0224
H001,P0225
H001,P0226
H001,P0228
H001,P0235
H001,P0236
H001,P0240
H001,P0241
H001,P0242
H001,P0245
H001,P0246
H001,P0249
H001,P0250
H001,P0252
H001,P0253
H001,P0256
H001,P0259
H001,P0261
H001,P0262
H001,P0263
H001,P0267
H001,P0268
H001,P0269
H001,P0270
H001,P0271
H001,P0273
H001,P0274
H001,P0275
H001,P0276
H001,P0280
H001,P0283
H001,P0285
H001,P0286
H001,P0288
H001,P0289
H001,P0291
H001,P0295
H001,P0297
H001,P0298
H001,P0299
H001,P0301
H001,P0302
H001,P0303
H001,P0304
H001,P0305
H001,P0308
H001,P0311
H001,P0314
H001,P0315
H001,P0316
H001,P0317
H001,P0318
H001,P0319
H001,P0325
H001,P0326
H001,P0327
H001,P0332
H001,P0333
H001,P0334
H001,P0335
H001,P0337
H001,P0342
H001,P0343
H001,P0346
H001,P0347
H001,P0353
H001,P0354
H001,P0356
H001,P0357
H001,P0359
H001,P0361
H001,P0362
H001,P0363
H001,P0364
H001,P0365
H001,P0366
H001,P0367
H001,P0368
H001,P0371
H001,P0372
H001,P0373
