batch_id,iteration,objective_scale,total_violations,cost,energy,num_vars,num_interactions,seed_used,num_reads,exit_reason,min_pen_c1,scaled_c1,chosen_c1,binding_branch_c1,mult_c1,viol_c1,min_pen_c2,scaled_c2,chosen_c2,binding_branch_c2,mult_c2,viol_c2,min_pen_c3,scaled_c3,chosen_c3,binding_branch_c3,mult_c3,viol_c3,min_pen_c4,scaled_c4,chosen_c4,binding_branch_c4,mult_c4,viol_c4
1,1,501952.93000000005,0,103377549.998,-28357353581.003998,61635,272272,1043,1580,feasible,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
2,1,502169.33,0,103294807.0235,-27734462001.52885,59224,267682,2043,1577,feasible,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
3,1,501952.36,0,102770610.766,-27795741558.037315,57887,261910,3043,1567,feasible,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0
4,1,502809.53,0,103370627.5435,-28207319959.109215,59747,266087,4043,1575,feasible,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0
5,1,502268.37,0,103130250.218,-28295123389.57938,59401,265655,5043,1574,feasible,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0
6,1,502233.31,0,102911280.74000001,-27298938112.863316,56607,256633,6043,1551,feasible,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0
7,1,502856.88,0,102991571.4485,-28137450809.354393,58259,262747,7043,1568,feasible,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0
8,1,502445.19999999995,0,102976896.69299999,-28327884745.307327,60307,267838,8043,1581,feasible,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0
9,1,501916.84,0,103142501.65799999,-28320408147.53939,59662,263574,9043,1570,feasible,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0
10,1,501846.88,0,103088182.9175,-28178492739.48475,58988,260893,10043,1565,feasible,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0
11,1,503369.77999999997,0,101438113.2745,-8808206992.725697,19643,86531,11043,888,feasible,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0
