batch_id,adaptive_iterations_used,adaptive_was_feasible,adaptive_exit_reason,final_mult_c1,final_mult_c2,final_mult_c3,final_mult_c4
1,1,True,feasible,1.0,1.0,1.0,1.0
2,1,True,feasible,1.0,1.0,1.0,1.0
3,1,True,feasible,1.0,1.0,1.0,1.0
4,1,True,feasible,1.0,1.0,1.0,1.0
5,1,True,feasible,1.0,1.0,1.0,1.0
6,1,True,feasible,1.0,1.0,1.0,1.0
7,1,True,feasible,1.0,1.0,1.0,1.0
8,1,True,feasible,1.0,1.0,1.0,1.0
9,1,True,feasible,1.0,1.0,1.0,1.0
10,1,True,feasible,1.0,1.0,1.0,1.0
11,1,True,feasible,1.0,1.0,1.0,1.0
