scale,batch_id,n_parts_in_batch,estimated_z_vars,n_hubs,n_zips,num_reads,num_sweeps,build_seconds,sample_seconds,eval_seconds,total_seconds,python_peak_tracemalloc_mb,rss_peak_mb,slurm_max_rss,postprocess_seconds,hub_prune_seconds,cost_seconds,total_pipeline_seconds,merge_rss_peak_mb,max_single_batch_rss_mb,sum_of_batch_peaks_rss_mb
low,1,71.0,49879.0,200.0,1988.0,500.0,12000.0,1.886927604675293,28068.152832508087,0.0,28070.10356092453,8731.694156646729,18951.1015625,,,,,,,,
low,2,56.0,49711.0,200.0,1988.0,500.0,12000.0,1.2732970714569092,18980.665875196457,0.0,18981.990617990494,8508.537958145142,18454.75,,,,,,,,
low,3,50.0,49070.0,200.0,1989.0,500.0,12000.0,1.2345402240753174,18465.050916671753,0.0,18466.336178541183,8335.372912406921,17983.0,,,,,,,,
low,4,60.0,49596.0,200.0,1985.0,500.0,12000.0,1.2664618492126465,19059.0095205307,0.0,19060.328239679337,8540.594405174255,18473.97265625,,,,,,,,
low,5,58.0,49516.0,200.0,1992.0,500.0,12000.0,1.2604637145996094,18984.244496822357,0.0,18985.557221889496,8505.151976585388,18390.95703125,,,,,,,,
low,6,49.0,48082.0,200.0,1987.0,500.0,12000.0,1.209610939025879,17916.56346678734,0.0,17917.823162317276,8133.20002746582,17544.53125,,,,,,,,
low,7,53.0,49149.0,200.0,1978.0,500.0,12000.0,1.2740013599395752,18578.367480278015,0.0,18579.692147254944,8372.87738609314,18077.03515625,,,,,,,,
low,8,61.0,49974.0,200.0,1987.0,500.0,12000.0,1.2704417705535889,19325.63800096512,0.0,19326.96062350273,8624.461465835571,18663.69140625,,,,,,,,
low,9,61.0,49294.0,200.0,1983.0,500.0,12000.0,1.263692855834961,19018.070775032043,0.0,19019.38698887825,8503.085629463196,18477.55859375,,,,,,,,
low,10,58.0,48929.0,200.0,1982.0,500.0,12000.0,1.2496211528778076,18755.693499326706,0.0,18756.993704795837,8415.569007873535,18276.046875,,,,,,,,
low,11,23.0,15759.0,200.0,1645.0,500.0,12000.0,0.40746498107910156,3548.3281688690186,0.0,3548.7610709667206,1418.568395614624,3539.69921875,,,,,,,,
low,merge,,,,,,,,,,,,,,47.64379991218448,45.85755587555468,0.2183081479743123,200761.24366457108,408.9765625,18951.1015625,186832.34375
