batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,11340,71,49879,11556,200,272272,1.3132987022399902,9676.891305685043,138.91467022895813,9818.614811182022,2,95,-47308842957.02058,103121046.1215,1933,1011,0,0,19058525.3109375,19058525.3109375,2509764.6500000004,200,7082,13273
2,11087,56,49711,9313,200,267682,1.2762839794158936,10243.084961414337,125.47377300262451,10371.450779914856,2,95,-157273684545.52216,103201846.06650001,2020,813,0,0,19066741.748437498,19066741.748437498,2510846.65,200,6190,13107
3,11116,50,49070,8617,200,261910,1.2493300437927246,8884.833807468414,117.68888831138611,9005.245680093765,2,94,-160121988466.51102,102851876.699,1953,756,0,0,19058503.66875,19058503.66875,2509761.8,200,5991,13069
4,11261,60,49596,9951,200,266087,1.2741804122924805,10806.134370565414,122.82074737548828,10932.01169681549,2,95,-71653655401.9466,103235392.23850001,1965,839,0,0,19091049.3421875,19091049.3421875,2514047.6500000004,200,6445,13226
5,11308,58,49516,9685,200,265655,1.268573522567749,11262.63465642929,130.6380934715271,11396.311435461044,2,95,-31754567763.895485,103059274.279,1971,880,0,0,19070502.173437502,19070502.173437502,2511341.85,200,6417,13279
6,10912,49,48082,8325,200,256633,1.2231645584106445,10103.79974269867,125.25492310523987,10231.721985816956,2,94,-46663156695.82858,102925756.465,1926,709,0,0,19069170.9890625,19069170.9890625,2511166.55,200,5772,12838
7,11232,53,49149,8910,200,262747,1.254960298538208,11373.044548273087,129.10018277168274,11505.032129764557,2,95,-21160356072.224365,102947098.58,1953,822,0,0,19092847.162499998,19092847.162499998,2514284.4,200,6093,13185
8,11317,61,49974,10133,200,267838,1.2694134712219238,9890.923488855362,135.72562384605408,10029.411078214645,2,95,-21205802729.743996,102898202.25600001,1985,850,0,0,19077216.1875,19077216.1875,2512226.0,200,6667,13302
9,11326,61,49294,10168,200,263574,1.2961370944976807,11284.052580595016,133.9004783630371,11420.905796766281,2,95,-21243509082.149406,103014123.0485,1983,837,0,0,19057155.01875,19057155.01875,2509584.2,200,6585,13309
10,11271,58,48929,9859,200,260893,1.2559375762939453,8818.971871137619,121.01255702972412,8942.7261967659,2,94,-47654584044.32,103046982.2725,1922,890,0,0,19054498.724999998,19054498.724999998,2509234.4,200,6502,13193
11,3540,23,15759,3684,200,86531,0.3992154598236084,2153.151834964752,21.982824563980103,2176.0794627666473,2,54,-50240630758.19939,101223636.5465,615,291,0,0,19112321.334374998,19112321.334374998,2516848.9,200,2257,4155
