batch_id,iteration,objective_scale,total_violations,cost,energy,num_vars,num_interactions,seed_used,num_reads,exit_reason,min_pen_c1,scaled_c1,chosen_c1,binding_branch_c1,mult_c1,viol_c1,min_pen_c2,scaled_c2,chosen_c2,binding_branch_c2,mult_c2,viol_c2,min_pen_c3,scaled_c3,chosen_c3,binding_branch_c3,mult_c3,viol_c3,min_pen_c4,scaled_c4,chosen_c4,binding_branch_c4,mult_c4,viol_c4
1,1,1.0,51,103327337.18599999,-461122662.81400335,61635,272272,1043,32,,50000.0,5.0,50000.0,floor,1.0,43,50000.0,5.0,50000.0,floor,1.0,8,50000.0,5.0,50000.0,floor,1.0,0,50000.0,5.0,50000.0,floor,1.0,0
1,2,1.0,1,102839722.00400001,-747610277.9959964,61635,272272,1044,32,,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.0,1,50000.0,5.0,50000.0,floor,1.0,0
1,3,1.0,27,103359831.44749999,-745115168.5524923,61635,272272,1045,32,,50000.0,5.0,50000.0,floor,1.5,22,50000.0,5.0,50000.0,floor,1.5,5,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.0,0
1,4,1.0,3,102296076.07949999,-1173228923.920493,61635,272272,1046,32,,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,1.5,3,50000.0,5.0,50000.0,floor,1.0,0
1,5,1.0,17,103341615.42,-1170495884.5800285,61635,272272,1047,32,max_iterations,50000.0,5.0,50000.0,floor,2.25,17,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,1.0,0
2,1,1.0,225,103282229.5425,-439817770.45750374,59224,267682,2043,32,,50000.0,5.0,50000.0,floor,1.0,196,50000.0,5.0,50000.0,floor,1.0,29,50000.0,5.0,50000.0,floor,1.0,0,50000.0,5.0,50000.0,floor,1.0,0
2,2,1.0,21,96634006.6425,-733840993.3575017,59224,267682,2044,32,,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.0,21,50000.0,5.0,50000.0,floor,1.0,0
2,3,1.0,151,103281878.918,-716918121.0819964,59224,267682,2045,32,,50000.0,5.0,50000.0,floor,1.5,134,50000.0,5.0,50000.0,floor,1.5,17,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.0,0
2,4,1.0,4,102212607.92250001,-1144774892.0775094,59224,267682,2046,32,,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,1.5,4,50000.0,5.0,50000.0,floor,1.0,0
2,5,1.0,106,103282599.32450001,-1132079900.6755004,59224,267682,2047,32,max_iterations,50000.0,5.0,50000.0,floor,2.25,87,50000.0,5.0,50000.0,floor,2.25,19,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,1.0,0
3,1,1.0,149,102765221.49800001,-445584778.5020139,57887,261910,3043,32,,50000.0,5.0,50000.0,floor,1.0,138,50000.0,5.0,50000.0,floor,1.0,11,50000.0,5.0,50000.0,floor,1.0,0,50000.0,5.0,50000.0,floor,1.0,0
3,2,1.0,25,95682479.82400002,-736767520.176012,57887,261910,3044,32,,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.0,25,50000.0,5.0,50000.0,floor,1.0,0
3,3,1.0,171,102789436.79900001,-718085563.2010039,57887,261910,3045,32,,50000.0,5.0,50000.0,floor,1.5,156,50000.0,5.0,50000.0,floor,1.5,15,50000.0,5.0,50000.0,floor,1.5,0,50000.0,5.0,50000.0,floor,1.0,0
3,4,1.0,5,99702728.24100001,-1150472271.758993,57887,261910,3046,32,,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,2.25,0,50000.0,5.0,50000.0,floor,1.5,5,50000.0,5.0,50000.0,floor,1.0,0
