batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,11340,71,49879,11556,200,272272,1.291161298751831,201.8632321357727,40.465898275375366,245.12746691703796,2,32,-747610277.9959964,102839722.00400001,0,0,1,0,168750.0,112500.0,112500.0,199,9023,11340
2,11087,56,49711,9313,200,267682,1.2774879932403564,195.56789469718933,39.044891119003296,237.41565251350403,2,32,-1767708884.4914742,103222365.5085,0,0,0,0,168750.0,168750.0,112500.0,200,7357,11087
3,11116,50,49070,8617,200,261910,1.2368934154510498,190.6724181175232,38.2927348613739,231.6851544380188,2,32,-1774505866.2424889,101206633.75750002,0,0,1,0,168750.0,168750.0,112500.0,197,6755,11116
4,11261,60,49596,9951,200,266087,1.3013701438903809,168.52625727653503,13.065880298614502,184.39461541175842,1,32,-1796975951.560975,103317798.43900001,0,0,0,0,168750.0,168750.0,112500.0,200,7712,11261
5,11308,58,49516,9685,200,265655,1.3010447025299072,151.5004825592041,0.0,152.87218689918518,0,32,-1805147871.6489289,103077128.35100001,0,0,0,0,168750.0,168750.0,112500.0,200,7560,11308
6,10912,49,48082,8325,200,256633,1.216355562210083,186.726957321167,37.10253930091858,226.55231308937073,2,32,-1740064350.599008,101335649.40100001,0,0,0,0,168750.0,168750.0,112500.0,197,6483,10912
7,11232,53,49149,8910,200,262747,1.2550702095031738,165.0653076171875,12.876101016998291,180.68276572227478,1,32,-1792460031.7599761,102939968.24000001,0,0,0,0,168750.0,168750.0,112500.0,200,7054,11232
8,11317,61,49974,10133,200,267838,1.2780544757843018,198.1790108680725,39.60902738571167,240.5389003753662,2,32,-1807608343.7424703,101910406.2575,0,0,2,0,168750.0,168750.0,168750.0,198,7748,11317
9,11326,61,49294,10168,200,263574,1.2859034538269043,121.07082033157349,0.0,122.42618942260742,0,32,-1171058376.9065027,103116623.0935,0,0,0,0,112500.0,112500.0,75000.0,200,8106,11326
10,11271,58,48929,9859,200,260893,1.279996395111084,193.74457144737244,39.180174112319946,235.68887543678284,2,32,-1799838846.6674962,102029903.3325,0,0,1,0,168750.0,168750.0,112500.0,198,7652,11271
11,3540,23,15759,3684,200,86531,0.41327476501464844,35.120994091033936,2.2736642360687256,38.29990553855896,1,18,-1242680511.8655043,101413238.13450001,0,0,0,0,379687.5,379687.5,253125.0,200,2811,3540
