hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,OPEN,1,0,1,0,326,511,500000.0
H002,OPEN,1,0,1,0,330,510,500000.0
H003,CLOSED,0,1,0,0,0,0,0.0
H004,OPEN,1,0,1,0,488,1255,500000.0
H005,OPEN,1,0,0,1,381,719,500000.0
H006,CLOSED,0,1,1,0,0,0,0.0
H007,OPEN,1,0,1,0,435,1127,500000.0
H008,CLOSED,0,1,1,0,0,0,0.0
H009,CLOSED,0,1,1,0,0,0,0.0
H010,OPEN,1,0,1,0,228,309,500000.0
H011,OPEN,1,0,1,0,313,539,500000.0
H012,OPEN,1,0,1,0,300,566,500000.0
H013,CLOSED,0,1,1,0,0,0,0.0
H014,CLOSED,0,1,1,0,0,0,0.0
H015,CLOSED,0,1,0,0,0,0,0.0
H016,OPEN,1,0,1,0,387,679,500000.0
H017,OPEN,1,0,1,0,359,607,500000.0
H018,OPEN,1,0,1,0,265,434,500000.0
H019,CLOSED,0,1,1,0,0,0,0.0
H020,CLOSED,0,1,0,0,0,0,0.0
H021,CLOSED,0,1,0,0,0,0,0.0
H022,CLOSED,0,1,0,0,0,0,0.0
H023,CLOSED,0,1,0,0,0,0,0.0
H024,CLOSED,0,1,1,0,0,0,0.0
H025,CLOSED,0,1,0,0,0,0,0.0
H026,OPEN,1,0,1,0,431,913,500000.0
H027,OPEN,1,0,0,1,448,909,500000.0
H028,OPEN,1,0,1,0,330,545,500000.0
H029,CLOSED,0,1,1,0,0,0,0.0
H030,OPEN,1,0,0,1,293,417,500000.0
H031,CLOSED,0,1,1,0,0,0,0.0
H032,CLOSED,0,1,1,0,0,0,0.0
H033,OPEN,1,0,1,0,260,394,500000.0
H034,OPEN,1,0,0,1,247,318,500000.0
H035,CLOSED,0,1,1,0,0,0,0.0
H036,CLOSED,0,1,0,0,0,0,0.0
H037,OPEN,1,0,1,0,483,1301,500000.0
H038,CLOSED,0,1,1,0,0,0,0.0
H039,CLOSED,0,1,1,0,0,0,0.0
H040,CLOSED,0,1,1,0,0,0,0.0
H041,OPEN,1,0,1,0,392,731,500000.0
H042,CLOSED,0,1,1,0,0,0,0.0
H043,OPEN,1,0,1,0,343,562,500000.0
H044,CLOSED,0,1,0,0,0,0,0.0
H045,OPEN,1,0,1,0,401,781,500000.0
H046,OPEN,1,0,1,0,283,410,500000.0
H047,CLOSED,0,1,0,0,0,0,0.0
H048,CLOSED,0,1,0,0,0,0,0.0
H049,OPEN,1,0,1,0,340,534,500000.0
H050,CLOSED,0,1,1,0,0,0,0.0
H051,CLOSED,0,1,1,0,0,0,0.0
H052,CLOSED,0,1,1,0,0,0,0.0
H053,CLOSED,0,1,1,0,0,0,0.0
H054,OPEN,1,0,1,0,182,213,500000.0
H055,CLOSED,0,1,0,0,0,0,0.0
H056,CLOSED,0,1,0,0,0,0,0.0
H057,CLOSED,0,1,1,0,0,0,0.0
H058,CLOSED,0,1,1,0,0,0,0.0
H059,OPEN,1,0,0,1,358,593,500000.0
H060,OPEN,1,0,1,0,429,892,500000.0
H061,OPEN,1,0,1,0,280,379,500000.0
H062,OPEN,1,0,1,0,355,668,500000.0
H063,CLOSED,0,1,1,0,0,0,0.0
H064,CLOSED,0,1,1,0,0,0,0.0
H065,OPEN,1,0,0,1,505,1759,500000.0
H066,CLOSED,0,1,1,0,0,0,0.0
H067,CLOSED,0,1,1,0,0,0,0.0
H068,CLOSED,0,1,1,0,0,0,0.0
H069,OPEN,1,0,1,0,398,1090,500000.0
H070,CLOSED,0,1,0,0,0,0,0.0
H071,OPEN,1,0,1,0,502,1859,500000.0
H072,CLOSED,0,1,0,0,0,0,0.0
H073,CLOSED,0,1,0,0,0,0,0.0
H074,CLOSED,0,1,0,0,0,0,0.0
H075,CLOSED,0,1,1,0,0,0,0.0
H076,CLOSED,0,1,1,0,0,0,0.0
H077,CLOSED,0,1,0,0,0,0,0.0
H078,OPEN,1,0,1,0,367,825,500000.0
H079,CLOSED,0,1,1,0,0,0,0.0
H080,CLOSED,0,1,1,0,0,0,0.0
H081,CLOSED,0,1,1,0,0,0,0.0
H082,OPEN,1,0,0,1,201,245,500000.0
H083,CLOSED,0,1,1,0,0,0,0.0
H084,CLOSED,0,1,1,0,0,0,0.0
H085,OPEN,1,0,1,0,549,2335,500000.0
H086,CLOSED,0,1,1,0,0,0,0.0
H087,OPEN,1,0,1,0,339,573,500000.0
H088,OPEN,1,0,1,0,414,856,500000.0
H089,CLOSED,0,1,1,0,0,0,0.0
H090,CLOSED,0,1,1,0,0,0,0.0
H091,CLOSED,0,1,0,0,0,0,0.0
