batch_id,iteration,objective_scale,total_violations,cost,energy,num_vars,num_interactions,seed_used,num_reads,exit_reason,min_pen_c1,scaled_c1,chosen_c1,binding_branch_c1,mult_c1,viol_c1,min_pen_c2,scaled_c2,chosen_c2,binding_branch_c2,mult_c2,viol_c2,min_pen_c3,scaled_c3,chosen_c3,binding_branch_c3,mult_c3,viol_c3,min_pen_c4,scaled_c4,chosen_c4,binding_branch_c4,mult_c4,viol_c4
1,1,501952.93000000005,10,103280666.19950001,-28332352818.302803,61635,272272,1043,32,,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,10,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
1,2,501952.93000000005,21,103330562.317,-42528786664.892105,61635,272272,1044,32,,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.5,5,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,16,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
1,3,501952.93000000005,0,103028994.37750001,-63933616050.386444,61635,272272,1045,32,feasible,50000.0,2509764.6500000004,2509764.6500000004,scaled,2.25,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.5,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
2,1,502169.33,45,103262803.2925,-27621505906.010033,59224,267682,2043,32,,50000.0,2510846.65,2510846.65,scaled,1.0,42,50000.0,2510846.65,2510846.65,scaled,1.0,3,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
2,2,502169.33,0,103075314.7165,-41653559898.11004,59224,267682,2044,32,feasible,50000.0,2510846.65,2510846.65,scaled,1.5,0,50000.0,2510846.65,2510846.65,scaled,1.5,0,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
3,1,501952.36,76,102778230.625,-27604992041.378212,57887,261910,3043,32,,50000.0,2509761.8,2509761.8,scaled,1.0,69,50000.0,2509761.8,2509761.8,scaled,1.0,7,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0
3,2,501952.36,0,102611746.51099999,-41745156506.68146,57887,261910,3044,32,feasible,50000.0,2509761.8,2509761.8,scaled,1.5,0,50000.0,2509761.8,2509761.8,scaled,1.5,0,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0
4,1,502809.53,23,103359875.3225,-28149507615.380028,59747,266087,4043,32,,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,19,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,4,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0
4,2,502809.53,0,103127265.2265,-42362908614.75089,59747,266087,4044,32,feasible,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.5,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.5,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0
5,1,502268.37,28,103107874.1985,-28224828193.79884,59401,265655,5043,32,,50000.0,2511341.85,2511341.85,scaled,1.0,21,50000.0,2511341.85,2511341.85,scaled,1.0,7,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0
5,2,502268.37,0,102917316.85700001,-42494463142.84146,59401,265655,5044,32,feasible,50000.0,2511341.85,2511341.85,scaled,1.5,0,50000.0,2511341.85,2511341.85,scaled,1.5,0,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0
6,1,502233.31,74,102917339.94600001,-27113105728.957222,56607,256633,6043,32,,50000.0,2511166.55,2511166.55,scaled,1.0,65,50000.0,2511166.55,2511166.55,scaled,1.0,9,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0
6,2,502233.31,0,102707433.44350001,-41000066656.948845,56607,256633,6044,32,feasible,50000.0,2511166.55,2511166.55,scaled,1.5,0,50000.0,2511166.55,2511166.55,scaled,1.5,0,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0
7,1,502856.88,45,103014355.2735,-28024285227.52945,58259,262747,7043,32,,50000.0,2514284.4,2514284.4,scaled,1.0,39,50000.0,2514284.4,2514284.4,scaled,1.0,6,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0
7,2,502856.88,0,102804475.5995,-42257859095.60171,58259,262747,7044,32,feasible,50000.0,2514284.4,2514284.4,scaled,1.5,0,50000.0,2514284.4,2514284.4,scaled,1.5,0,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0
8,1,502445.19999999995,22,102974845.234,-28272617824.76632,60307,267838,8043,32,,50000.0,2512226.0,2512226.0,scaled,1.0,16,50000.0,2512226.0,2512226.0,scaled,1.0,6,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0
8,2,502445.19999999995,0,102743372.94999999,-42543549090.050064,60307,267838,8044,32,feasible,50000.0,2512226.0,2512226.0,scaled,1.5,0,50000.0,2512226.0,2512226.0,scaled,1.5,0,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0
9,1,501916.84,16,103131236.578,-28280266065.419548,59662,263574,9043,32,,50000.0,2509584.2,2509584.2,scaled,1.0,14,50000.0,2509584.2,2509584.2,scaled,1.0,2,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0
9,2,501916.84,0,102915277.0715,-42532410696.7368,59662,263574,9044,32,feasible,50000.0,2509584.2,2509584.2,scaled,1.5,0,50000.0,2509584.2,2509584.2,scaled,1.5,0,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0
10,1,501846.88,26,103108316.31650001,-28113232511.685814,58988,260893,10043,32,,50000.0,2509234.4,2509234.4,scaled,1.0,18,50000.0,2509234.4,2509234.4,scaled,1.0,8,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0
10,2,501846.88,0,102894010.19550002,-42319477373.405304,58988,260893,10044,32,feasible,50000.0,2509234.4,2509234.4,scaled,1.5,0,50000.0,2509234.4,2509234.4,scaled,1.5,0,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0
11,1,503369.77999999997,149,101430155.3295,-8433204464.570681,19643,86531,11043,18,,50000.0,2516848.9,2516848.9,scaled,1.0,127,50000.0,2516848.9,2516848.9,scaled,1.0,22,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0
11,2,503369.77999999997,0,101358049.92549999,-13263109609.074047,19643,86531,11044,18,feasible,50000.0,2516848.9,2516848.9,scaled,1.5,0,50000.0,2516848.9,2516848.9,scaled,1.5,0,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0
