batch_id,adaptive_iterations_used,adaptive_was_feasible,adaptive_exit_reason,final_mult_c1,final_mult_c2,final_mult_c3,final_mult_c4
1,3,True,feasible,2.25,1.5,1.0,1.0
2,2,True,feasible,1.5,1.5,1.0,1.0
3,2,True,feasible,1.5,1.5,1.0,1.0
4,2,True,feasible,1.5,1.5,1.0,1.0
5,2,True,feasible,1.5,1.5,1.0,1.0
6,2,True,feasible,1.5,1.5,1.0,1.0
7,2,True,feasible,1.5,1.5,1.0,1.0
8,2,True,feasible,1.5,1.5,1.0,1.0
9,2,True,feasible,1.5,1.5,1.0,1.0
10,2,True,feasible,1.5,1.5,1.0,1.0
11,2,True,feasible,1.5,1.5,1.0,1.0
