batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,11340,71,49879,11556,200,272272,1.8728394508361816,130.54398012161255,0.0,132.49461483955383,0,32,-63933616050.386444,103028994.37750001,0,0,0,0,5646970.4625,3764646.9750000006,2509764.6500000004,200,7689,11340
2,11087,56,49711,9313,200,267682,1.282142162322998,59.474772930145264,0.0,60.82079601287842,0,32,-41653559898.11004,103075314.7165,0,0,0,0,3766269.9749999996,3766269.9749999996,2510846.65,200,6758,11087
3,11116,50,49070,8617,200,261910,1.242692470550537,58.32161331176758,0.0,59.6240975856781,0,32,-41745156506.68146,102611746.51099999,0,0,0,0,3764642.6999999997,3764642.6999999997,2509761.8,200,6280,11116
4,11261,60,49596,9951,200,266087,1.276909589767456,59.859734296798706,0.0,61.19917273521423,0,32,-42362908614.75089,103127265.2265,0,0,0,0,3771071.4750000006,3771071.4750000006,2514047.6500000004,200,7009,11261
5,11308,58,49516,9685,200,265655,1.2725331783294678,59.519636154174805,0.0,60.85499620437622,0,32,-42494463142.84146,102917316.85700001,0,0,0,0,3767012.7750000004,3767012.7750000004,2511341.85,200,6895,11308
6,10912,49,48082,8325,200,256633,1.23362135887146,56.40040469169617,0.0,57.69257211685181,0,32,-41000066656.948845,102707433.44350001,0,0,0,0,3766749.8249999997,3766749.8249999997,2511166.55,200,5971,10912
7,11232,53,49149,8910,200,262747,1.2751376628875732,58.324538469314575,0.0,59.66098165512085,0,32,-42257859095.60171,102804475.5995,0,0,0,0,3771426.5999999996,3771426.5999999996,2514284.4,200,6471,11232
8,11317,61,49974,10133,200,267838,1.2820453643798828,60.24197340011597,0.0,61.58673858642578,0,32,-42543549090.050064,102743372.94999999,0,0,0,0,3768339.0,3768339.0,2512226.0,200,7000,11317
9,11326,61,49294,10168,200,263574,1.2705252170562744,59.39823126792908,0.0,60.72922945022583,0,32,-42532410696.7368,102915277.0715,0,0,0,0,3764376.3000000003,3764376.3000000003,2509584.2,200,7183,11326
10,11271,58,48929,9859,200,260893,1.239570140838623,58.42988967895508,0.0,59.7288863658905,0,32,-42319477373.405304,102894010.19550002,0,0,0,0,3763851.5999999996,3763851.5999999996,2509234.4,200,6960,11271
11,3540,23,15759,3684,200,86531,0.3971996307373047,12.481958150863647,0.0,12.912222146987915,0,18,-13263109609.074047,101358049.92549999,0,0,0,0,3775273.3499999996,3775273.3499999996,2516848.9,200,2728,3540
