hub_id,part_id,part_cost_P_k,hub_existing_T_j,new_hub_transfer_cost
H001,P0001,100.51,1,0.0
H001,P0002,190.38,1,0.0
H001,P0004,57.6,1,0.0
H001,P0006,281.81,1,0.0
H001,P0008,99.79,1,0.0
H001,P0009,124.11,1,0.0
H001,P0010,40.62,1,0.0
H001,P0013,172.53,1,0.0
H001,P0014,84.93,1,0.0
H001,P0016,348.31,1,0.0
H001,P0017,161.02,1,0.0
H001,P0019,146.86,1,0.0
H001,P0022,186.14,1,0.0
H001,P0023,128.26,1,0.0
H001,P0024,921.03,1,0.0
H001,P0028,51.44,1,0.0
H001,P0029,408.98,1,0.0
H001,P0031,215.67,1,0.0
H001,P0032,29.12,1,0.0
H001,P0033,322.58,1,0.0
H001,P0035,51.53,1,0.0
H001,P0037,177.5,1,0.0
H001,P0038,146.77,1,0.0
H001,P0039,107.63,1,0.0
H001,P0042,160.61,1,0.0
H001,P0043,526.36,1,0.0
H001,P0045,113.12,1,0.0
H001,P0047,182.73,1,0.0
H001,P0048,100.18,1,0.0
H001,P0050,188.07,1,0.0
H001,P0052,35.2,1,0.0
H001,P0053,304.63,1,0.0
H001,P0055,132.48,1,0.0
H001,P0058,451.1,1,0.0
H001,P0061,403.96,1,0.0
H001,P0062,207.85,1,0.0
H001,P0063,672.62,1,0.0
H001,P0068,74.74,1,0.0
H001,P0069,341.13,1,0.0
H001,P0070,48.48,1,0.0
H001,P0071,283.09,1,0.0
H001,P0072,117.93,1,0.0
H001,P0073,401.72,1,0.0
H001,P0074,275.18,1,0.0
H001,P0076,270.25,1,0.0
H001,P0082,248.5,1,0.0
H001,P0083,74.63,1,0.0
H001,P0084,56.22,1,0.0
H001,P0085,144.19,1,0.0
H001,P0086,46.84,1,0.0
H001,P0088,185.39,1,0.0
H001,P0089,396.0,1,0.0
H001,P0090,242.14,1,0.0
H001,P0091,17.81,1,0.0
H001,P0093,149.38,1,0.0
H001,P0094,203.19,1,0.0
H001,P0095,599.58,1,0.0
H001,P0097,82.24,1,0.0
H001,P0098,238.28,1,0.0
H001,P0099,33.72,1,0.0
H001,P0100,528.48,1,0.0
H001,P0103,83.75,1,0.0
H001,P0104,291.21,1,0.0
H001,P0105,366.23,1,0.0
H001,P0106,172.64,1,0.0
H001,P0107,172.88,1,0.0
H001,P0110,122.59,1,0.0
H001,P0111,122.04,1,0.0
H001,P0112,197.69,1,0.0
H001,P0113,344.29,1,0.0
H001,P0114,54.0,1,0.0
H001,P0115,125.1,1,0.0
H001,P0116,531.1,1,0.0
H001,P0121,141.45,1,0.0
H001,P0128,23.07,1,0.0
H001,P0129,593.16,1,0.0
H001,P0130,92.73,1,0.0
H001,P0132,454.97,1,0.0
H001,P0134,45.38,1,0.0
H001,P0135,33.13,1,0.0
H001,P0137,207.95,1,0.0
H001,P0140,39.26,1,0.0
H001,P0142,147.02,1,0.0
H001,P0143,91.56,1,0.0
H001,P0144,211.68,1,0.0
H001,P0145,263.33,1,0.0
H001,P0146,158.55,1,0.0
H001,P0148,172.08,1,0.0
H001,P0150,74.25,1,0.0
H001,P0152,167.12,1,0.0
H001,P0153,292.98,1,0.0
H001,P0155,223.79,1,0.0
H001,P0157,125.95,1,0.0
H001,P0158,295.36,1,0.0
H001,P0161,36.88,1,0.0
H001,P0164,274.82,1,0.0
H001,P0165,108.34,1,0.0
H001,P0166,167.28,1,0.0
H001,P0168,462.46,1,0.0
H001,P0169,131.55,1,0.0
H001,P0172,65.89,1,0.0
H001,P0173,82.0,1,0.0
H001,P0174,36.93,1,0.0
H001,P0175,62.95,1,0.0
H001,P0178,658.74,1,0.0
H001,P0181,54.88,1,0.0
H001,P0183,124.42,1,0.0
H001,P0184,26.95,1,0.0
H001,P0185,322.82,1,0.0
H001,P0186,81.22,1,0.0
H001,P0187,86.59,1,0.0
H001,P0188,53.46,1,0.0
H001,P0191,118.08,1,0.0
H001,P0192,188.19,1,0.0
H001,P0193,193.91,1,0.0
H001,P0194,459.55,1,0.0
H001,P0195,102.84,1,0.0
H001,P0196,37.06,1,0.0
H001,P0197,365.82,1,0.0
H001,P0200,197.69,1,0.0
H001,P0202,191.63,1,0.0
H001,P0203,810.42,1,0.0
H001,P0204,907.71,1,0.0
H001,P0205,149.02,1,0.0
