scale,batch_id,n_parts_in_batch,estimated_z_vars,n_hubs,n_zips,num_reads,num_sweeps,build_seconds,sample_seconds,eval_seconds,total_seconds,python_peak_tracemalloc_mb,rss_peak_mb,slurm_max_rss,postprocess_seconds,hub_prune_seconds,cost_seconds,total_pipeline_seconds,merge_rss_peak_mb,max_single_batch_rss_mb,sum_of_batch_peaks_rss_mb
low,1,71.0,49879.0,200.0,1988.0,10.0,150.0,1.8728394508361816,130.54398012161255,0.0,132.49461483955383,316.0519552230835,868.25,,,,,,,,
low,2,56.0,49711.0,200.0,1988.0,10.0,150.0,1.282142162322998,59.474772930145264,0.0,60.82079601287842,302.8739252090454,833.296875,,,,,,,,
low,3,50.0,49070.0,200.0,1989.0,10.0,150.0,1.242692470550537,58.32161331176758,0.0,59.6240975856781,298.9638137817383,820.796875,,,,,,,,
low,4,60.0,49596.0,200.0,1985.0,10.0,150.0,1.276909589767456,59.859734296798706,0.0,61.19917273521423,303.78750705718994,834.09765625,,,,,,,,
low,5,58.0,49516.0,200.0,1992.0,10.0,150.0,1.2725331783294678,59.519636154174805,0.0,60.85499620437622,302.9722328186035,832.01171875,,,,,,,,
low,6,49.0,48082.0,200.0,1987.0,10.0,150.0,1.23362135887146,56.40040469169617,0.0,57.69257211685181,294.46953678131104,809.79296875,,,,,,,,
low,7,53.0,49149.0,200.0,1978.0,10.0,150.0,1.2751376628875732,58.324538469314575,0.0,59.66098165512085,299.9637498855591,823.74609375,,,,,,,,
low,8,61.0,49974.0,200.0,1987.0,10.0,150.0,1.2820453643798828,60.24197340011597,0.0,61.58673858642578,305.3863286972046,839.40625,,,,,,,,
low,9,61.0,49294.0,200.0,1983.0,10.0,150.0,1.2705252170562744,59.39823126792908,0.0,60.72922945022583,303.1546850204468,832.640625,,,,,,,,
low,10,58.0,48929.0,200.0,1982.0,10.0,150.0,1.239570140838623,58.42988967895508,0.0,59.7288863658905,301.18805408477783,828.2734375,,,,,,,,
low,11,23.0,15759.0,200.0,1645.0,10.0,150.0,0.3971996307373047,12.481958150863647,0.0,12.912222146987915,77.54139137268066,340.17578125,,,,,,,,
low,merge,,,,,,,,,,,,,,32.95497062057257,31.15894367173314,0.21057956479489803,719.8074988853186,407.3203125,868.25,8662.48828125
