batch_id,iteration,objective_scale,total_violations,cost,energy,num_vars,num_interactions,seed_used,num_reads,exit_reason,min_pen_c1,scaled_c1,chosen_c1,binding_branch_c1,mult_c1,viol_c1,min_pen_c2,scaled_c2,chosen_c2,binding_branch_c2,mult_c2,viol_c2,min_pen_c3,scaled_c3,chosen_c3,binding_branch_c3,mult_c3,viol_c3,min_pen_c4,scaled_c4,chosen_c4,binding_branch_c4,mult_c4,viol_c4
1,1,501952.93000000005,0,103367445.30649999,-28357363685.695656,61635,272272,1043,316,feasible,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
2,1,502169.33,0,103262534.6875,-27734494273.86498,59224,267682,2043,316,feasible,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
3,1,501952.36,0,102773741.88749999,-27795738426.91575,57887,261910,3043,314,feasible,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0,50000.0,2509761.8,2509761.8,scaled,1.0,0
4,1,502809.53,0,103378144.2925,-28207312442.36004,59747,266087,4043,315,feasible,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0,50000.0,2514047.6500000004,2514047.6500000004,scaled,1.0,0
5,1,502268.37,0,103123597.7375,-28295130042.059837,59401,265655,5043,315,feasible,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0,50000.0,2511341.85,2511341.85,scaled,1.0,0
6,1,502233.31,0,102917344.02700001,-27298932049.576206,56607,256633,6043,311,feasible,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0,50000.0,2511166.55,2511166.55,scaled,1.0,0
7,1,502856.88,0,103006171.7155,-28137436209.087368,58259,262747,7043,314,feasible,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0,50000.0,2514284.4,2514284.4,scaled,1.0,0
8,1,502445.19999999995,0,102987873.6685,-28327873768.331932,60307,267838,8043,317,feasible,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0,50000.0,2512226.0,2512226.0,scaled,1.0,0
9,1,501916.84,0,103104631.622,-28320446017.575523,59662,263574,9043,314,feasible,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0,50000.0,2509584.2,2509584.2,scaled,1.0,0
10,1,501846.88,0,103108318.4545,-28178472603.947754,58988,260893,10043,313,feasible,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0,50000.0,2509234.4,2509234.4,scaled,1.0,0
11,1,503369.77999999997,0,101385011.4,-8808260094.600193,19643,86531,11043,178,feasible,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0,50000.0,2516848.9,2516848.9,scaled,1.0,0
