hub_id,part_id
H001,P0001
H001,P0002
H001,P0004
H001,P0006
H001,P0008
H001,P0009
H001,P0010
H001,P0013
H001,P0014
H001,P0016
H001,P0017
H001,P0019
H001,P0022
H001,P0023
H001,P0024
H001,P0028
H001,P0029
H001,P0031
H001,P0032
H001,P0033
H001,P0035
H001,P0037
H001,P0038
H001,P0039
H001,P0042
H001,P0043
H001,P0045
H001,P0047
H001,P0048
H001,P0050
H001,P0052
H001,P0053
H001,P0055
H001,P0058
H001,P0061
H001,P0062
H001,P0063
H001,P0068
H001,P0069
H001,P0070
H001,P0071
H001,P0072
H001,P0073
H001,P0074
H001,P0076
H001,P0082
H001,P0083
H001,P0084
H001,P0085
H001,P0086
H001,P0088
H001,P0089
H001,P0090
H001,P0091
H001,P0093
H001,P0094
H001,P0095
H001,P0097
H001,P0098
H001,P0099
H001,P0100
H001,P0103
H001,P0104
H001,P0105
H001,P0106
H001,P0107
H001,P0110
H001,P0111
H001,P0112
H001,P0113
H001,P0114
H001,P0115
H001,P0116
H001,P0117
H001,P0121
H001,P0127
H001,P0128
H001,P0129
H001,P0130
H001,P0132
H001,P0134
H001,P0135
H001,P0137
H001,P0140
H001,P0142
H001,P0143
H001,P0144
H001,P0145
H001,P0146
H001,P0148
H001,P0150
H001,P0152
H001,P0153
H001,P0155
H001,P0157
H001,P0158
H001,P0161
H001,P0164
H001,P0165
H001,P0166
H001,P0168
H001,P0169
H001,P0172
H001,P0173
H001,P0174
H001,P0175
H001,P0178
H001,P0181
H001,P0183
H001,P0184
H001,P0185
H001,P0186
H001,P0187
H001,P0188
H001,P0192
H001,P0193
H001,P0194
H001,P0195
H001,P0196
H001,P0197
H001,P0200
H001,P0202
H001,P0203
H001,P0204
H001,P0205
H001,P0209
H001,P0211
H001,P0212
H001,P0213
H001,P0215
H001,P0218
H001,P0221
H001,P0222
H001,P0226
H001,P0227
H001,P0228
H001,P0229
H001,P0231
H001,P0232
H001,P0239
H001,P0241
H001,P0242
H001,P0250
H001,P0253
H001,P0255
H001,P0256
H001,P0259
H001,P0261
H001,P0262
H001,P0264
H001,P0265
H001,P0266
