scale,batch_id,n_parts_in_batch,estimated_z_vars,n_hubs,n_zips,num_reads,num_sweeps,build_seconds,sample_seconds,eval_seconds,total_seconds,python_peak_tracemalloc_mb,rss_peak_mb,slurm_max_rss,postprocess_seconds,hub_prune_seconds,cost_seconds,total_pipeline_seconds,merge_rss_peak_mb,max_single_batch_rss_mb,sum_of_batch_peaks_rss_mb
low,1,71.0,49879.0,200.0,1988.0,100.0,3000.0,1.3135883808135986,1144.353040933609,0.0,1145.7214004993439,1834.0130290985107,4235.67578125,,,,,,,,
low,2,56.0,49711.0,200.0,1988.0,100.0,3000.0,1.2708141803741455,1101.3493876457214,0.0,1102.6727640628815,1791.0108575820923,4120.328125,,,,,,,,
low,3,50.0,49070.0,200.0,1989.0,100.0,3000.0,1.2468092441558838,1071.9049866199493,0.0,1073.2019174098969,1755.2809963226318,4038.421875,,,,,,,,
low,4,60.0,49596.0,200.0,1985.0,100.0,3000.0,1.2900116443634033,1108.0894482135773,0.0,1109.4315903186798,1794.1556406021118,4135.078125,,,,,,,,
low,5,58.0,49516.0,200.0,1992.0,100.0,3000.0,1.272813320159912,1100.0191397666931,0.0,1101.3451898097992,1788.0142049789429,4119.36328125,,,,,,,,
/home/cpulimi/ModelV1/model-v1/resultslow,6,49.0,48082.0,200.0,1987.0,100.0,3000.0,1.2202818393707275,1042.9907371997833,0.0,1044.2600288391113,1714.3296222686768,3947.52734375,,,,,,,,
low,7,53.0,49149.0,200.0,1978.0,100.0,3000.0,1.2548341751098633,1080.699408531189,0.0,1082.004898071289,1761.9621133804321,4056.09765625,,,,,,,,
low,8,61.0,49974.0,200.0,1987.0,100.0,3000.0,1.2954471111297607,1121.6549561023712,0.0,1123.0033707618713,1815.623812675476,4183.6484375,,,,,,,,
low,9,61.0,49294.0,200.0,1983.0,100.0,3000.0,1.2814562320709229,1101.2689900398254,0.0,1102.602695465088,1786.3087825775146,4117.96875,,,,,,,,
low,10,58.0,48929.0,200.0,1982.0,100.0,3000.0,1.2545604705810547,1130.245084285736,0.0,1131.5497696399689,1768.287766456604,4076.41796875,,,,,,,,
low,11,23.0,15759.0,200.0,1645.0,100.0,3000.0,0.40140795707702637,210.35275077819824,0.0,210.7848620414734,318.68058681488037,854.109375,,,,,,,,
low,merge,,,,,,,,,,,,,,48.1650813492015,46.366208023391664,0.21650475822389126,11274.411540779285,408.91796875,4235.67578125,41884.63671875
