batch_id,iteration,objective_scale,total_violations,cost,energy,num_vars,num_interactions,seed_used,num_reads,exit_reason,min_pen_c1,scaled_c1,chosen_c1,binding_branch_c1,mult_c1,viol_c1,min_pen_c2,scaled_c2,chosen_c2,binding_branch_c2,mult_c2,viol_c2,min_pen_c3,scaled_c3,chosen_c3,binding_branch_c3,mult_c3,viol_c3,min_pen_c4,scaled_c4,chosen_c4,binding_branch_c4,mult_c4,viol_c4
1,1,501952.93000000005,2892,103119609.06300001,-21099372154.14072,61635,272272,1043,316,,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,1906,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,986,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
1,2,501952.93000000005,2965,103100449.7375,-31425817965.887817,61635,272272,1044,316,,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.5,1919,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.5,1046,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
1,3,501952.93000000005,2929,103103524.89950001,-47393565035.18003,61635,272272,1045,316,,50000.0,2509764.6500000004,2509764.6500000004,scaled,2.25,1900,50000.0,2509764.6500000004,2509764.6500000004,scaled,2.25,1029,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
1,4,501952.93000000005,2976,103130213.97649999,-70743761208.56735,61635,272272,1046,316,,50000.0,2509764.6500000004,2509764.6500000004,scaled,3.375,1960,50000.0,2509764.6500000004,2509764.6500000004,scaled,3.375,1016,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
1,5,501952.93000000005,2866,103090482.101,-107564871841.1481,61635,272272,1047,316,max_iterations,50000.0,2509764.6500000004,2509764.6500000004,scaled,5.0625,1885,50000.0,2509764.6500000004,2509764.6500000004,scaled,5.0625,981,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0,50000.0,2509764.6500000004,2509764.6500000004,scaled,1.0,0
2,1,502169.33,2733,103151885.5375,-20872461028.56639,59224,267682,2043,316,,50000.0,2510846.65,2510846.65,scaled,1.0,1903,50000.0,2510846.65,2510846.65,scaled,1.0,830,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
2,2,502169.33,2794,103176023.8575,-31130500878.817833,59224,267682,2044,316,,50000.0,2510846.65,2510846.65,scaled,1.5,1968,50000.0,2510846.65,2510846.65,scaled,1.5,826,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
2,3,502169.33,2738,103185709.563,-47063696322.3425,59224,267682,2045,316,,50000.0,2510846.65,2510846.65,scaled,2.25,1927,50000.0,2510846.65,2510846.65,scaled,2.25,811,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
2,4,502169.33,2677,103154353.80700001,-71164089248.14706,59224,267682,2046,316,,50000.0,2510846.65,2510846.65,scaled,3.375,1895,50000.0,2510846.65,2510846.65,scaled,3.375,782,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
2,5,502169.33,2746,103167375.16650002,-105920627907.30533,59224,267682,2047,316,max_iterations,50000.0,2510846.65,2510846.65,scaled,5.0625,1956,50000.0,2510846.65,2510846.65,scaled,5.0625,790,50000.0,2510846.65,2510846.65,scaled,1.0,0,50000.0,2510846.65,2510846.65,scaled,1.0,0
