batch_id,num_rows,num_parts,num_z,num_y,num_x,interactions,build_seconds,sample_seconds,eval_seconds,total_seconds,stage_used,suggested_reads,energy,reconstructed_cost,c1_violations,c2_violations,c3_violations,c4_violations,penalty_c1,penalty_c2,penalty_c3,open_hubs_count,stocked_pairs_count,assignments_count
1,11340,71,49879,11556,200,272272,1.3198552131652832,136216.51099777222,1030.0516157150269,137249.47993063927,3,316,-107564871841.1481,103090482.101,1885,981,0,0,19058525.3109375,19058525.3109375,2509764.6500000004,200,7016,13225
2,11087,56,49711,9313,200,267682,1.276794195175171,141922.9874510765,1021.9924757480621,142947.93404626846,3,316,-71164089248.14706,103154353.80700001,1895,782,0,0,19066741.748437498,19066741.748437498,2510846.65,200,6113,12982
3,11116,50,49070,8617,200,261910,1.2622344493865967,138493.03077602386,1028.8034965991974,139524.695022583,3,314,-21310463380.559635,102824297.043,1892,692,0,0,19058503.66875,19058503.66875,2509761.8,200,5945,13008
4,11261,60,49596,9951,200,266087,1.2818512916564941,145953.46253585815,1038.5592925548553,146995.0229523182,3,315,-21288849093.958626,103182359.896,1845,907,0,0,19091049.3421875,19091049.3421875,2514047.6500000004,200,6381,13106
5,11308,58,49516,9685,200,265655,1.2774207592010498,142870.82101893425,1033.7677166461945,143907.60616636276,3,315,-165371698731.74097,103048627.1865,1877,754,0,0,19070502.173437502,19070502.173437502,2511341.85,200,6467,13185
6,10912,49,48082,8325,200,256633,1.2313382625579834,130496.710501194,991.0154576301575,131490.67032814026,3,311,-21118984817.68538,102883696.36700001,1796,665,0,0,19069170.9890625,19069170.9890625,2511166.55,200,5719,12708
7,11232,53,49149,8910,200,262747,1.8180465698242188,148002.28575778008,1361.9693775177002,149368.408765316,3,314,-21507330680.127903,102943737.87650001,1892,745,0,0,19092847.162499998,19092847.162499998,2514284.4,200,6091,13124
8,11317,61,49974,10133,200,267838,1.303910732269287,150001.08481812477,1058.8993029594421,151063.03157758713,3,317,-48282599584.73544,102873175.2665,1920,837,0,0,19077216.1875,19077216.1875,2512226.0,200,6627,13237
9,11326,61,49294,10168,200,263574,1.2820448875427246,142909.52135968208,1026.4311082363129,143938.9107952118,3,314,-164588924514.4626,103009157.54249999,1858,826,0,0,19057155.01875,19057155.01875,2509584.2,200,6598,13184
10,11271,58,48929,9859,200,260893,1.2675776481628418,145366.24874043465,1000.7984273433685,146370.0195710659,3,313,-32409136587.41426,103013533.38550001,1813,820,0,0,19054498.724999998,19054498.724999998,2509234.4,200,6471,13084
11,3540,23,15759,3684,200,86531,0.41060709953308105,24481.067205905914,165.54400181770325,24647.515150547028,3,178,-15007414681.04919,101229265.65200001,595,277,0,0,19112321.334374998,19112321.334374998,2516848.9,200,2244,4135
