hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,OPEN,1,0,1,0,325,517,500000.0
H002,OPEN,1,0,1,0,324,528,500000.0
H003,CLOSED,0,1,0,0,0,0,0.0
H004,OPEN,1,0,1,0,488,1255,500000.0
H005,OPEN,1,0,0,1,380,729,500000.0
H006,OPEN,1,0,1,0,471,3274,500000.0
H007,CLOSED,0,1,1,0,0,0,0.0
H008,CLOSED,0,1,1,0,0,0,0.0
H009,CLOSED,0,1,1,0,0,0,0.0
H010,OPEN,1,0,1,0,228,309,500000.0
H011,OPEN,1,0,1,0,323,553,500000.0
H012,OPEN,1,0,1,0,342,653,500000.0
H013,CLOSED,0,1,1,0,0,0,0.0
H014,CLOSED,0,1,1,0,0,0,0.0
H015,CLOSED,0,1,0,0,0,0,0.0
H016,OPEN,1,0,1,0,387,679,500000.0
H017,OPEN,1,0,1,0,359,607,500000.0
H018,OPEN,1,0,1,0,304,597,500000.0
H019,CLOSED,0,1,1,0,0,0,0.0
H020,CLOSED,0,1,0,0,0,0,0.0
H021,CLOSED,0,1,0,0,0,0,0.0
H022,CLOSED,0,1,0,0,0,0,0.0
H023,CLOSED,0,1,0,0,0,0,0.0
H024,OPEN,1,0,1,0,429,1088,500000.0
H025,CLOSED,0,1,0,0,0,0,0.0
H026,OPEN,1,0,1,0,341,656,500000.0
H027,OPEN,1,0,0,1,448,909,500000.0
H028,OPEN,1,0,1,0,330,545,500000.0
H029,CLOSED,0,1,1,0,0,0,0.0
H030,OPEN,1,0,0,1,293,417,500000.0
H031,OPEN,1,0,1,0,523,1970,500000.0
H032,CLOSED,0,1,1,0,0,0,0.0
H033,OPEN,1,0,1,0,245,356,500000.0
H034,OPEN,1,0,0,1,245,316,500000.0
H035,CLOSED,0,1,1,0,0,0,0.0
H036,CLOSED,0,1,0,0,0,0,0.0
H037,OPEN,1,0,1,0,468,1332,500000.0
H038,CLOSED,0,1,1,0,0,0,0.0
H039,CLOSED,0,1,1,0,0,0,0.0
H040,CLOSED,0,1,1,0,0,0,0.0
H041,OPEN,1,0,1,0,392,731,500000.0
H042,OPEN,1,0,1,0,451,1546,500000.0
H043,OPEN,1,0,1,0,336,600,500000.0
H044,CLOSED,0,1,0,0,0,0,0.0
H045,OPEN,1,0,1,0,394,780,500000.0
H046,OPEN,1,0,1,0,283,410,500000.0
H047,CLOSED,0,1,0,0,0,0,0.0
H048,CLOSED,0,1,0,0,0,0,0.0
H049,OPEN,1,0,1,0,336,524,500000.0
H050,CLOSED,0,1,1,0,0,0,0.0
H051,CLOSED,0,1,1,0,0,0,0.0
H052,CLOSED,0,1,1,0,0,0,0.0
H053,CLOSED,0,1,1,0,0,0,0.0
H054,OPEN,1,0,1,0,182,213,500000.0
H055,OPEN,1,0,0,1,403,1508,500000.0
H056,OPEN,1,0,0,1,492,1374,500000.0
H057,CLOSED,0,1,1,0,0,0,0.0
H058,CLOSED,0,1,1,0,0,0,0.0
H059,OPEN,1,0,0,1,358,593,500000.0
H060,OPEN,1,0,1,0,429,892,500000.0
H061,OPEN,1,0,1,0,280,379,500000.0
H062,OPEN,1,0,1,0,376,739,500000.0
H063,CLOSED,0,1,1,0,0,0,0.0
H064,CLOSED,0,1,1,0,0,0,0.0
H065,OPEN,1,0,0,1,523,1939,500000.0
H066,CLOSED,0,1,1,0,0,0,0.0
H067,CLOSED,0,1,1,0,0,0,0.0
H068,CLOSED,0,1,1,0,0,0,0.0
H069,OPEN,1,0,1,0,510,1898,500000.0
H070,OPEN,1,0,0,1,501,1710,500000.0
H071,OPEN,1,0,1,0,511,2173,500000.0
H072,CLOSED,0,1,0,0,0,0,0.0
H073,CLOSED,0,1,0,0,0,0,0.0
H074,CLOSED,0,1,0,0,0,0,0.0
H075,CLOSED,0,1,1,0,0,0,0.0
H076,CLOSED,0,1,1,0,0,0,0.0
H077,OPEN,1,0,0,1,317,669,500000.0
H078,OPEN,1,0,1,0,398,1040,500000.0
H079,CLOSED,0,1,1,0,0,0,0.0
H080,OPEN,1,0,1,0,443,1271,500000.0
