scale,batch_id,n_parts_in_batch,estimated_z_vars,n_hubs,n_zips,num_reads,num_sweeps,build_seconds,sample_seconds,eval_seconds,total_seconds,python_peak_tracemalloc_mb,rss_peak_mb,slurm_max_rss,postprocess_seconds,hub_prune_seconds,cost_seconds,total_pipeline_seconds,merge_rss_peak_mb,max_single_batch_rss_mb,sum_of_batch_peaks_rss_mb
low,1,71.0,49879.0,200.0,1988.0,100.0,3000.0,1.3198552131652832,136216.51099777222,1030.0516157150269,137249.47993063927,14156.61030960083,22788.93359375,,,,,,,,
low,2,56.0,49711.0,200.0,1988.0,100.0,3000.0,1.276794195175171,141922.9874510765,1021.9924757480621,142947.93404626846,13710.358328819275,22126.9765625,,,,,,,,
low,3,50.0,49070.0,200.0,1989.0,100.0,3000.0,1.2622344493865967,138493.03077602386,1028.8034965991974,139524.695022583,13373.601832389832,21574.0859375,,,,,,,,
low,4,60.0,49596.0,200.0,1985.0,100.0,3000.0,1.2818512916564941,145953.46253585815,1038.5592925548553,146995.0229523182,13762.261509895325,22184.88671875,,,,,,,,
low,5,58.0,49516.0,200.0,1992.0,100.0,3000.0,1.2774207592010498,142870.82101893425,1033.7677166461945,143907.60616636276,13698.036664962769,22065.94921875,,,,,,,,
low,6,49.0,48082.0,200.0,1987.0,100.0,3000.0,1.2313382625579834,130496.710501194,991.0154576301575,131490.67032814026,13005.57548236847,21017.828125,,,,,,,,
low,7,53.0,49149.0,200.0,1978.0,100.0,3000.0,1.8180465698242188,148002.28575778008,1361.9693775177002,149368.408765316,13442.474294662476,21668.58203125,,,,,,,,
low,8,61.0,49974.0,200.0,1987.0,100.0,3000.0,1.303910732269287,150001.08481812477,1058.8993029594421,151063.03157758713,13955.957089424133,22477.01953125,,,,,,,,
low,9,61.0,49294.0,200.0,1983.0,100.0,3000.0,1.2820448875427246,142909.52135968208,1026.4311082363129,143938.9107952118,13700.578478813171,22128.8984375,,,,,,,,
low,10,58.0,48929.0,200.0,1982.0,100.0,3000.0,1.2675776481628418,145366.24874043465,1000.7984273433685,146370.0195710659,13530.962997436523,21869.921875,,,,,,,,
low,11,23.0,15759.0,200.0,1645.0,100.0,3000.0,0.41060709953308105,24481.067205905914,165.54400181770325,24647.515150547028,2427.1123418807983,4064.73046875,,,,,,,,
low,merge,,,,,,,,,,,,,,43.253408511169255,41.17820463515818,0.25715162884444,1457528.805676803,441.24609375,22788.93359375,223967.8125
