hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,OPEN,1,0,1,0,573,1338,500000.0
H002,CLOSED,0,1,1,0,0,0,0.0
H003,OPEN,1,0,1,0,345,468,500000.0
H004,CLOSED,0,1,1,0,0,0,0.0
H005,CLOSED,0,1,0,0,0,0,0.0
H006,CLOSED,0,1,0,0,0,0,0.0
H007,CLOSED,0,1,0,0,0,0,0.0
H008,CLOSED,0,1,1,0,0,0,0.0
H009,OPEN,1,0,1,0,307,519,500000.0
H010,CLOSED,0,1,1,0,0,0,0.0
H011,CLOSED,0,1,1,0,0,0,0.0
H012,CLOSED,0,1,1,0,0,0,0.0
H013,OPEN,1,0,1,0,286,354,500000.0
H014,CLOSED,0,1,1,0,0,0,0.0
H015,CLOSED,0,1,1,0,0,0,0.0
H016,CLOSED,0,1,0,0,0,0,0.0
H017,CLOSED,0,1,1,0,0,0,0.0
H018,CLOSED,0,1,1,0,0,0,0.0
H019,CLOSED,0,1,0,0,0,0,0.0
H020,CLOSED,0,1,1,0,0,0,0.0
H021,OPEN,1,0,0,1,378,530,500000.0
H022,CLOSED,0,1,1,0,0,0,0.0
H023,CLOSED,0,1,1,0,0,0,0.0
H024,CLOSED,0,1,1,0,0,0,0.0
H025,OPEN,1,0,1,0,277,351,500000.0
H026,CLOSED,0,1,0,0,0,0,0.0
H027,OPEN,1,0,0,1,402,594,500000.0
H028,OPEN,1,0,1,0,425,643,500000.0
H029,CLOSED,0,1,0,0,0,0,0.0
H030,OPEN,1,0,0,1,107,114,500000.0
H031,CLOSED,0,1,1,0,0,0,0.0
H032,OPEN,1,0,0,1,393,804,500000.0
H033,CLOSED,0,1,1,0,0,0,0.0
H034,CLOSED,0,1,1,0,0,0,0.0
H035,CLOSED,0,1,1,0,0,0,0.0
H036,OPEN,1,0,0,1,224,303,500000.0
H037,OPEN,1,0,1,0,344,663,500000.0
H038,CLOSED,0,1,1,0,0,0,0.0
H039,CLOSED,0,1,1,0,0,0,0.0
H040,CLOSED,0,1,0,0,0,0,0.0
H041,OPEN,1,0,1,0,337,493,500000.0
H042,CLOSED,0,1,1,0,0,0,0.0
H043,CLOSED,0,1,0,0,0,0,0.0
H044,CLOSED,0,1,1,0,0,0,0.0
H045,OPEN,1,0,1,0,239,299,500000.0
H046,CLOSED,0,1,0,0,0,0,0.0
H047,OPEN,1,0,1,0,240,296,500000.0
H048,CLOSED,0,1,0,0,0,0,0.0
H049,CLOSED,0,1,1,0,0,0,0.0
H050,CLOSED,0,1,1,0,0,0,0.0
H051,CLOSED,0,1,1,0,0,0,0.0
H052,CLOSED,0,1,1,0,0,0,0.0
H053,CLOSED,0,1,1,0,0,0,0.0
H054,CLOSED,0,1,1,0,0,0,0.0
H055,OPEN,1,0,1,0,722,3142,500000.0
H056,OPEN,1,0,1,0,528,1254,500000.0
H057,CLOSED,0,1,1,0,0,0,0.0
H058,CLOSED,0,1,1,0,0,0,0.0
H059,CLOSED,0,1,1,0,0,0,0.0
H060,OPEN,1,0,0,1,223,330,500000.0
H061,CLOSED,0,1,0,0,0,0,0.0
H062,OPEN,1,0,1,0,599,1453,500000.0
H063,CLOSED,0,1,0,0,0,0,0.0
