hub_id,part_id,part_cost_P_k,hub_existing_T_j,new_hub_transfer_cost
H001,P0001,213.93,1,0.0
H001,P0002,86.62,1,0.0
H001,P0003,96.66,1,0.0
H001,P0004,477.24,1,0.0
H001,P0006,15.96,1,0.0
H001,P0009,97.21,1,0.0
H001,P0010,24.5,1,0.0
H001,P0011,105.87,1,0.0
H001,P0014,51.4,1,0.0
H001,P0016,224.46,1,0.0
H001,P0017,36.48,1,0.0
H001,P0019,888.08,1,0.0
H001,P0020,163.43,1,0.0
H001,P0022,123.2,1,0.0
H001,P0023,243.56,1,0.0
H001,P0024,29.49,1,0.0
H001,P0026,98.52,1,0.0
H001,P0027,738.55,1,0.0
H001,P0028,119.69,1,0.0
H001,P0029,628.13,1,0.0
H001,P0030,51.85,1,0.0
H001,P0031,237.5,1,0.0
H001,P0034,164.24,1,0.0
H001,P0037,30.54,1,0.0
H001,P0038,137.8,1,0.0
H001,P0039,62.14,1,0.0
H001,P0040,102.88,1,0.0
H001,P0042,30.16,1,0.0
H001,P0043,32.71,1,0.0
H001,P0044,216.05,1,0.0
H001,P0045,87.46,1,0.0
H001,P0046,13.92,1,0.0
H001,P0047,283.72,1,0.0
H001,P0049,73.64,1,0.0
H001,P0052,191.72,1,0.0
H001,P0053,1195.1,1,0.0
H001,P0054,204.35,1,0.0
H001,P0057,292.0,1,0.0
H001,P0058,245.73,1,0.0
H001,P0059,431.9,1,0.0
H001,P0060,87.57,1,0.0
H001,P0062,90.96,1,0.0
H001,P0064,539.25,1,0.0
H001,P0065,92.64,1,0.0
H001,P0068,112.22,1,0.0
H001,P0069,329.8,1,0.0
H001,P0070,18.45,1,0.0
H001,P0071,66.53,1,0.0
H001,P0072,69.23,1,0.0
H001,P0074,58.81,1,0.0
H001,P0076,116.82,1,0.0
H001,P0079,55.36,1,0.0
H001,P0080,133.0,1,0.0
H001,P0081,359.93,1,0.0
H001,P0082,58.16,1,0.0
H001,P0084,231.44,1,0.0
H001,P0085,114.69,1,0.0
H001,P0086,250.73,1,0.0
H001,P0087,138.29,1,0.0
H001,P0088,263.26,1,0.0
H001,P0089,55.15,1,0.0
H001,P0090,138.49,1,0.0
H001,P0091,115.82,1,0.0
H001,P0095,102.08,1,0.0
H001,P0096,55.79,1,0.0
H001,P0099,17.97,1,0.0
H001,P0101,61.01,1,0.0
H001,P0103,180.54,1,0.0
H001,P0104,279.28,1,0.0
H001,P0105,50.17,1,0.0
H001,P0107,209.49,1,0.0
H001,P0108,147.54,1,0.0
H001,P0109,229.41,1,0.0
H001,P0111,179.82,1,0.0
H001,P0112,161.41,1,0.0
H001,P0114,289.44,1,0.0
H001,P0115,32.58,1,0.0
H001,P0116,18.52,1,0.0
H001,P0117,344.89,1,0.0
H001,P0119,55.87,1,0.0
H001,P0120,26.25,1,0.0
H001,P0122,323.56,1,0.0
H001,P0123,705.9,1,0.0
H001,P0124,222.81,1,0.0
H001,P0126,62.67,1,0.0
H001,P0127,141.45,1,0.0
H001,P0129,56.15,1,0.0
H001,P0131,698.05,1,0.0
H001,P0134,302.22,1,0.0
H001,P0135,248.96,1,0.0
H001,P0136,208.5,1,0.0
H001,P0137,431.1,1,0.0
H001,P0138,248.01,1,0.0
H001,P0140,248.35,1,0.0
H001,P0141,190.25,1,0.0
H001,P0142,28.12,1,0.0
H001,P0145,44.25,1,0.0
H001,P0146,636.05,1,0.0
H001,P0147,663.64,1,0.0
H001,P0148,475.77,1,0.0
H001,P0150,472.11,1,0.0
H001,P0151,141.53,1,0.0
H001,P0152,168.03,1,0.0
H001,P0153,52.33,1,0.0
H001,P0155,147.82,1,0.0
H001,P0156,43.35,1,0.0
H001,P0157,133.7,1,0.0
H001,P0158,130.31,1,0.0
H001,P0160,313.07,1,0.0
H001,P0161,141.45,1,0.0
H001,P0162,175.13,1,0.0
H001,P0163,145.68,1,0.0
H001,P0164,116.63,1,0.0
H001,P0165,52.85,1,0.0
H001,P0166,122.2,1,0.0
H001,P0167,71.53,1,0.0
H001,P0168,45.44,1,0.0
H001,P0169,221.79,1,0.0
H001,P0170,199.09,1,0.0
H001,P0171,28.04,1,0.0
H001,P0172,125.36,1,0.0
H001,P0173,343.01,1,0.0
H001,P0174,363.2,1,0.0
H001,P0175,352.45,1,0.0
H001,P0176,144.99,1,0.0
H001,P0178,52.79,1,0.0
H001,P0179,190.91,1,0.0
H001,P0180,196.96,1,0.0
H001,P0181,445.96,1,0.0
H001,P0182,376.77,1,0.0
H001,P0183,124.29,1,0.0
H001,P0184,45.69,1,0.0
H001,P0186,170.23,1,0.0
H001,P0187,116.72,1,0.0
H001,P0188,83.22,1,0.0
H001,P0190,88.95,1,0.0
H001,P0192,185.3,1,0.0
H001,P0193,97.5,1,0.0
H001,P0194,174.4,1,0.0
H001,P0195,179.03,1,0.0
H001,P0196,50.21,1,0.0
H001,P0197,90.79,1,0.0
H001,P0198,510.63,1,0.0
H001,P0199,49.19,1,0.0
H001,P0200,20.84,1,0.0
H001,P0202,143.72,1,0.0
H001,P0203,143.95,1,0.0
H001,P0204,125.94,1,0.0
H001,P0205,417.55,1,0.0
H001,P0206,12.63,1,0.0
H001,P0209,50.74,1,0.0
H001,P0210,99.47,1,0.0
H001,P0211,71.1,1,0.0
H001,P0212,62.6,1,0.0
H001,P0213,104.38,1,0.0
H001,P0214,505.92,1,0.0
H001,P0216,103.47,1,0.0
H001,P0217,777.59,1,0.0
H001,P0218,144.56,1,0.0
H001,P0219,678.55,1,0.0
H001,P0220,128.72,1,0.0
H001,P0221,157.53,1,0.0
H001,P0222,194.53,1,0.0
H001,P0224,301.21,1,0.0
H001,P0225,74.08,1,0.0
H001,P0226,334.87,1,0.0
H001,P0227,101.09,1,0.0
H001,P0228,90.1,1,0.0
H001,P0229,317.15,1,0.0
H001,P0230,143.97,1,0.0
H001,P0231,179.89,1,0.0
H001,P0232,141.77,1,0.0
H001,P0233,189.53,1,0.0
H001,P0235,24.49,1,0.0
H001,P0236,255.08,1,0.0
H001,P0238,38.23,1,0.0
H001,P0239,132.83,1,0.0
H001,P0240,150.99,1,0.0
H001,P0242,295.77,1,0.0
H001,P0248,56.52,1,0.0
H001,P0249,268.67,1,0.0
H001,P0252,24.02,1,0.0
H001,P0253,138.46,1,0.0
H001,P0254,114.75,1,0.0
H001,P0255,127.56,1,0.0
H001,P0256,136.52,1,0.0
H001,P0258,328.5,1,0.0
H001,P0259,51.5,1,0.0
H001,P0260,48.76,1,0.0
H001,P0262,181.57,1,0.0
H001,P0263,429.27,1,0.0
H001,P0264,94.96,1,0.0
H001,P0265,14.73,1,0.0
H001,P0266,30.21,1,0.0
H001,P0267,66.15,1,0.0
H001,P0268,84.75,1,0.0
H001,P0269,96.94,1,0.0
H001,P0271,105.75,1,0.0
H001,P0272,359.98,1,0.0
H001,P0275,215.43,1,0.0
H001,P0277,198.81,1,0.0
H001,P0278,153.54,1,0.0
H001,P0279,122.6,1,0.0
H001,P0280,584.7,1,0.0
H001,P0282,894.18,1,0.0
H001,P0283,114.29,1,0.0
H001,P0284,44.36,1,0.0
H001,P0285,149.09,1,0.0
H001,P0287,71.17,1,0.0
H001,P0289,230.83,1,0.0
H001,P0290,79.97,1,0.0
H001,P0291,340.46,1,0.0
H001,P0292,396.79,1,0.0
H001,P0293,509.95,1,0.0
H001,P0296,25.76,1,0.0
H001,P0297,105.16,1,0.0
H001,P0299,155.86,1,0.0
H001,P0300,83.71,1,0.0
H001,P0302,761.74,1,0.0
H001,P0304,203.17,1,0.0
H001,P0305,113.59,1,0.0
H001,P0308,209.59,1,0.0
H001,P0309,399.58,1,0.0
H001,P0311,184.99,1,0.0
H001,P0312,237.99,1,0.0
H001,P0314,129.35,1,0.0
H001,P0316,305.21,1,0.0
H001,P0319,217.75,1,0.0
H001,P0320,412.37,1,0.0
H001,P0323,189.41,1,0.0
H001,P0324,10.02,1,0.0
H001,P0325,197.6,1,0.0
H001,P0328,210.24,1,0.0
H001,P0329,215.17,1,0.0
H001,P0330,49.18,1,0.0
H001,P0332,480.65,1,0.0
H001,P0334,1053.92,1,0.0
H001,P0335,139.76,1,0.0
H001,P0338,157.52,1,0.0
H001,P0339,56.8,1,0.0
H001,P0341,135.58,1,0.0
H001,P0342,40.99,1,0.0
H001,P0344,71.78,1,0.0
H001,P0346,144.43,1,0.0
H001,P0347,108.54,1,0.0
H001,P0348,127.24,1,0.0
H001,P0350,243.9,1,0.0
H001,P0351,56.93,1,0.0
H001,P0352,54.83,1,0.0
H001,P0353,378.36,1,0.0
H001,P0354,96.6,1,0.0
H001,P0355,39.11,1,0.0
H001,P0356,208.74,1,0.0
H001,P0357,212.44,1,0.0
H001,P0358,35.3,1,0.0
H001,P0361,196.09,1,0.0
H001,P0362,247.26,1,0.0
H001,P0363,39.56,1,0.0
H001,P0364,188.59,1,0.0
H001,P0365,106.62,1,0.0
H001,P0366,90.66,1,0.0
H001,P0367,306.48,1,0.0
H001,P0368,530.06,1,0.0
H001,P0370,457.13,1,0.0
H001,P0371,126.83,1,0.0
H001,P0372,192.31,1,0.0
H001,P0373,279.16,1,0.0
H001,P0374,156.13,1,0.0
H001,P0375,157.48,1,0.0
H001,P0376,293.84,1,0.0
H001,P0377,132.73,1,0.0
H001,P0378,72.62,1,0.0
H001,P0380,247.69,1,0.0
H001,P0381,140.38,1,0.0
H001,P0383,255.88,1,0.0
H001,P0385,276.52,1,0.0
H001,P0386,196.88,1,0.0
H001,P0388,512.71,1,0.0
H001,P0390,31.57,1,0.0
H001,P0395,103.39,1,0.0
H001,P0398,186.06,1,0.0
H001,P0399,202.45,1,0.0
H001,P0400,243.76,1,0.0
H001,P0401,21.0,1,0.0
H001,P0403,19.68,1,0.0
H001,P0404,144.62,1,0.0
H001,P0405,139.42,1,0.0
H001,P0407,407.69,1,0.0
H001,P0408,168.03,1,0.0
H001,P0409,89.24,1,0.0
H001,P0411,87.05,1,0.0
H001,P0413,340.07,1,0.0
H001,P0415,289.09,1,0.0
H001,P0419,262.53,1,0.0
H001,P0421,70.5,1,0.0
H001,P0422,64.61,1,0.0
H001,P0423,86.29,1,0.0
H001,P0424,228.14,1,0.0
H001,P0425,59.24,1,0.0
H001,P0426,207.56,1,0.0
H001,P0427,45.79,1,0.0
H001,P0428,116.51,1,0.0
H001,P0429,154.52,1,0.0
H001,P0430,1264.28,1,0.0
H001,P0431,40.53,1,0.0
H001,P0432,526.61,1,0.0
H001,P0433,160.21,1,0.0
H001,P0434,202.69,1,0.0
H001,P0436,208.91,1,0.0
H001,P0439,92.83,1,0.0
H001,P0440,387.86,1,0.0
H001,P0441,78.39,1,0.0
H001,P0442,132.61,1,0.0
H001,P0443,53.35,1,0.0
H001,P0444,210.85,1,0.0
H001,P0445,514.02,1,0.0
H001,P0447,117.27,1,0.0
H001,P0448,51.34,1,0.0
H001,P0451,61.56,1,0.0
H001,P0452,171.7,1,0.0
H001,P0454,1754.49,1,0.0
H001,P0456,509.49,1,0.0
H001,P0457,174.34,1,0.0
H001,P0458,122.18,1,0.0
H001,P0459,206.64,1,0.0
H001,P0461,154.62,1,0.0
H001,P0462,96.94,1,0.0
H001,P0463,39.78,1,0.0
H001,P0464,34.9,1,0.0
H001,P0465,252.03,1,0.0
H001,P0466,109.14,1,0.0
H001,P0467,81.87,1,0.0
H001,P0468,141.08,1,0.0
H001,P0469,286.31,1,0.0
H001,P0470,164.67,1,0.0
H001,P0472,422.13,1,0.0
H001,P0473,579.93,1,0.0
H001,P0474,218.49,1,0.0
H001,P0475,336.28,1,0.0
H001,P0476,428.12,1,0.0
H001,P0477,387.12,1,0.0
H001,P0478,243.31,1,0.0
H001,P0479,239.88,1,0.0
H001,P0480,223.48,1,0.0
H001,P0481,52.15,1,0.0
H001,P0483,41.32,1,0.0
H001,P0484,68.48,1,0.0
H001,P0485,452.53,1,0.0
H001,P0486,298.22,1,0.0
H001,P0489,49.63,1,0.0
H001,P0492,150.31,1,0.0
H001,P0493,388.37,1,0.0
H001,P0495,192.19,1,0.0
H001,P0496,57.51,1,0.0
H001,P0497,209.96,1,0.0
H001,P0498,140.39,1,0.0
H001,P0500,113.23,1,0.0
H001,P0502,109.78,1,0.0
H001,P0503,689.42,1,0.0
H001,P0504,128.13,1,0.0
H001,P0505,112.41,1,0.0
H001,P0506,21.2,1,0.0
H001,P0507,62.61,1,0.0
H001,P0508,110.48,1,0.0
H001,P0509,75.52,1,0.0
H001,P0510,485.5,1,0.0
H001,P0511,120.69,1,0.0
H001,P0513,147.99,1,0.0
H001,P0514,144.77,1,0.0
H001,P0516,140.48,1,0.0
H001,P0517,657.57,1,0.0
H001,P0519,23.11,1,0.0
H001,P0520,85.87,1,0.0
H001,P0522,260.53,1,0.0
H001,P0523,214.31,1,0.0
H001,P0525,350.3,1,0.0
H001,P0526,353.83,1,0.0
H001,P0527,165.22,1,0.0
H001,P0528,332.96,1,0.0
H001,P0530,84.46,1,0.0
H001,P0531,262.35,1,0.0
H001,P0532,154.65,1,0.0
H001,P0533,140.17,1,0.0
H001,P0534,527.05,1,0.0
H001,P0535,15.42,1,0.0
H001,P0536,39.08,1,0.0
H001,P0537,48.1,1,0.0
H001,P0538,100.96,1,0.0
H001,P0539,111.33,1,0.0
H001,P0540,36.06,1,0.0
H001,P0541,57.69,1,0.0
H001,P0542,64.51,1,0.0
H001,P0543,1278.35,1,0.0
H001,P0544,708.54,1,0.0
H001,P0548,25.14,1,0.0
H001,P0549,126.02,1,0.0
H001,P0550,57.03,1,0.0
H001,P0551,129.71,1,0.0
H001,P0552,33.16,1,0.0
H001,P0553,70.52,1,0.0
H001,P0554,160.04,1,0.0
H001,P0556,203.85,1,0.0
H001,P0557,42.66,1,0.0
H001,P0560,247.45,1,0.0
H001,P0561,138.67,1,0.0
H001,P0562,40.56,1,0.0
H001,P0563,105.33,1,0.0
H001,P0564,194.51,1,0.0
H001,P0565,243.06,1,0.0
H001,P0567,555.71,1,0.0
H001,P0568,346.68,1,0.0
H001,P0569,111.12,1,0.0
H001,P0571,797.96,1,0.0
H001,P0573,46.36,1,0.0
H001,P0574,60.81,1,0.0
H001,P0576,54.01,1,0.0
H001,P0577,42.58,1,0.0
H001,P0578,90.38,1,0.0
H001,P0579,204.35,1,0.0
H001,P0580,127.67,1,0.0
H001,P0581,77.96,1,0.0
H001,P0582,76.31,1,0.0
H001,P0584,63.44,1,0.0
H001,P0585,1091.29,1,0.0
H001,P0586,182.98,1,0.0
H001,P0588,90.15,1,0.0
H001,P0589,118.43,1,0.0
H001,P0590,73.66,1,0.0
H001,P0591,12.87,1,0.0
H001,P0593,27.44,1,0.0
H001,P0594,18.48,1,0.0
H001,P0596,461.32,1,0.0
H001,P0597,134.51,1,0.0
H001,P0599,202.66,1,0.0
H001,P0601,62.23,1,0.0
H001,P0602,224.35,1,0.0
H001,P0603,269.75,1,0.0
H001,P0604,83.32,1,0.0
H001,P0605,231.65,1,0.0
H001,P0607,85.37,1,0.0
H001,P0608,50.97,1,0.0
H001,P0609,48.23,1,0.0
H001,P0610,151.34,1,0.0
H001,P0611,187.91,1,0.0
H001,P0613,143.39,1,0.0
H001,P0614,233.95,1,0.0
H001,P0615,244.21,1,0.0
H001,P0617,441.83,1,0.0
H001,P0620,86.81,1,0.0
H001,P0621,358.54,1,0.0
H001,P0622,148.83,1,0.0
H001,P0623,96.61,1,0.0
H001,P0625,119.97,1,0.0
H001,P0626,34.4,1,0.0
H001,P0627,334.36,1,0.0
H001,P0629,68.34,1,0.0
H001,P0631,72.88,1,0.0
H001,P0632,79.52,1,0.0
H001,P0633,281.09,1,0.0
H001,P0637,344.14,1,0.0
H001,P0638,152.83,1,0.0
H001,P0639,286.53,1,0.0
H001,P0640,93.62,1,0.0
H001,P0641,133.89,1,0.0
H001,P0642,126.18,1,0.0
H001,P0643,65.97,1,0.0
H001,P0644,254.05,1,0.0
H001,P0645,251.36,1,0.0
H001,P0646,238.85,1,0.0
H001,P0650,195.86,1,0.0
H001,P0652,142.97,1,0.0
H001,P0653,81.6,1,0.0
H001,P0655,194.22,1,0.0
H001,P0656,115.06,1,0.0
H001,P0658,19.85,1,0.0
H001,P0660,286.55,1,0.0
H001,P0662,175.4,1,0.0
H001,P0663,42.43,1,0.0
H001,P0664,137.1,1,0.0
H001,P0665,849.63,1,0.0
H001,P0667,163.1,1,0.0
