hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,CLOSED,0,1,1,0,0,0,0.0
H002,OPEN,1,0,1,0,385,602,500000.0
H003,OPEN,1,0,1,0,345,468,500000.0
H004,CLOSED,0,1,1,0,0,0,0.0
H005,CLOSED,0,1,0,0,0,0,0.0
H006,CLOSED,0,1,0,0,0,0,0.0
H007,CLOSED,0,1,0,0,0,0,0.0
H008,OPEN,1,0,1,0,441,831,500000.0
H009,OPEN,1,0,1,0,332,529,500000.0
H010,CLOSED,0,1,1,0,0,0,0.0
H011,CLOSED,0,1,1,0,0,0,0.0
H012,CLOSED,0,1,1,0,0,0,0.0
H013,OPEN,1,0,1,0,286,354,500000.0
H014,CLOSED,0,1,1,0,0,0,0.0
H015,CLOSED,0,1,1,0,0,0,0.0
H016,CLOSED,0,1,0,0,0,0,0.0
H017,CLOSED,0,1,1,0,0,0,0.0
H018,CLOSED,0,1,1,0,0,0,0.0
H019,CLOSED,0,1,0,0,0,0,0.0
H020,CLOSED,0,1,1,0,0,0,0.0
H021,OPEN,1,0,0,1,378,530,500000.0
H022,CLOSED,0,1,1,0,0,0,0.0
H023,OPEN,1,0,1,0,408,1130,500000.0
H024,CLOSED,0,1,1,0,0,0,0.0
H025,OPEN,1,0,1,0,277,351,500000.0
H026,CLOSED,0,1,0,0,0,0,0.0
H027,OPEN,1,0,0,1,402,594,500000.0
H028,OPEN,1,0,1,0,425,643,500000.0
H029,CLOSED,0,1,0,0,0,0,0.0
H030,OPEN,1,0,0,1,107,114,500000.0
H031,CLOSED,0,1,1,0,0,0,0.0
H032,CLOSED,0,1,0,0,0,0,0.0
H033,CLOSED,0,1,1,0,0,0,0.0
H034,CLOSED,0,1,1,0,0,0,0.0
H035,CLOSED,0,1,1,0,0,0,0.0
H036,OPEN,1,0,0,1,176,215,500000.0
H037,OPEN,1,0,1,0,362,642,500000.0
H038,CLOSED,0,1,1,0,0,0,0.0
H039,CLOSED,0,1,1,0,0,0,0.0
H040,CLOSED,0,1,0,0,0,0,0.0
H041,OPEN,1,0,1,0,363,519,500000.0
H042,CLOSED,0,1,1,0,0,0,0.0
H043,CLOSED,0,1,0,0,0,0,0.0
H044,CLOSED,0,1,1,0,0,0,0.0
H045,OPEN,1,0,1,0,174,205,500000.0
H046,CLOSED,0,1,0,0,0,0,0.0
H047,CLOSED,0,1,1,0,0,0,0.0
H048,CLOSED,0,1,0,0,0,0,0.0
H049,CLOSED,0,1,1,0,0,0,0.0
H050,CLOSED,0,1,1,0,0,0,0.0
H051,CLOSED,0,1,1,0,0,0,0.0
H052,CLOSED,0,1,1,0,0,0,0.0
H053,CLOSED,0,1,1,0,0,0,0.0
H054,CLOSED,0,1,1,0,0,0,0.0
H055,CLOSED,0,1,1,0,0,0,0.0
H056,CLOSED,0,1,1,0,0,0,0.0
H057,CLOSED,0,1,1,0,0,0,0.0
H058,CLOSED,0,1,1,0,0,0,0.0
H059,CLOSED,0,1,1,0,0,0,0.0
H060,OPEN,1,0,0,1,323,488,500000.0
H061,CLOSED,0,1,0,0,0,0,0.0
H062,CLOSED,0,1,1,0,0,0,0.0
H063,CLOSED,0,1,0,0,0,0,0.0
H064,OPEN,1,0,1,0,224,300,500000.0
H065,CLOSED,0,1,1,0,0,0,0.0
H066,OPEN,1,0,1,0,570,1230,500000.0
H067,CLOSED,0,1,0,0,0,0,0.0
H068,OPEN,1,0,1,0,341,471,500000.0
H069,CLOSED,0,1,0,0,0,0,0.0
H070,CLOSED,0,1,0,0,0,0,0.0
H071,OPEN,1,0,1,0,196,221,500000.0
H072,CLOSED,0,1,0,0,0,0,0.0
H073,OPEN,1,0,1,0,291,391,500000.0
H074,OPEN,1,0,1,0,349,492,500000.0
H075,OPEN,1,0,1,0,256,335,500000.0
H076,OPEN,1,0,1,0,218,258,500000.0
H077,OPEN,1,0,1,0,184,200,500000.0
H078,CLOSED,0,1,1,0,0,0,0.0
H079,CLOSED,0,1,1,0,0,0,0.0
H080,CLOSED,0,1,1,0,0,0,0.0
H081,CLOSED,0,1,1,0,0,0,0.0
H082,OPEN,1,0,1,0,231,281,500000.0
H083,OPEN,1,0,0,1,208,323,500000.0
H084,CLOSED,0,1,1,0,0,0,0.0
H085,CLOSED,0,1,1,0,0,0,0.0
H086,CLOSED,0,1,1,0,0,0,0.0
H087,CLOSED,0,1,1,0,0,0,0.0
H088,OPEN,1,0,0,1,310,440,500000.0
H089,OPEN,1,0,0,1,432,726,500000.0
H090,OPEN,1,0,0,1,337,460,500000.0
H091,CLOSED,0,1,0,0,0,0,0.0
H092,CLOSED,0,1,1,0,0,0,0.0
H093,OPEN,1,0,1,0,582,1262,500000.0
H094,CLOSED,0,1,1,0,0,0,0.0
H095,CLOSED,0,1,1,0,0,0,0.0
H096,CLOSED,0,1,0,0,0,0,0.0
H097,CLOSED,0,1,1,0,0,0,0.0
H098,CLOSED,0,1,0,0,0,0,0.0
H099,OPEN,1,0,1,0,365,592,500000.0
H100,OPEN,1,0,1,0,500,918,500000.0
H101,CLOSED,0,1,1,0,0,0,0.0
H102,CLOSED,0,1,1,0,0,0,0.0
H103,CLOSED,0,1,1,0,0,0,0.0
H104,CLOSED,0,1,1,0,0,0,0.0
H105,OPEN,1,0,1,0,315,454,500000.0
H106,OPEN,1,0,1,0,139,169,500000.0
H107,OPEN,1,0,0,1,194,241,500000.0
H108,CLOSED,0,1,0,0,0,0,0.0
H109,CLOSED,0,1,1,0,0,0,0.0
H110,CLOSED,0,1,1,0,0,0,0.0
H111,CLOSED,0,1,1,0,0,0,0.0
H112,CLOSED,0,1,0,0,0,0,0.0
H113,CLOSED,0,1,1,0,0,0,0.0
H114,OPEN,1,0,1,0,311,441,500000.0
H115,OPEN,1,0,0,1,270,329,500000.0
H116,CLOSED,0,1,0,0,0,0,0.0
H117,CLOSED,0,1,1,0,0,0,0.0
H118,OPEN,1,0,1,0,219,252,500000.0
H119,CLOSED,0,1,1,0,0,0,0.0
H120,CLOSED,0,1,1,0,0,0,0.0
H121,CLOSED,0,1,0,0,0,0,0.0
H122,CLOSED,0,1,1,0,0,0,0.0
H123,CLOSED,0,1,1,0,0,0,0.0
H124,OPEN,1,0,1,0,236,289,500000.0
H125,OPEN,1,0,1,0,379,968,500000.0
H126,CLOSED,0,1,1,0,0,0,0.0
H127,CLOSED,0,1,1,0,0,0,0.0
H128,CLOSED,0,1,0,0,0,0,0.0
H129,CLOSED,0,1,1,0,0,0,0.0
H130,CLOSED,0,1,1,0,0,0,0.0
H131,OPEN,1,0,1,0,244,302,500000.0
H132,CLOSED,0,1,1,0,0,0,0.0
H133,CLOSED,0,1,1,0,0,0,0.0
H134,OPEN,1,0,1,0,264,306,500000.0
H135,CLOSED,0,1,1,0,0,0,0.0
H136,CLOSED,0,1,0,0,0,0,0.0
H137,CLOSED,0,1,1,0,0,0,0.0
H138,CLOSED,0,1,1,0,0,0,0.0
H139,OPEN,1,0,1,0,279,350,500000.0
H140,CLOSED,0,1,0,0,0,0,0.0
H141,OPEN,1,0,0,1,254,333,500000.0
H142,CLOSED,0,1,0,0,0,0,0.0
H143,CLOSED,0,1,1,0,0,0,0.0
H144,CLOSED,0,1,1,0,0,0,0.0
H145,OPEN,1,0,1,0,558,2041,500000.0
H146,OPEN,1,0,1,0,407,625,500000.0
H147,OPEN,1,0,0,1,382,593,500000.0
H148,OPEN,1,0,0,1,502,898,500000.0
H149,CLOSED,0,1,1,0,0,0,0.0
H150,OPEN,1,0,1,0,349,732,500000.0
H151,CLOSED,0,1,1,0,0,0,0.0
H152,OPEN,1,0,1,0,524,1085,500000.0
H153,CLOSED,0,1,1,0,0,0,0.0
H154,OPEN,1,0,1,0,540,1019,500000.0
H155,CLOSED,0,1,1,0,0,0,0.0
H156,OPEN,1,0,1,0,445,839,500000.0
H157,OPEN,1,0,1,0,255,343,500000.0
H158,CLOSED,0,1,1,0,0,0,0.0
H159,CLOSED,0,1,1,0,0,0,0.0
H160,OPEN,1,0,1,0,336,552,500000.0
H161,CLOSED,0,1,1,0,0,0,0.0
H162,CLOSED,0,1,0,0,0,0,0.0
H163,CLOSED,0,1,1,0,0,0,0.0
H164,CLOSED,0,1,0,0,0,0,0.0
H165,OPEN,1,0,0,1,127,134,500000.0
H166,CLOSED,0,1,1,0,0,0,0.0
H167,OPEN,1,0,0,1,440,678,500000.0
H168,CLOSED,0,1,1,0,0,0,0.0
H169,CLOSED,0,1,1,0,0,0,0.0
H170,CLOSED,0,1,1,0,0,0,0.0
H171,OPEN,1,0,0,1,227,297,500000.0
H172,CLOSED,0,1,1,0,0,0,0.0
H173,CLOSED,0,1,1,0,0,0,0.0
H174,OPEN,1,0,1,0,320,412,500000.0
H175,CLOSED,0,1,0,0,0,0,0.0
H176,OPEN,1,0,1,0,241,289,500000.0
H177,OPEN,1,0,1,0,301,378,500000.0
H178,CLOSED,0,1,1,0,0,0,0.0
H179,CLOSED,0,1,1,0,0,0,0.0
