hub_id,part_id,part_cost_P_k,hub_existing_T_j,new_hub_transfer_cost
H002,P0002,86.62,1,0.0
H002,P0004,477.24,1,0.0
H002,P0007,596.74,1,0.0
H002,P0009,97.21,1,0.0
H002,P0010,24.5,1,0.0
H002,P0011,105.87,1,0.0
H002,P0016,224.46,1,0.0
H002,P0017,36.48,1,0.0
H002,P0018,262.68,1,0.0
H002,P0019,888.08,1,0.0
H002,P0020,163.43,1,0.0
H002,P0025,162.32,1,0.0
H002,P0026,98.52,1,0.0
H002,P0028,119.69,1,0.0
H002,P0033,64.04,1,0.0
H002,P0034,164.24,1,0.0
H002,P0036,104.61,1,0.0
H002,P0040,102.88,1,0.0
H002,P0045,87.46,1,0.0
H002,P0046,13.92,1,0.0
H002,P0047,283.72,1,0.0
H002,P0048,178.89,1,0.0
H002,P0049,73.64,1,0.0
H002,P0050,42.8,1,0.0
H002,P0051,297.04,1,0.0
H002,P0052,191.72,1,0.0
H002,P0053,1195.1,1,0.0
H002,P0054,204.35,1,0.0
H002,P0056,120.47,1,0.0
H002,P0059,431.9,1,0.0
H002,P0061,94.61,1,0.0
H002,P0068,112.22,1,0.0
H002,P0069,329.8,1,0.0
H002,P0070,18.45,1,0.0
H002,P0072,69.23,1,0.0
H002,P0077,381.2,1,0.0
H002,P0079,55.36,1,0.0
H002,P0080,133.0,1,0.0
H002,P0082,58.16,1,0.0
H002,P0084,231.44,1,0.0
H002,P0087,138.29,1,0.0
H002,P0088,263.26,1,0.0
H002,P0090,138.49,1,0.0
H002,P0093,34.28,1,0.0
H002,P0101,61.01,1,0.0
H002,P0103,180.54,1,0.0
H002,P0105,50.17,1,0.0
H002,P0106,51.11,1,0.0
H002,P0109,229.41,1,0.0
H002,P0112,161.41,1,0.0
H002,P0113,281.92,1,0.0
H002,P0116,18.52,1,0.0
H002,P0119,55.87,1,0.0
H002,P0121,153.05,1,0.0
H002,P0123,705.9,1,0.0
H002,P0126,62.67,1,0.0
H002,P0127,141.45,1,0.0
H002,P0129,56.15,1,0.0
H002,P0131,698.05,1,0.0
H002,P0137,431.1,1,0.0
H002,P0138,248.01,1,0.0
H002,P0141,190.25,1,0.0
H002,P0142,28.12,1,0.0
H002,P0146,636.05,1,0.0
H002,P0152,168.03,1,0.0
H002,P0153,52.33,1,0.0
H002,P0154,200.12,1,0.0
H002,P0158,130.31,1,0.0
H002,P0161,141.45,1,0.0
H002,P0163,145.68,1,0.0
H002,P0164,116.63,1,0.0
H002,P0165,52.85,1,0.0
H002,P0166,122.2,1,0.0
H002,P0167,71.53,1,0.0
H002,P0168,45.44,1,0.0
H002,P0170,199.09,1,0.0
H002,P0173,343.01,1,0.0
H002,P0175,352.45,1,0.0
H002,P0176,144.99,1,0.0
H002,P0178,52.79,1,0.0
H002,P0179,190.91,1,0.0
H002,P0182,376.77,1,0.0
H002,P0183,124.29,1,0.0
H002,P0184,45.69,1,0.0
H002,P0186,170.23,1,0.0
H002,P0187,116.72,1,0.0
H002,P0188,83.22,1,0.0
H002,P0190,88.95,1,0.0
H002,P0192,185.3,1,0.0
H002,P0193,97.5,1,0.0
H002,P0194,174.4,1,0.0
H002,P0195,179.03,1,0.0
H002,P0196,50.21,1,0.0
H002,P0199,49.19,1,0.0
H002,P0200,20.84,1,0.0
H002,P0202,143.72,1,0.0
H002,P0203,143.95,1,0.0
H002,P0204,125.94,1,0.0
H002,P0205,417.55,1,0.0
H002,P0206,12.63,1,0.0
H002,P0209,50.74,1,0.0
H002,P0210,99.47,1,0.0
H002,P0213,104.38,1,0.0
H002,P0216,103.47,1,0.0
H002,P0219,678.55,1,0.0
H002,P0220,128.72,1,0.0
H002,P0224,301.21,1,0.0
H002,P0225,74.08,1,0.0
H002,P0226,334.87,1,0.0
H002,P0227,101.09,1,0.0
H002,P0232,141.77,1,0.0
H002,P0236,255.08,1,0.0
H002,P0238,38.23,1,0.0
H002,P0239,132.83,1,0.0
H002,P0241,75.0,1,0.0
H002,P0255,127.56,1,0.0
H002,P0256,136.52,1,0.0
H002,P0258,328.5,1,0.0
H002,P0259,51.5,1,0.0
H002,P0262,181.57,1,0.0
H002,P0264,94.96,1,0.0
H002,P0266,30.21,1,0.0
H002,P0267,66.15,1,0.0
H002,P0269,96.94,1,0.0
H002,P0272,359.98,1,0.0
H002,P0273,76.19,1,0.0
H002,P0274,64.43,1,0.0
H002,P0275,215.43,1,0.0
H002,P0276,35.15,1,0.0
H002,P0283,114.29,1,0.0
H002,P0286,53.14,1,0.0
H002,P0288,200.13,1,0.0
H002,P0289,230.83,1,0.0
H002,P0290,79.97,1,0.0
H002,P0294,225.45,1,0.0
H002,P0296,25.76,1,0.0
H002,P0297,105.16,1,0.0
H002,P0301,120.55,1,0.0
H002,P0302,761.74,1,0.0
H002,P0304,203.17,1,0.0
H002,P0305,113.59,1,0.0
H002,P0312,237.99,1,0.0
H002,P0314,129.35,1,0.0
H002,P0317,169.37,1,0.0
H002,P0318,310.88,1,0.0
H002,P0322,101.65,1,0.0
H002,P0323,189.41,1,0.0
H002,P0325,197.6,1,0.0
H002,P0328,210.24,1,0.0
H002,P0329,215.17,1,0.0
H002,P0330,49.18,1,0.0
H002,P0331,73.76,1,0.0
H002,P0333,90.56,1,0.0
H002,P0335,139.76,1,0.0
H002,P0339,56.8,1,0.0
H002,P0340,126.84,1,0.0
H002,P0343,111.21,1,0.0
H002,P0344,71.78,1,0.0
H002,P0346,144.43,1,0.0
H002,P0347,108.54,1,0.0
H002,P0350,243.9,1,0.0
H002,P0351,56.93,1,0.0
H002,P0352,54.83,1,0.0
H002,P0353,378.36,1,0.0
H002,P0354,96.6,1,0.0
H002,P0355,39.11,1,0.0
H002,P0357,212.44,1,0.0
H002,P0360,271.42,1,0.0
H002,P0363,39.56,1,0.0
H002,P0364,188.59,1,0.0
H002,P0367,306.48,1,0.0
H002,P0369,703.86,1,0.0
H002,P0371,126.83,1,0.0
H002,P0372,192.31,1,0.0
H002,P0376,293.84,1,0.0
H002,P0377,132.73,1,0.0
H002,P0378,72.62,1,0.0
H002,P0383,255.88,1,0.0
H002,P0385,276.52,1,0.0
H002,P0386,196.88,1,0.0
H002,P0388,512.71,1,0.0
H002,P0391,54.66,1,0.0
H002,P0398,186.06,1,0.0
H002,P0401,21.0,1,0.0
H002,P0405,139.42,1,0.0
H002,P0406,358.75,1,0.0
H002,P0407,407.69,1,0.0
H002,P0408,168.03,1,0.0
H002,P0409,89.24,1,0.0
H002,P0411,87.05,1,0.0
H002,P0414,84.75,1,0.0
H002,P0415,289.09,1,0.0
H002,P0416,257.57,1,0.0
H002,P0419,262.53,1,0.0
H002,P0421,70.5,1,0.0
H002,P0425,59.24,1,0.0
H002,P0426,207.56,1,0.0
H002,P0428,116.51,1,0.0
H002,P0429,154.52,1,0.0
H002,P0430,1264.28,1,0.0
H002,P0432,526.61,1,0.0
H002,P0437,121.92,1,0.0
H002,P0442,132.61,1,0.0
H002,P0443,53.35,1,0.0
H002,P0444,210.85,1,0.0
H002,P0445,514.02,1,0.0
H002,P0448,51.34,1,0.0
H002,P0449,113.9,1,0.0
H002,P0450,33.39,1,0.0
H002,P0451,61.56,1,0.0
H002,P0452,171.7,1,0.0
H002,P0458,122.18,1,0.0
H002,P0459,206.64,1,0.0
H002,P0461,154.62,1,0.0
H002,P0463,39.78,1,0.0
H002,P0464,34.9,1,0.0
H002,P0466,109.14,1,0.0
H002,P0467,81.87,1,0.0
H002,P0468,141.08,1,0.0
H002,P0470,164.67,1,0.0
H002,P0471,77.57,1,0.0
H002,P0474,218.49,1,0.0
H002,P0476,428.12,1,0.0
H002,P0477,387.12,1,0.0
H002,P0480,223.48,1,0.0
H002,P0481,52.15,1,0.0
H002,P0484,68.48,1,0.0
H002,P0487,533.95,1,0.0
H002,P0489,49.63,1,0.0
H002,P0490,112.76,1,0.0
H002,P0492,150.31,1,0.0
H002,P0493,388.37,1,0.0
H002,P0495,192.19,1,0.0
H002,P0498,140.39,1,0.0
H002,P0500,113.23,1,0.0
H002,P0503,689.42,1,0.0
H002,P0504,128.13,1,0.0
H002,P0506,21.2,1,0.0
H002,P0509,75.52,1,0.0
H002,P0510,485.5,1,0.0
H002,P0511,120.69,1,0.0
H002,P0513,147.99,1,0.0
H002,P0514,144.77,1,0.0
H002,P0517,657.57,1,0.0
H002,P0518,17.36,1,0.0
H002,P0523,214.31,1,0.0
H002,P0524,99.07,1,0.0
H002,P0529,178.94,1,0.0
H002,P0531,262.35,1,0.0
H002,P0532,154.65,1,0.0
H002,P0533,140.17,1,0.0
H002,P0534,527.05,1,0.0
H002,P0535,15.42,1,0.0
H002,P0537,48.1,1,0.0
H002,P0538,100.96,1,0.0
H002,P0539,111.33,1,0.0
H002,P0541,57.69,1,0.0
H002,P0543,1278.35,1,0.0
H002,P0544,708.54,1,0.0
H002,P0546,100.93,1,0.0
H002,P0549,126.02,1,0.0
H002,P0552,33.16,1,0.0
H002,P0553,70.52,1,0.0
H002,P0555,194.66,1,0.0
H002,P0556,203.85,1,0.0
H002,P0557,42.66,1,0.0
H002,P0559,68.13,1,0.0
H002,P0563,105.33,1,0.0
H002,P0564,194.51,1,0.0
H002,P0568,346.68,1,0.0
H002,P0569,111.12,1,0.0
H002,P0570,274.99,1,0.0
H002,P0571,797.96,1,0.0
H002,P0572,817.36,1,0.0
H002,P0573,46.36,1,0.0
H002,P0574,60.81,1,0.0
H002,P0575,532.76,1,0.0
H002,P0576,54.01,1,0.0
H002,P0577,42.58,1,0.0
H002,P0578,90.38,1,0.0
H002,P0580,127.67,1,0.0
H002,P0582,76.31,1,0.0
H002,P0584,63.44,1,0.0
H002,P0585,1091.29,1,0.0
H002,P0586,182.98,1,0.0
H002,P0588,90.15,1,0.0
H002,P0594,18.48,1,0.0
H002,P0597,134.51,1,0.0
H002,P0599,202.66,1,0.0
H002,P0601,62.23,1,0.0
H002,P0603,269.75,1,0.0
H002,P0605,231.65,1,0.0
H002,P0608,50.97,1,0.0
H002,P0609,48.23,1,0.0
H002,P0613,143.39,1,0.0
H002,P0615,244.21,1,0.0
H002,P0618,56.85,1,0.0
H002,P0619,637.06,1,0.0
H002,P0620,86.81,1,0.0
H002,P0621,358.54,1,0.0
H002,P0623,96.61,1,0.0
H002,P0625,119.97,1,0.0
H002,P0626,34.4,1,0.0
H002,P0628,548.26,1,0.0
H002,P0629,68.34,1,0.0
H002,P0630,183.72,1,0.0
H002,P0631,72.88,1,0.0
H002,P0634,135.23,1,0.0
H002,P0635,670.03,1,0.0
H002,P0636,90.71,1,0.0
H002,P0637,344.14,1,0.0
H002,P0641,133.89,1,0.0
H002,P0644,254.05,1,0.0
H002,P0645,251.36,1,0.0
H002,P0652,142.97,1,0.0
H002,P0655,194.22,1,0.0
H002,P0656,115.06,1,0.0
H002,P0662,175.4,1,0.0
H002,P0665,849.63,1,0.0
H002,P0669,98.15,1,0.0
H002,P0670,20.6,1,0.0
H002,P0672,299.64,1,0.0
H002,P0674,77.2,1,0.0
H002,P0675,49.4,1,0.0
H002,P0676,58.72,1,0.0
H002,P0685,11.49,1,0.0
H002,P0686,102.4,1,0.0
H002,P0688,288.81,1,0.0
H002,P0690,201.38,1,0.0
H002,P0692,730.88,1,0.0
H002,P0694,196.39,1,0.0
H002,P0696,408.71,1,0.0
H002,P0702,334.41,1,0.0
H002,P0703,182.23,1,0.0
H002,P0705,125.24,1,0.0
H002,P0706,273.0,1,0.0
H002,P0709,308.13,1,0.0
H002,P0710,178.52,1,0.0
H002,P0712,746.34,1,0.0
H002,P0714,253.09,1,0.0
H002,P0718,205.75,1,0.0
H002,P0720,87.15,1,0.0
H002,P0721,55.28,1,0.0
H002,P0723,187.88,1,0.0
H002,P0725,319.25,1,0.0
H002,P0727,111.5,1,0.0
H002,P0728,232.22,1,0.0
H002,P0730,192.29,1,0.0
H002,P0732,212.98,1,0.0
H002,P0733,99.79,1,0.0
H002,P0734,88.7,1,0.0
H002,P0735,96.77,1,0.0
H002,P0737,99.65,1,0.0
H002,P0741,99.48,1,0.0
H002,P0744,462.85,1,0.0
H002,P0748,295.26,1,0.0
H002,P0753,230.93,1,0.0
H002,P0754,164.22,1,0.0
H002,P0755,181.95,1,0.0
H002,P0756,527.36,1,0.0
H002,P0758,10.6,1,0.0
H002,P0760,120.72,1,0.0
H002,P0762,152.38,1,0.0
H002,P0764,52.65,1,0.0
H002,P0765,189.5,1,0.0
H002,P0769,85.91,1,0.0
H002,P0770,212.22,1,0.0
H002,P0773,240.82,1,0.0
H002,P0774,118.79,1,0.0
H002,P0775,235.01,1,0.0
H002,P0776,39.36,1,0.0
H002,P0777,405.82,1,0.0
H002,P0778,104.59,1,0.0
H002,P0779,116.51,1,0.0
H002,P0783,176.26,1,0.0
H002,P0784,251.69,1,0.0
H002,P0785,138.9,1,0.0
H002,P0788,1041.48,1,0.0
H002,P0790,435.5,1,0.0
H002,P0791,479.51,1,0.0
H002,P0793,1041.05,1,0.0
H002,P0794,342.95,1,0.0
H002,P0795,335.52,1,0.0
H002,P0797,115.14,1,0.0
H002,P0800,494.09,1,0.0
H003,P0004,477.24,1,0.0
H003,P0005,54.88,1,0.0
H003,P0008,1388.58,1,0.0
H003,P0009,97.21,1,0.0
H003,P0011,105.87,1,0.0
H003,P0015,235.86,1,0.0
H003,P0016,224.46,1,0.0
H003,P0020,163.43,1,0.0
H003,P0026,98.52,1,0.0
H003,P0029,628.13,1,0.0
H003,P0030,51.85,1,0.0
H003,P0032,186.63,1,0.0
H003,P0034,164.24,1,0.0
H003,P0035,416.93,1,0.0
H003,P0037,30.54,1,0.0
H003,P0038,137.8,1,0.0
H003,P0040,102.88,1,0.0
H003,P0041,130.09,1,0.0
H003,P0043,32.71,1,0.0
H003,P0044,216.05,1,0.0
H003,P0045,87.46,1,0.0
H003,P0046,13.92,1,0.0
H003,P0047,283.72,1,0.0
H003,P0059,431.9,1,0.0
H003,P0064,539.25,1,0.0
H003,P0065,92.64,1,0.0
H003,P0066,95.52,1,0.0
H003,P0067,185.73,1,0.0
H003,P0069,329.8,1,0.0
H003,P0070,18.45,1,0.0
H003,P0072,69.23,1,0.0
H003,P0074,58.81,1,0.0
H003,P0077,381.2,1,0.0
H003,P0079,55.36,1,0.0
H003,P0080,133.0,1,0.0
H003,P0081,359.93,1,0.0
H003,P0083,61.69,1,0.0
H003,P0084,231.44,1,0.0
H003,P0085,114.69,1,0.0
H003,P0087,138.29,1,0.0
H003,P0089,55.15,1,0.0
H003,P0090,138.49,1,0.0
H003,P0093,34.28,1,0.0
H003,P0096,55.79,1,0.0
H003,P0097,128.39,1,0.0
H003,P0100,36.4,1,0.0
H003,P0101,61.01,1,0.0
H003,P0104,279.28,1,0.0
