hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,CLOSED,0,1,1,0,0,0,0.0
H002,CLOSED,0,1,1,0,0,0,0.0
H003,OPEN,1,0,1,0,345,468,500000.0
H004,CLOSED,0,1,1,0,0,0,0.0
H005,CLOSED,0,1,0,0,0,0,0.0
H006,CLOSED,0,1,0,0,0,0,0.0
H007,CLOSED,0,1,0,0,0,0,0.0
H008,CLOSED,0,1,1,0,0,0,0.0
H009,OPEN,1,0,1,0,276,390,500000.0
H010,CLOSED,0,1,1,0,0,0,0.0
H011,CLOSED,0,1,1,0,0,0,0.0
H012,CLOSED,0,1,1,0,0,0,0.0
H013,OPEN,1,0,1,0,286,354,500000.0
H014,CLOSED,0,1,1,0,0,0,0.0
H015,CLOSED,0,1,1,0,0,0,0.0
H016,CLOSED,0,1,0,0,0,0,0.0
H017,CLOSED,0,1,1,0,0,0,0.0
H018,CLOSED,0,1,1,0,0,0,0.0
H019,CLOSED,0,1,0,0,0,0,0.0
H020,CLOSED,0,1,1,0,0,0,0.0
H021,OPEN,1,0,0,1,378,530,500000.0
H022,CLOSED,0,1,1,0,0,0,0.0
H023,CLOSED,0,1,1,0,0,0,0.0
H024,CLOSED,0,1,1,0,0,0,0.0
H025,OPEN,1,0,1,0,277,351,500000.0
H026,CLOSED,0,1,0,0,0,0,0.0
H027,OPEN,1,0,0,1,402,594,500000.0
H028,CLOSED,0,1,1,0,0,0,0.0
H029,CLOSED,0,1,0,0,0,0,0.0
H030,OPEN,1,0,0,1,107,114,500000.0
H031,CLOSED,0,1,1,0,0,0,0.0
H032,CLOSED,0,1,0,0,0,0,0.0
H033,CLOSED,0,1,1,0,0,0,0.0
H034,CLOSED,0,1,1,0,0,0,0.0
H035,CLOSED,0,1,1,0,0,0,0.0
H036,OPEN,1,0,0,1,148,166,500000.0
H037,OPEN,1,0,1,0,229,316,500000.0
H038,CLOSED,0,1,1,0,0,0,0.0
H039,CLOSED,0,1,1,0,0,0,0.0
H040,OPEN,1,0,0,1,425,643,500000.0
H041,OPEN,1,0,1,0,400,563,500000.0
H042,CLOSED,0,1,1,0,0,0,0.0
H043,CLOSED,0,1,0,0,0,0,0.0
H044,CLOSED,0,1,1,0,0,0,0.0
H045,OPEN,1,0,1,0,174,207,500000.0
H046,CLOSED,0,1,0,0,0,0,0.0
H047,CLOSED,0,1,1,0,0,0,0.0
H048,CLOSED,0,1,0,0,0,0,0.0
H049,CLOSED,0,1,1,0,0,0,0.0
H050,CLOSED,0,1,1,0,0,0,0.0
H051,CLOSED,0,1,1,0,0,0,0.0
H052,CLOSED,0,1,1,0,0,0,0.0
H053,CLOSED,0,1,1,0,0,0,0.0
H054,CLOSED,0,1,1,0,0,0,0.0
H055,CLOSED,0,1,1,0,0,0,0.0
H056,OPEN,1,0,1,0,384,636,500000.0
H057,CLOSED,0,1,1,0,0,0,0.0
H058,CLOSED,0,1,1,0,0,0,0.0
H059,CLOSED,0,1,1,0,0,0,0.0
H060,OPEN,1,0,0,1,331,518,500000.0
H061,CLOSED,0,1,0,0,0,0,0.0
H062,CLOSED,0,1,1,0,0,0,0.0
H063,CLOSED,0,1,0,0,0,0,0.0
H064,OPEN,1,0,1,0,179,213,500000.0
H065,CLOSED,0,1,1,0,0,0,0.0
H066,CLOSED,0,1,1,0,0,0,0.0
H067,CLOSED,0,1,0,0,0,0,0.0
H068,OPEN,1,0,1,0,341,471,500000.0
H069,CLOSED,0,1,0,0,0,0,0.0
H070,CLOSED,0,1,0,0,0,0,0.0
H071,OPEN,1,0,1,0,196,221,500000.0
H072,CLOSED,0,1,0,0,0,0,0.0
H073,OPEN,1,0,1,0,292,396,500000.0
H074,OPEN,1,0,1,0,337,465,500000.0
H075,OPEN,1,0,1,0,271,357,500000.0
H076,OPEN,1,0,1,0,218,258,500000.0
H077,OPEN,1,0,1,0,176,191,500000.0
H078,CLOSED,0,1,1,0,0,0,0.0
H079,CLOSED,0,1,1,0,0,0,0.0
H080,CLOSED,0,1,1,0,0,0,0.0
H081,CLOSED,0,1,1,0,0,0,0.0
H082,OPEN,1,0,1,0,226,279,500000.0
H083,OPEN,1,0,0,1,251,335,500000.0
H084,CLOSED,0,1,1,0,0,0,0.0
H085,CLOSED,0,1,1,0,0,0,0.0
H086,CLOSED,0,1,1,0,0,0,0.0
H087,CLOSED,0,1,1,0,0,0,0.0
H088,OPEN,1,0,0,1,280,385,500000.0
H089,OPEN,1,0,0,1,438,736,500000.0
H090,OPEN,1,0,0,1,317,416,500000.0
H091,CLOSED,0,1,0,0,0,0,0.0
H092,CLOSED,0,1,1,0,0,0,0.0
