hub_id,part_id
H001,P0001
H001,P0003
H001,P0007
H001,P0010
H001,P0011
H001,P0019
H001,P0020
H001,P0021
H001,P0022
H001,P0023
H001,P0024
H001,P0026
H001,P0027
H001,P0028
H001,P0030
H001,P0034
H001,P0037
H001,P0038
H001,P0040
H001,P0042
H001,P0043
H001,P0046
H001,P0047
H001,P0054
H001,P0057
H001,P0058
H001,P0059
H001,P0063
H001,P0064
H001,P0070
H001,P0071
H001,P0073
H001,P0081
H001,P0082
H001,P0084
H001,P0086
H001,P0088
H001,P0089
H001,P0090
H001,P0091
H001,P0096
H001,P0104
H001,P0106
H001,P0107
H001,P0109
H001,P0111
H001,P0112
H001,P0116
H001,P0117
H001,P0120
H001,P0123
H001,P0124
H001,P0126
H001,P0127
H001,P0130
H001,P0131
H001,P0137
H001,P0138
H001,P0139
H001,P0140
H001,P0146
H001,P0147
H001,P0148
H001,P0150
H001,P0154
H001,P0155
H001,P0156
H001,P0157
H001,P0160
H001,P0168
H001,P0170
H001,P0171
H001,P0172
H001,P0173
H001,P0180
H001,P0181
H001,P0182
H001,P0183
H001,P0187
H001,P0188
H001,P0190
H001,P0192
H001,P0194
H001,P0195
H001,P0196
H001,P0197
H001,P0198
H001,P0203
H001,P0205
H001,P0210
H001,P0217
H001,P0219
H001,P0221
H001,P0224
H001,P0226
H001,P0232
H001,P0233
H001,P0235
H001,P0236
H001,P0238
H001,P0239
H001,P0240
H001,P0241
H001,P0248
H001,P0249
H001,P0251
H001,P0255
H001,P0256
H001,P0258
H001,P0260
H001,P0263
H001,P0265
H001,P0266
H001,P0268
H001,P0269
H001,P0280
H001,P0282
H001,P0283
H001,P0284
H001,P0289
H001,P0290
H001,P0291
H001,P0292
H001,P0299
H001,P0300
H001,P0302
H001,P0305
H001,P0309
H001,P0312
H001,P0314
H001,P0316
H001,P0319
H001,P0326
H001,P0329
H001,P0330
H001,P0331
H001,P0334
H001,P0337
H001,P0338
H001,P0339
H001,P0342
H001,P0344
H001,P0345
H001,P0347
H001,P0348
H001,P0349
H001,P0350
H001,P0352
H001,P0353
H001,P0354
H001,P0355
H001,P0356
H001,P0359
H001,P0361
H001,P0364
H001,P0367
H001,P0370
H001,P0372
H001,P0373
H001,P0374
H001,P0376
H001,P0377
H001,P0379
H001,P0383
H001,P0384
H001,P0386
H001,P0387
H001,P0388
H001,P0393
H001,P0395
H001,P0396
H001,P0399
H001,P0400
H001,P0403
H001,P0407
H001,P0408
H001,P0414
H001,P0421
H001,P0423
H001,P0425
H001,P0427
H001,P0428
H001,P0429
H001,P0431
H001,P0435
H001,P0436
H001,P0439
H001,P0441
H001,P0442
H001,P0443
H001,P0447
H001,P0448
H001,P0458
H001,P0461
H001,P0463
H001,P0464
H001,P0468
H001,P0469
H001,P0471
H001,P0472
H001,P0476
H001,P0478
H001,P0479
H001,P0480
H001,P0485
H001,P0486
H001,P0488
H001,P0489
H001,P0496
H001,P0498
H001,P0500
H001,P0502
H001,P0503
H001,P0504
H001,P0505
H001,P0506
H001,P0507
H001,P0508
H001,P0509
H001,P0511
H001,P0514
H001,P0517
H001,P0519
H001,P0520
H001,P0522
H001,P0523
H001,P0525
H001,P0526
H001,P0527
H001,P0530
H001,P0531
H001,P0532
H001,P0534
H001,P0535
H001,P0536
H001,P0543
H001,P0549
H001,P0551
H001,P0552
H001,P0555
H001,P0562
H001,P0563
H001,P0565
H001,P0568
H001,P0571
H001,P0574
H001,P0576
H001,P0578
H001,P0579
H001,P0583
H001,P0584
H001,P0588
H001,P0589
H001,P0590
H001,P0593
H001,P0596
H001,P0597
H001,P0599
H001,P0604
H001,P0605
H001,P0606
H001,P0608
H001,P0609
H001,P0611
H001,P0615
H001,P0622
H001,P0625
H001,P0627
H001,P0629
H001,P0630
H001,P0632
H001,P0633
H001,P0634
H001,P0637
H001,P0643
H001,P0649
H001,P0653
H001,P0658
H001,P0668
H001,P0671
H001,P0675
H001,P0676
H001,P0679
H001,P0681
H001,P0682
H001,P0683
H001,P0687
H001,P0689
H001,P0695
H001,P0697
H001,P0698
H001,P0699
H001,P0701
H001,P0702
H001,P0705
H001,P0710
H001,P0711
H001,P0715
H001,P0719
H001,P0721
H001,P0722
H001,P0726
H001,P0736
H001,P0739
H001,P0740
H001,P0741
H001,P0744
H001,P0747
H001,P0750
H001,P0753
H001,P0756
H001,P0757
