hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,OPEN,1,0,0,1,136,541,500000.0
H002,OPEN,1,0,0,1,126,352,500000.0
H003,OPEN,1,0,1,0,109,271,500000.0
H004,OPEN,1,0,1,0,118,294,500000.0
H005,OPEN,1,0,0,1,127,363,500000.0
H006,OPEN,1,0,1,0,120,282,500000.0
H007,OPEN,1,0,1,0,105,213,500000.0
H008,OPEN,1,0,1,0,132,357,500000.0
H009,OPEN,1,0,1,0,100,172,500000.0
H010,OPEN,1,0,1,0,124,332,500000.0
H011,OPEN,1,0,1,0,116,300,500000.0
H012,OPEN,1,0,1,0,129,420,500000.0
H013,OPEN,1,0,0,1,120,301,500000.0
H014,OPEN,1,0,1,0,119,293,500000.0
H015,OPEN,1,0,1,0,131,406,500000.0
H016,OPEN,1,0,1,0,128,326,500000.0
H017,OPEN,1,0,1,0,116,260,500000.0
H018,OPEN,1,0,1,0,113,275,500000.0
H019,OPEN,1,0,1,0,106,227,500000.0
H020,OPEN,1,0,1,0,131,376,500000.0
H021,OPEN,1,0,1,0,112,236,500000.0
H022,OPEN,1,0,0,1,95,172,500000.0
H023,OPEN,1,0,0,1,122,350,500000.0
H024,OPEN,1,0,0,1,121,294,500000.0
H025,OPEN,1,0,1,0,123,402,500000.0
H026,OPEN,1,0,1,0,114,267,500000.0
H027,OPEN,1,0,1,0,114,247,500000.0
H028,OPEN,1,0,1,0,104,252,500000.0
H029,OPEN,1,0,0,1,118,266,500000.0
H030,OPEN,1,0,1,0,105,190,500000.0
H031,OPEN,1,0,1,0,107,238,500000.0
H032,OPEN,1,0,1,0,120,356,500000.0
H033,OPEN,1,0,1,0,93,165,500000.0
H034,OPEN,1,0,0,1,120,295,500000.0
H035,OPEN,1,0,1,0,111,235,500000.0
H036,OPEN,1,0,1,0,127,371,500000.0
H037,OPEN,1,0,1,0,116,282,500000.0
H038,OPEN,1,0,1,0,111,215,500000.0
H039,OPEN,1,0,0,1,114,291,500000.0
H040,OPEN,1,0,1,0,115,291,500000.0
H041,OPEN,1,0,1,0,118,337,500000.0
H042,OPEN,1,0,0,1,101,204,500000.0
H043,OPEN,1,0,1,0,93,178,500000.0
H044,OPEN,1,0,1,0,105,183,500000.0
H045,OPEN,1,0,0,1,109,218,500000.0
H046,OPEN,1,0,1,0,105,222,500000.0
H047,OPEN,1,0,0,1,117,332,500000.0
H048,OPEN,1,0,0,1,94,182,500000.0
H049,OPEN,1,0,1,0,114,302,500000.0
H050,OPEN,1,0,0,1,124,315,500000.0
H051,OPEN,1,0,1,0,115,248,500000.0
H052,OPEN,1,0,1,0,119,331,500000.0
H053,OPEN,1,0,0,1,120,319,500000.0
H054,OPEN,1,0,1,0,127,373,500000.0
H055,OPEN,1,0,1,0,127,375,500000.0
H056,OPEN,1,0,1,0,114,244,500000.0
H057,OPEN,1,0,1,0,120,273,500000.0
H058,OPEN,1,0,0,1,94,158,500000.0
H059,OPEN,1,0,1,0,137,369,500000.0
H060,OPEN,1,0,1,0,111,271,500000.0
H061,OPEN,1,0,1,0,101,184,500000.0
H062,OPEN,1,0,1,0,121,303,500000.0
H063,OPEN,1,0,0,1,108,254,500000.0
H064,CLOSED,0,1,0,0,0,0,0.0
H065,OPEN,1,0,0,1,113,343,500000.0
H066,OPEN,1,0,1,0,119,263,500000.0
H067,OPEN,1,0,1,0,127,370,500000.0
H068,OPEN,1,0,1,0,131,508,500000.0
H069,OPEN,1,0,0,1,122,349,500000.0
H070,OPEN,1,0,0,1,115,324,500000.0
H071,OPEN,1,0,1,0,122,347,500000.0
H072,OPEN,1,0,1,0,115,243,500000.0
H073,CLOSED,0,1,1,0,0,0,0.0
H074,OPEN,1,0,0,1,109,257,500000.0
H075,OPEN,1,0,1,0,112,315,500000.0
H076,CLOSED,0,1,0,0,0,0,0.0
H077,OPEN,1,0,0,1,138,539,500000.0
H078,OPEN,1,0,1,0,131,421,500000.0
H079,OPEN,1,0,1,0,124,357,500000.0
H080,OPEN,1,0,1,0,110,276,500000.0
H081,OPEN,1,0,0,1,76,104,500000.0
H082,OPEN,1,0,0,1,114,260,500000.0
H083,OPEN,1,0,1,0,115,265,500000.0
H084,OPEN,1,0,1,0,96,197,500000.0
H085,OPEN,1,0,1,0,112,283,500000.0
H086,OPEN,1,0,0,1,118,250,500000.0
H087,OPEN,1,0,1,0,117,328,500000.0
H088,OPEN,1,0,1,0,107,276,500000.0
H089,OPEN,1,0,1,0,101,222,500000.0
H090,OPEN,1,0,1,0,119,298,500000.0
H091,OPEN,1,0,1,0,121,266,500000.0
H092,OPEN,1,0,0,1,127,324,500000.0
H093,OPEN,1,0,1,0,121,330,500000.0
H094,OPEN,1,0,1,0,110,219,500000.0
H095,OPEN,1,0,1,0,112,254,500000.0
H096,OPEN,1,0,1,0,116,290,500000.0
H097,OPEN,1,0,1,0,94,203,500000.0
H098,OPEN,1,0,1,0,125,424,500000.0
H099,OPEN,1,0,1,0,115,232,500000.0
H100,OPEN,1,0,0,1,105,304,500000.0
