t_seconds,phase,depth,rss_mb,batch_id
0.0005,merge.load,1,115.164,
0.0322,merge.load,1,117.973,
0.0340,merge.aggregate,1,117.973,
0.0478,merge.aggregate,1,118.230,
0.0480,merge.postprocess,1,118.230,
0.5056,merge.postprocess,1,150.199,
0.8659,merge.postprocess,1,154.539,
0.8662,merge.write_outputs,1,154.539,
1.0260,merge.write_outputs,1,159.238,
1.5697,merge.write_outputs,1,186.656,
2.1264,merge.write_outputs,1,186.656,
2.1985,merge.write_outputs,1,157.305,
2.2066,(unmarked),0,149.406,
