hub_id,status,opened,closed,existing_T_j,opened_new_hub,stocked_part_count,assignment_count,fixed_open_cost_if_open
H001,OPEN,1,0,1,0,119,306,500000.0
H002,OPEN,1,0,0,1,130,401,500000.0
H003,OPEN,1,0,1,0,84,137,500000.0
H004,OPEN,1,0,0,1,103,185,500000.0
H005,OPEN,1,0,0,1,135,499,500000.0
H006,OPEN,1,0,1,0,122,312,500000.0
H007,OPEN,1,0,1,0,118,315,500000.0
H008,OPEN,1,0,0,1,110,255,500000.0
H009,OPEN,1,0,1,0,109,218,500000.0
H010,OPEN,1,0,1,0,129,409,500000.0
H011,OPEN,1,0,1,0,116,260,500000.0
H012,OPEN,1,0,0,1,112,246,500000.0
H013,OPEN,1,0,1,0,128,308,500000.0
H014,OPEN,1,0,1,0,121,295,500000.0
H015,OPEN,1,0,1,0,117,307,500000.0
H016,OPEN,1,0,1,0,130,370,500000.0
H017,OPEN,1,0,1,0,103,256,500000.0
H018,OPEN,1,0,1,0,109,256,500000.0
H019,OPEN,1,0,0,1,125,327,500000.0
H020,OPEN,1,0,1,0,120,334,500000.0
