zip_id,hub_id,part_id,b_ik,d_ij,miles_after_base,miles_after_penalty_start,sla_violation,linehaul_cost,distance_cost,distance_penalty_cost,assignment_cost,source
Z00001,H009,P0001,4.0,14.02,0.0,0.0,0,2.4,0.0,0.0,2.4,raw_unique
Z00001,H009,P0015,2.0,14.02,0.0,0.0,0,1.2,0.0,0.0,1.2,raw_unique
Z00001,H009,P0018,1.0,14.02,0.0,0.0,0,0.6,0.0,0.0,0.6,raw_unique
Z00001,H009,P0028,4.0,14.02,0.0,0.0,0,2.4,0.0,0.0,2.4,raw_unique
Z00001,H009,P0029,1.0,14.02,0.0,0.0,0,0.6,0.0,0.0,0.6,raw_unique
Z00001,H009,P0033,3.0,14.02,0.0,0.0,0,1.7999999999999998,0.0,0.0,1.7999999999999998,raw_unique
Z00001,H009,P0040,3.0,14.02,0.0,0.0,0,1.7999999999999998,0.0,0.0,1.7999999999999998,raw_unique
Z00001,H009,P0050,1.0,14.02,0.0,0.0,0,0.6,0.0,0.0,0.6,raw_unique
Z00001,H009,P0079,3.0,14.02,0.0,0.0,0,1.7999999999999998,0.0,0.0,1.7999999999999998,raw_unique
Z00001,H009,P0106,1.0,14.02,0.0,0.0,0,0.6,0.0,0.0,0.6,raw_unique
Z00001,H009,P0129,2.0,14.02,0.0,0.0,0,1.2,0.0,0.0,1.2,raw_unique
Z00002,H001,P0017,6.0,19.56,0.0,0.0,0,3.5999999999999996,0.0,0.0,3.5999999999999996,raw_unique
Z00002,H001,P0057,3.0,19.56,0.0,0.0,0,1.7999999999999998,0.0,0.0,1.7999999999999998,raw_unique
Z00002,H001,P0060,1.0,19.56,0.0,0.0,0,0.6,0.0,0.0,0.6,raw_unique
Z00002,H001,P0068,2.0,19.56,0.0,0.0,0,1.2,0.0,0.0,1.2,raw_unique
Z00002,H001,P0083,1.0,19.56,0.0,0.0,0,0.6,0.0,0.0,0.6,raw_unique
Z00002,H001,P0106,1.0,19.56,0.0,0.0,0,0.6,0.0,0.0,0.6,raw_unique
Z00003,H017,P0004,4.0,42.33,22.33,0.0,0,2.4,53.59199999999999,0.0,55.99199999999999,raw_unique
Z00003,H017,P0007,1.0,42.33,22.33,0.0,0,0.6,13.397999999999998,0.0,13.997999999999998,raw_unique
Z00003,H017,P0008,2.0,42.33,22.33,0.0,0,1.2,26.795999999999996,0.0,27.995999999999995,raw_unique
Z00003,H017,P0028,3.0,42.33,22.33,0.0,0,1.7999999999999998,40.193999999999996,0.0,41.99399999999999,raw_unique
Z00003,H017,P0030,2.0,42.33,22.33,0.0,0,1.2,26.795999999999996,0.0,27.995999999999995,raw_unique
Z00003,H017,P0034,2.0,42.33,22.33,0.0,0,1.2,26.795999999999996,0.0,27.995999999999995,raw_unique
Z00003,H017,P0044,2.0,42.33,22.33,0.0,0,1.2,26.795999999999996,0.0,27.995999999999995,raw_unique
Z00003,H017,P0052,2.0,42.33,22.33,0.0,0,1.2,26.795999999999996,0.0,27.995999999999995,raw_unique
Z00003,H017,P0054,3.0,42.33,22.33,0.0,0,1.7999999999999998,40.193999999999996,0.0,41.99399999999999,raw_unique
Z00003,H017,P0063,4.0,42.33,22.33,0.0,0,2.4,53.59199999999999,0.0,55.99199999999999,raw_unique
Z00003,H017,P0064,2.0,42.33,22.33,0.0,0,1.2,26.795999999999996,0.0,27.995999999999995,raw_unique
Z00003,H017,P0065,3.0,42.33,22.33,0.0,0,1.7999999999999998,40.193999999999996,0.0,41.99399999999999,raw_unique
Z00003,H017,P0072,4.0,42.33,22.33,0.0,0,2.4,53.59199999999999,0.0,55.99199999999999,raw_unique
Z00003,H017,P0073,1.0,42.33,22.33,0.0,0,0.6,13.397999999999998,0.0,13.997999999999998,raw_unique
Z00003,H017,P0075,2.0,42.33,22.33,0.0,0,1.2,26.795999999999996,0.0,27.995999999999995,raw_unique
Z00003,H017,P0083,3.0,42.33,22.33,0.0,0,1.7999999999999998,40.193999999999996,0.0,41.99399999999999,raw_unique
Z00003,H017,P0095,1.0,42.33,22.33,0.0,0,0.6,13.397999999999998,0.0,13.997999999999998,raw_unique
Z00003,H017,P0130,3.0,42.33,22.33,0.0,0,1.7999999999999998,40.193999999999996,0.0,41.99399999999999,raw_unique
Z00003,H017,P0150,3.0,42.33,22.33,0.0,0,1.7999999999999998,40.193999999999996,0.0,41.99399999999999,raw_unique
Z00004,H031,P0028,4.0,22.09,2.09,0.0,0,2.4,5.015999999999999,0.0,7.415999999999999,raw_unique
Z00004,H031,P0048,2.0,22.09,2.09,0.0,0,1.2,2.5079999999999996,0.0,3.7079999999999993,raw_unique
Z00004,H031,P0062,2.0,22.09,2.09,0.0,0,1.2,2.5079999999999996,0.0,3.7079999999999993,raw_unique
Z00004,H031,P0074,3.0,22.09,2.09,0.0,0,1.7999999999999998,3.7619999999999996,0.0,5.561999999999999,raw_unique
Z00004,H031,P0095,2.0,22.09,2.09,0.0,0,1.2,2.5079999999999996,0.0,3.7079999999999993,raw_unique
Z00004,H031,P0126,1.0,22.09,2.09,0.0,0,0.6,1.2539999999999998,0.0,1.8539999999999996,raw_unique
Z00004,H031,P0139,4.0,22.09,2.09,0.0,0,2.4,5.015999999999999,0.0,7.415999999999999,raw_unique
Z00004,H031,P0142,3.0,22.09,2.09,0.0,0,1.7999999999999998,3.7619999999999996,0.0,5.561999999999999,raw_unique
Z00004,H031,P0149,3.0,22.09,2.09,0.0,0,1.7999999999999998,3.7619999999999996,0.0,5.561999999999999,raw_unique
Z00005,H008,P0018,2.0,140.01,120.00999999999999,10.009999999999991,1,1.2,144.01199999999997,5.0049999999999955,150.21699999999996,raw_unique
